#SampleID	project_name	sampling_cruise	year	sampling_platform	sampling_device	filtration_device	season	depth_m	depth_group	control_status	control_type	ESP_CTD_ID	matching_ID	station	latitude	longitude	collection_date	volume_filtered_ml	locus	target_subfragment	F_primer	R_primer	primers_FR	seq_platform	seq_model	seq_chemistry	run_center	run_date	Description	sample_type_2	depth	depth_cat	shallow_deep	CTD_or_ESP
CN17_B1	eCruises_2017	CN17S	2017	Flyer	CTD	peristaltic	Spring	mix	shallow	exp	NA	CN17_B1	CN17_CBI1	Front 2	36.89820	-122.3888	May-3-17	1000	16S rRNA	V4V5	515F (Parada)	926R (Parada)	515F_926R	Illumina	MiSeq	2x300bp PE	JCVI	July_2019	ESP-CTD direct comparison 2017	peristaltic pump	NA	0-25	shallow	CTD
CN17_B10	eCruises_2017	CN17S	2017	Flyer	CTD	peristaltic	Spring	mix	shallow	exp	NA	CN17_B10	CN17_CBI4	Front 5	36.90170	-122.1252	May-3-17	1000	16S rRNA	V4V5	515F (Parada)	926R (Parada)	515F_926R	Illumina	MiSeq	2x300bp PE	JCVI	July_2019	ESP-CTD direct comparison 2017	peristaltic pump	NA	0-25	shallow	CTD
CN17_B13	eCruises_2017	CN17S	2017	Flyer	CTD	peristaltic	Spring	mix	shallow	exp	NA	CN17_B13	CN17_CBI5	Front3A	36.88080	-122.2390	May-3-17	1000	16S rRNA	V4V5	515F (Parada)	926R (Parada)	515F_926R	Illumina	MiSeq	2x300bp PE	JCVI	July_2019	ESP-CTD direct comparison 2017	peristaltic pump	NA	0-25	shallow	CTD
CN17_B17	eCruises_2017	CN17S	2017	Flyer	CTD	peristaltic	Spring	mix	shallow	exp	NA	CN17_B17	CN17_CBI8	Front 1	36.91650	-122.5073	May-4-17	1000	16S rRNA	V4V5	515F (Parada)	926R (Parada)	515F_926R	Illumina	MiSeq	2x300bp PE	JCVI	July_2019	ESP-CTD direct comparison 2017	peristaltic pump	NA	0-25	shallow	CTD
CN17_CBI1	eCruises_2017	CN17S	2017	Flyer	CTD	bench_ESP	Spring	mix	shallow	exp	NA	CN17_CBI1	CN17_B10	Front2	36.89820	-122.3888	May-3-17	1000	16S rRNA	V4V5	515F (Parada)	926R (Parada)	515F_926R	Illumina	MiSeq	2x300bp PE	JCVI	July_2019	ESP-CTD direct comparison 2017	benchtop ESP	NA	0-25	shallow	ESP
CN17_CBI4	eCruises_2017	CN17S	2017	Flyer	CTD	bench_ESP	Spring	mix	shallow	exp	NA	CN17_CBI4	CN17_B10	Front5	36.90170	-122.1252	May-3-17	1000	16S rRNA	V4V5	515F (Parada)	926R (Parada)	515F_926R	Illumina	MiSeq	2x300bp PE	JCVI	July_2019	ESP-CTD direct comparison 2017	benchtop ESP	NA	0-25	shallow	ESP
CN17_CBI5	eCruises_2017	CN17S	2017	Flyer	CTD	bench_ESP	Spring	mix	shallow	exp	NA	CN17_CBI5	CN17_B13	Front3A	36.88080	-122.2390	May-3-17	1000	16S rRNA	V4V5	515F (Parada)	926R (Parada)	515F_926R	Illumina	MiSeq	2x300bp PE	JCVI	July_2019	ESP-CTD direct comparison 2017	benchtop ESP	NA	0-25	shallow	ESP
CN17_CBI8	eCruises_2017	CN17S	2017	Flyer	CTD	bench_ESP	Spring	mix	shallow	exp	NA	CN17_CBI8	CN17_B17	Front1	36.91650	-122.5073	May-4-17	1000	16S rRNA	V4V5	515F (Parada)	926R (Parada)	515F_926R	Illumina	MiSeq	2x300bp PE	JCVI	July_2019	ESP-CTD direct comparison 2017	benchtop ESP	NA	0-25	shallow	ESP
CN18FESPkoa_SC1	eCruises_2018	CN18F	2018	NA	3G_ESP	insitu_ESP	Fall	NA	NA	control	negative	NA	NA	NA	NA	NA	17-Sep-18	 657	16S rRNA	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	ESP-CTD Canon 2018 sampling	control	NA	0-25	shallow	control
CN18FESPkoa_SC24	eCruises_2018	CN18F	2018	Tethys	3G_ESP	insitu_ESP	Fall	35	shallow	exp	NA	ESP1	CN18F1	NA	36.91512	-122.2736	11-Sep-18	1000	16S rRNA	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	ESP-CTD Canon 2018 sampling	ESP	35	27-50	shallow	ESP
