#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
d5bc61f90f231d15cad051d8195ce9e5	Bacteria	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 
64ab93559256d4c5da323ff796a3c4bb	Bacteria	 Verrucomicrobiota	 Lentisphaeria	 Lentisphaerales	 Lentisphaeraceae	 Lentisphaera	 uncultured_bacterium
dc2af028945625e31f83e867b87b8ad9	Bacteria	 Planctomycetota	 OM190	 OM190	 OM190	 OM190	 uncultured_planctomycete
387a88d2f332e94c982b313137dd88e6	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Pedosphaerales	 Pedosphaeraceae	 SCGC_AAA164-E04	 uncultured_Verrucomicrobia
4f487bc7e9aaff20fafb073ca6924ace	Bacteria	 SAR324_clade(Marine_group_B)	 SAR324_clade(Marine_group_B)	 SAR324_clade(Marine_group_B)	 SAR324_clade(Marine_group_B)	 SAR324_clade(Marine_group_B)	 
d46e2205f0c6ecf67b51f83d111c509c	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Enterobacterales	 Enterobacteriaceae	 Escherichia-Shigella	 
e7a736a1480448df1aaf7f191d949940	Archaea	 Thermoplasmatota	 Thermoplasmata	 Thermoplasmata	 Thermoplasmata	 Marine_Group_III	 
8a44a4e06b1a74f11ee8e2686464e0d5	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Rhodobacterales	 Rhodobacteraceae	 Planktomarina	 
e8386d3a307c208c4b9f0a756259cd6b	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Pseudomonadales	 Moraxellaceae	 Acinetobacter	 
e70f1b98c88940159d67371b3b23f15e	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Alteromonadales	 Colwelliaceae	 	 
2b6e42bf9200244b950fdda2491dd4ca	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Alteromonadales	 Colwelliaceae	 Colwellia	 
d380b9ae91e3875a70ff329e4889cb72	Bacteria	 Firmicutes	 Clostridia	 Lachnospirales	 Lachnospiraceae	 Anaerostipes	 
3f435f715fed254e04bc501e6f81582d	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 NS9_marine_group	 NS9_marine_group	 uncultured_marine
1fae7588baccdfd0cc4d956aadd083f9	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 NS9_marine_group	 NS9_marine_group	 uncultured_marine
147306ca7d215f519e7a2542fcb095ac	Archaea	 Thermoplasmatota	 Thermoplasmata	 Marine_Group_II	 Marine_Group_II	 Marine_Group_II	 uncultured_marine
e9c5c7f40dc0d24681936be2db1c8467	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Burkholderiaceae	 Burkholderia-Caballeronia-Paraburkholderia	 
285b63873377bfba536d3f6ba837a58d	Bacteria	 Proteobacteria	 Gammaproteobacteria	 HOC36	 HOC36	 HOC36	 Candidatus_Thioglobus
6039d0848f3594fe7980028281bf14f9	Bacteria	 Planctomycetota	 Phycisphaerae	 Phycisphaerales	 Phycisphaeraceae	 FS140-16B-02_marine_group	 uncultured_bacterium
8d18ffe6ecfc6baa4e865cf5b180321c	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Burkholderiales	 Alcaligenaceae	 Verticiella	 
8e2ae669d75fa6353776ff1ad81597da	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 NS7_marine_group	 NS7_marine_group	 
e4304c9496921fcf8a88c1ef30dfd0eb	Bacteria	 Proteobacteria	 Alphaproteobacteria	 Sphingomonadales	 Sphingomonadaceae	 	 
45473a6d9874c6e16553a1cae2a4a67a	Bacteria	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 unidentified_marine
e91043ae5b0e8e41cc1dc1a17a1cbde4	Bacteria	 Proteobacteria	 Alphaproteobacteria	 SAR11_clade	 Clade_I	 Clade_Ia	 
a916a73d807e279bce9bc7de217a56a7	Archaea	 Thermoplasmatota	 Thermoplasmata	 Marine_Group_II	 Marine_Group_II	 Marine_Group_II	 metagenome
e14f8d550bb9b5e14007e4695d673f9a	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Alteromonadales	 Colwelliaceae	 Thalassotalea	 
1cbbb971002b3f3b6848a9686c126cc3	Bacteria	 Bdellovibrionota	 Bdellovibrionia	 Bdellovibrionales	 Bdellovibrionaceae	 OM27_clade	 uncultured_bacterium
66c6790748de5a903e8aa191670dead1	Bacteria	 Bacteroidota	 Bacteroidia	 Flavobacteriales	 NS9_marine_group	 NS9_marine_group	 uncultured_marine
18b64432fa20f4327bd06033097c719e	Bacteria	 Desulfobacterota	 Desulfuromonadia	 PB19	 PB19	 PB19	 uncultured_delta
1ab3a74232e42a8a9855650b5f163de9	Bacteria	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 Marinimicrobia_(SAR406_clade)	 
b6fb168021fe3281dccc38be07149991	Bacteria	 Verrucomicrobiota	 Verrucomicrobiae	 Verrucomicrobiales	 Rubritaleaceae	 Rubritalea	 uncultured_bacterium
1271ffedb677dacceaeb91ec0e6a6d0d	Archaea	 Thermoplasmatota	 Thermoplasmata	 Thermoplasmata	 Thermoplasmata	 Marine_Group_III	 uncultured_marine
