#OTUID	CN17_B1	CN17_B10	CN17_B13	CN17_B17	CN17_CBI1	CN17_CBI4	CN17_CBI5	CN17_CBI8	CN18FESPkoa_SC24	CN18FESPkoa_SC26	CN18FESPkoa_SC29	CN18FESPkoa_SC30	CN18FESPkoa_SC31	CN18FESPkoa_SC32	CN18FESPkoa_SC34	CN18FESPkoa_SC37	CN18FESPkoa_SC40	CN18FESPkoa_SC41	CN18FESPkoa_SC43	CN18FESPkoa_SC44	CN18FESPkoa_SC46	CN18FESPkoa_SC47	CN18FESPkoa_SC49	CN18FESPkoa_SC52	CN18FESPkoa_SC53	CN18FESPkoa_SC55	CN18FESPkoa_SC56	CN18FESPkoa_SC57	CN18FESPkoa_SC58	CN18Fc12_8_eDNA	CN18Fc19_5_eDNA	CN18Fc21_6_eDNA	CN18Fc22_6_eDNA	CN18Fc24_6_eDNA	CN18Fc25_5_eDNA	CN18Fc27_4_eDNA	CN18Fc29_6_eDNA	CN18Fc30_4_eDNA	CN18Fc32_4_eDNA	CN18Fc33_5_eDNA	CN18Fc36_6_eDNA	CN18Fc38_5_eDNA	CN18Fc40_6_eDNA	CN18Fc41_6_eDNA	CN18Fc43_5_eDNA	CN18Fc44_8_eDNA	CN18Fc46_8_eDNA	CN18Fc47_6_eDNA	CN18Fc49_6_eDNA	CN18Fc51_5_eDNA	CN18SESPkoa_SC36	CN18SESPkoa_SC37	CN18SESPkoa_SC39	CN18SESPkoa_SC40	CN18SESPkoa_SC41	CN18SESPkoa_SC42	CN18SESPkoa_SC44	CN18SESPkoa_SC45	CN18SESPkoa_SC47	CN18SESPkoa_SC49	CN18Sc09_2_eDNA	CN18Sc10_2_eDNA	CN18Sc14_2_eDNA	CN18Sc14_8_eDNA	CN18Sc15_2_eDNA	CN18Sc15_8_eDNA	CN18Sc18_2_eDNA	CN18Sc18_8_eDNA	CN18Sc27_2_eDNA	CN18Sc27_8_eDNA
d5bc61f90f231d15cad051d8195ce9e5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dc2af028945625e31f83e867b87b8ad9	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
387a88d2f332e94c982b313137dd88e6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4f487bc7e9aaff20fafb073ca6924ace	297	15	142	103	35	100	35	109	290	493	487	279	566	520	408	144	606	567	537	538	390	524	711	669	624	331	465	344	384	42	366	527	471	440	858	8	648	570	168	556	504	464	373	511	513	352	337	397	392	247	1380	372	114	375	19	493	3	391	522	484	476	417	567	479	419	20	549	205	407	23
d46e2205f0c6ecf67b51f83d111c509c	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	14	8	0	0	0	0	0	0	18	0	20	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	38	0	0	0	0	0	0	8	0	0	23	0	22	0	0	0	0	0	0	0
e7a736a1480448df1aaf7f191d949940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	5	0	0	0	0	9	0	7	0	0	14	9	0	0	0	0	0	0	0	13	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8a44a4e06b1a74f11ee8e2686464e0d5	848	7050	6114	1266	100	1390	2805	484	403	336	214	154	268	197	236	109	309	260	280	232	250	170	211	310	296	159	192	192	194	10	116	166	204	156	332	10	224	180	80	239	237	246	317	186	206	199	293	152	354	334	3985	18	655	17	1178	56	143	33	28	31	35	35	42	104	44	2748	69	1711	0	2257
2b6e42bf9200244b950fdda2491dd4ca	30	178	91	51	0	28	41	21	60	85	77	52	137	64	115	83	163	133	118	108	124	60	102	148	117	104	179	161	313	8	88	79	76	126	236	5	88	144	69	88	79	125	127	106	82	96	59	45	72	21	293	288	21	249	0	295	0	291	258	220	196	195	219	198	196	6	264	217	187	47
d380b9ae91e3875a70ff329e4889cb72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3f435f715fed254e04bc501e6f81582d	0	0	0	0	0	0	0	0	0	0	0	0	24	0	30	0	32	25	0	0	23	23	23	22	16	0	0	0	19	0	0	0	17	0	21	0	18	0	0	17	0	16	16	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1fae7588baccdfd0cc4d956aadd083f9	0	0	0	0	0	0	0	0	0	36	46	47	54	40	34	30	41	33	22	37	48	17	35	41	29	25	39	39	31	9	0	53	28	27	28	0	47	50	27	33	37	31	29	24	36	35	19	0	0	0	0	0	0	17	0	27	0	22	17	0	0	0	21	0	19	0	26	0	0	0
147306ca7d215f519e7a2542fcb095ac	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	10	0	0	0	0	8	25	0	0	8	0	6	0	12	0	16	0
e9c5c7f40dc0d24681936be2db1c8467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6039d0848f3594fe7980028281bf14f9	0	0	5	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	0	13	0	11	0	0	0	0	0	7	14	7	13	0	18	0	0	0
8d18ffe6ecfc6baa4e865cf5b180321c	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8e2ae669d75fa6353776ff1ad81597da	43	0	0	38	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
e4304c9496921fcf8a88c1ef30dfd0eb	0	0	0	0	12	0	0	0	4	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	8
45473a6d9874c6e16553a1cae2a4a67a	72	0	0	39	26	0	15	72	41	34	47	58	108	0	72	53	77	60	79	86	0	85	102	83	81	45	70	127	98	25	116	184	125	132	244	7	280	245	105	198	99	156	187	155	176	171	127	104	106	102	287	0	68	0	37	0	0	0	0	0	0	0	0	0	0	9	0	47	0	0
a916a73d807e279bce9bc7de217a56a7	0	0	26	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	10	0	17	0	21	0	0	26	19	15	13	24	28	22	0	7	0	0	0
1cbbb971002b3f3b6848a9686c126cc3	0	13	0	0	0	0	0	0	0	0	0	0	0	4	4	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	3	0	0	12	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	10	3	0	0	0	8	0	4	5	5	0	0	0	11	8	0	0	0	6	0
66c6790748de5a903e8aa191670dead1	0	0	0	0	0	0	0	0	10	44	50	26	58	39	58	25	53	62	52	43	62	29	39	52	39	44	48	53	79	0	35	31	28	33	54	5	52	34	13	42	41	57	54	13	44	35	31	36	24	13	59	12	0	11	0	38	0	12	34	21	14	0	22	20	24	0	43	0	8	0
18b64432fa20f4327bd06033097c719e	0	0	0	0	0	0	0	0	9	7	0	5	12	6	11	0	5	16	9	17	16	15	10	20	10	9	12	11	20	4	9	16	7	18	27	0	17	11	6	19	10	10	11	5	15	7	4	5	3	3	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
1ab3a74232e42a8a9855650b5f163de9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0
b6fb168021fe3281dccc38be07149991	0	0	0	3	0	0	0	0	0	0	0	0	7	0	6	0	7	0	0	5	0	5	6	0	6	0	0	5	0	0	0	7	0	4	7	0	0	5	0	0	5	0	0	0	4	0	3	6	0	0	27	0	0	0	3	0	0	0	0	0	0	0	0	0	0	9	0	24	0	10
1271ffedb677dacceaeb91ec0e6a6d0d	44	0	38	18	48	12	20	27	12	14	11	23	78	9	32	22	13	37	31	52	49	44	43	35	44	22	40	47	50	19	38	192	82	88	336	0	204	245	109	162	136	148	75	129	132	150	50	65	92	31	267	380	5	497	0	499	0	459	462	413	364	488	565	318	412	0	561	44	481	5
958c0610086b133eecb413f68a86de72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	33	0	0	0	0	0	0	0	0
c18f0411a73d728e4ccf2b337c0a6d3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0
adaa6fdb4e5ef877c09e901ce0949636	0	0	0	0	0	0	0	0	0	15	14	0	19	14	0	0	15	18	20	14	20	10	17	11	20	17	21	28	26	0	26	42	14	31	34	0	47	27	0	35	22	24	31	36	42	41	14	19	15	9	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
99809e36665baf991305c4b998939a09	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b95dd7293efa3e00ddaade8b04df91cd	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0
0897e66cd35cdda02bc1df0f14cff91c	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	4	0	5	0	3	6	0	0	0	0	0	5	0	0	8	0	5	16	0	0	7	4	10	0	4	0	0	7	0	0	7	0	0	10	0	0	0	0	0	0	0	15	10	0	0	0	7	0	0	0	0	0	0
cbd797e49a45acaedc5d0a4b01b94a38	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7b2894c3ec91865016a55cf486381fd8	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	96	0	122	0	133	113	154	139	152	136	50	153	0	70	0	135	0
ac940243ddc863efcd2273871bb30e6a	357	1199	762	597	28	138	197	177	278	398	322	273	416	285	341	181	447	318	469	344	319	297	249	366	398	209	329	236	341	27	253	264	220	286	398	18	224	230	87	327	284	303	419	266	319	332	321	229	227	230	1959	0	434	14	253	31	17	16	15	14	25	16	26	89	37	517	29	1172	0	1111
dcd1521a3b33b6abb50cb12d0868dd05	67	0	66	33	28	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	34	0	0	32	0	23	0	0	0	0	0	0	0	0	0	0	61	55	0	75	0	69	0	65	75	62	74	70	113	54	50	0	80	0	86	0
7003b34af4f6c3ac6e2cdb4a088c8469	0	10	0	12	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0
2eaf8198627d1937c0cea8d8ceb07cd4	22	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	32	0	0	26	39	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	32	28	0	0	17	0	0	0	0	0	0	0	0	9	0	0	0	9	0	0	0	0	19	0	0	0
595c565e0245ab0398a28c1eecf95678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0
dcdc93c94e1b3e5a0a893de717673f6c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b21a8ad25f0004562939bf69c64d1425	14	0	17	0	0	7	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	29	52	0	34	0	53	0	72	63	30	64	70	75	40	73	0	107	0	55	0
962eed6af66a6ecabbcefb5705799e51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10b6939ebe40d98df58fc07f92bba289	0	13	0	0	0	0	0	0	44	49	43	21	73	34	59	44	58	47	56	48	56	35	35	50	34	43	67	85	127	0	34	41	35	53	111	0	62	62	38	41	47	49	39	47	49	22	25	24	33	0	36	57	0	41	0	0	0	71	79	52	0	47	55	29	50	0	0	0	0	0
7548fbaec85e1a3ac972463827d350f1	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	15	0	14	24	17	16	57	0	30	32	0	30	0	0	36	0	24	19	0	16	15	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b6d0bf405b513e28244fa91c1fff42b5	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
21071b0a8311422d7351e01369238ff5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	13	0	10	0	0	0	13	0	0	5	9	25	11	0	21	0	0	26	10	0	0	13	16	0	0	0	0	10	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
