#OTUID	CANON_B10_22_X	CANON_B13_22_X	CANON_B17_22_X	CANON_B1_22_X	CANON_CBI1_22_X	CANON_CBI4_22_X	CANON_CBI5_22_X	CANON_CBI8_22_X
ASV_1	0	10	4	0	6	1	3	5
ASV_3	0	2	0	0	0	0	0	4
ASV_6	2	0	0	1	0	1	6	0
ASV_10	1171	2604	1638	645	10	471	1506	947
ASV_26	0	3	1	1	0	0	0	0
ASV_28	1	0	0	0	0	0	0	0
ASV_33	0	2	0	0	0	0	0	0
ASV_35	1	0	0	0	0	0	1	0
ASV_46	20	3	1	0	209	0	0	7
ASV_48	1454	3154	426	300	1	493	1510	1448
ASV_105	4207	9	0	2	14585	551	0	17
ASV_148	0	1	3235	34	0	0	0	2924
ASV_154	0	4	0	3	0	0	0	0
ASV_160	0	0	0	0	0	0	0	3
ASV_165	4	0	1	69	10	0	0	2819
ASV_189	0	8	262	0	0	596	0	397
ASV_227	2	1	0	0	1	401	0	764
ASV_242	0	0	0	0	0	0	0	0
ASV_257	0	0	5	57	225	0	0	32
ASV_287	0	0	0	19	0	0	0	11
ASV_323	0	0	30	19	0	0	0	14
ASV_356	0	4	1	6	0	0	0	21
ASV_359	0	0	0	2	0	0	0	0
ASV_372	22	132	440	234	57	20	54	271
ASV_398	7	417	154	101	0	19	250	19
ASV_472	1	0	0	195	0	1	10	0
ASV_492	0	46	23	8	0	1	17	4
ASV_544	1882	7	2	2	1	5605	68	1
ASV_551	526	0	0	0	0	0	0	0
ASV_629	1234	4587	2937	2340	228	624	3200	3287
ASV_694	6	0	0	0	25	0	0	0
ASV_746	3	11	79	41	0	2	34	32
ASV_781	18	0	0	0	0	0	0	0
ASV_798	0	11	103	15	0	0	5	89
ASV_822	0	0	0	1	0	0	0	0
ASV_874	13	48	151	127	18	6	28	69
ASV_905	0	0	0	0	0	0	1	0
ASV_909	0	0	0	0	0	0	0	0
ASV_1054	0	199	115	159	0	31	0	388
ASV_1074	118	0	0	0	0	0	0	0
ASV_1130	99	458	381	801	877	119	355	794
ASV_1132	3	0	93	17	0	0	0	16
ASV_1375	0	0	0	0	0	0	0	0
ASV_1452	0	3	0	0	0	0	0	0
ASV_1506	0	0	0	0	0	0	0	0
ASV_1523	0	0	0	0	0	0	0	37
ASV_1706	0	0	1	0	0	0	0	0
ASV_1805	0	0	5	14	0	0	1	4
ASV_2111	0	0	0	0	0	0	0	0
ASV_2305	0	1	8	0	0	0	0	0
ASV_2410	0	3	39	15	60	0	0	0
ASV_2477	12	63	8	9	0	2	32	7
ASV_2747	8	32	6	12	6	3	15	8
ASV_2919	0	2	0	0	0	0	1	0
ASV_2924	253	114	46	100	0	6	18	26
ASV_2975	1	0	0	0	0	0	0	0
ASV_3003	0	0	7	7	0	0	0	4
ASV_3013	0	0	5	6	0	0	1	13
ASV_3079	0	0	0	0	1	0	0	0
ASV_3136	0	0	0	0	0	0	2	0
ASV_3228	0	0	0	0	0	0	0	0
ASV_3283	0	0	0	0	0	0	0	0
ASV_3565	0	0	0	0	0	0	0	0
ASV_3605	0	0	0	0	0	0	0	0
ASV_3621	0	0	0	0	4	0	0	1
ASV_3699	8	7	0	0	0	4	10	0
ASV_3708	0	0	0	1	0	0	0	1
ASV_3720	0	0	0	0	0	1	0	0
ASV_3894	0	0	0	0	0	0	0	0
ASV_4039	0	0	19	0	0	0	0	0
ASV_4066	0	0	0	0	0	0	0	0
ASV_4709	0	0	0	1	0	0	0	0
ASV_4807	0	0	0	0	0	0	0	0
ASV_5028	0	0	0	0	0	0	0	0
ASV_5109	17	5	9	4	0	0	1	0
ASV_5608	0	0	0	0	0	0	0	0
ASV_5643	1	0	0	1	0	0	0	2
ASV_6797	331	1223	0	0	0	359	951	0
ASV_6818	0	55	32	91	0	29	31	219
ASV_7261	0	0	5	0	0	0	2	13
ASV_7656	0	0	0	0	0	0	0	2
ASV_7897	0	0	0	0	0	0	0	1
ASV_8225	3716	10489	2563	2383	4272	1815	4765	990
ASV_8226	3544	10914	5828	3045	3	1678	5119	2513
ASV_8227	6282	206	65	0	0	0	2083	2
ASV_8229	0	232	1353	212	0	14	136	312
ASV_8230	0	0	0	0	0	0	0	0
ASV_8231	0	0	41	0	0	0	0	0
ASV_8232	0	1	11	0	0	0	1	0
ASV_8233	708	1893	6905	6936	9187	898	1449	4704
ASV_8234	47	21	724	491	0	39	9	495
ASV_8235	0	154	0	0	0	0	1	0
ASV_8236	0	0	74	107	0	29	9	30
ASV_8238	1659	659	0	0	0	276	217	2
ASV_8241	89	0	0	0	0	0	0	0
ASV_8242	7142	4697	491	333	0	723	1681	139
ASV_8243	0	0	5727	0	0	0	0	0
ASV_8244	0	0	0	0	1	0	1	44
ASV_8245	0	0	0	0	1	0	0	0
ASV_8246	100	67	385	499	0	51	74	164
ASV_8247	0	0	0	0	0	0	1	0
ASV_8248	318	1297	909	443	12337	11251	5671	2220
ASV_8250	0	1	443	9	0	0	6	13
ASV_8251	170	1048	2775	1694	973	346	607	1443
ASV_8253	1457	294	0	14	0	248	419	31
ASV_8254	0	165	150	259	0	43	65	262
ASV_8257	71	92	241	55	0	30	10	111
ASV_8259	181	144	285	193	0	110	94	482
ASV_8262	0	0	0	8	0	2	2	0
ASV_8264	0	3	64	45	0	9	9	33
ASV_8265	0	0	0	10	0	1	0	0
ASV_8270	0	3	283	73	0	2	1	199
ASV_8271	211	781	321	468	3367	6415	3118	861
