#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_1	Eukaryota	Haptophyta	Haptophyta	Isochrysidales	Noelaerhabdaceae	Emiliania	Emiliania huxleyi
ASV_3	Eukaryota	Arthropoda	Malacostraca	Decapoda	Oplophoridae	Acanthephyra	Acanthephyra curtirostris
ASV_6	Eukaryota	Haptophyta	Haptophyta	Isochrysidales	Noelaerhabdaceae	Emiliania	Emiliania huxleyi
ASV_10	Eukaryota	Haptophyta	Haptophyta	Isochrysidales	Noelaerhabdaceae	Emiliania	Emiliania huxleyi
ASV_26	Eukaryota	Chordata	Ascidiacea	Enterogona	Ascidiidae	Ascidia	Ascidia ahodori
ASV_28	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_33	Eukaryota	Arthropoda	Malacostraca	Decapoda	Polychelidae	g_	s_
ASV_35	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_46	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
ASV_48	Eukaryota	Haptophyta	Haptophyta	Isochrysidales	Noelaerhabdaceae	Emiliania	Emiliania huxleyi
ASV_105	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_148	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_154	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_160	Eukaryota	Ochrophyta	Chrysophyceae	Chromulinales	Chromulinaceae	g_	s_
ASV_165	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_189	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Paracalanidae	Paracalanus	Paracalanus sp. C AC-2013
ASV_227	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus parapergens
ASV_242	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_257	Eukaryota	Oomycota	Oomycetes	Saprolegniales	Saprolegniaceae	g_	s_
ASV_287	Eukaryota	Ochrophyta	Phaeophyceae	Sphacelariales	Sphacelariaceae	g_	s_
ASV_323	Eukaryota	Porifera	Demospongiae	Poecilosclerida	Microcionidae	g_	s_
ASV_356	Eukaryota	Ochrophyta	Chrysophyceae	Chromulinales	Chromulinaceae	g_	s_
ASV_359	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Euphausia	Euphausia pacifica
ASV_372	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos
ASV_398	Eukaryota	Oomycota	Oomycetes	unknown	unknown	g_	s_
ASV_472	Eukaryota	unknown	unknown	Bicosoecida	Cafeteriaceae	Cafeteria	s_
ASV_492	Eukaryota	Ochrophyta	Chrysophyceae	Chromulinales	Chromulinaceae	g_	s_
ASV_544	Eukaryota	Rotifera	Monogononta	Ploima	Synchaetidae	g_	s_
ASV_551	Eukaryota	Arthropoda	Insecta	Coleoptera	Staphylinidae	g_	s_
ASV_629	Eukaryota	Picozoa	unknown	unknown	unknown	g_	s_
ASV_694	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_746	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_781	Eukaryota	Arthropoda	Insecta	Hemiptera	unknown	g_	s_
ASV_798	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_822	Eukaryota	Rhodophyta	Bangiophyceae	Bangiales	Bangiaceae	g_	s_
ASV_874	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos
ASV_905	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Calanus	Calanus pacificus
ASV_909	Eukaryota	Cryptophyta	unknown	Pyrenomonadales	Pyrenomonadaceae	g_	s_
ASV_1054	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Paracalanidae	Paracalanus	Paracalanus sp. C AC-2013
ASV_1074	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Calanus	Calanus pacificus
ASV_1130	Eukaryota	Picozoa	unknown	unknown	unknown	g_	s_
ASV_1132	Eukaryota	Ochrophyta	Phaeophyceae	Fucales	Hormosiraceae	g_	s_
ASV_1375	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Calanus	Calanus pacificus
ASV_1452	Eukaryota	Haptophyta	Haptophyta	Isochrysidales	Noelaerhabdaceae	g_	s_
ASV_1506	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Calanus	Calanus pacificus
ASV_1523	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus parapergens
ASV_1706	Eukaryota	Chlorophyta	Chloropicophyceae	Chloropicales	Chloropicaceae	Chloropicon	Chloropicon roscoffensis
ASV_1805	Eukaryota	Oomycota	Oomycetes	Saprolegniales	Saprolegniaceae	g_	s_
ASV_2111	Eukaryota	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	g_	s_
ASV_2305	Eukaryota	Oomycota	Oomycetes	Saprolegniales	Saprolegniaceae	g_	s_
ASV_2410	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Thysanoessa	Thysanoessa spinifera
ASV_2477	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_2747	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Mamiellaceae	Micromonas	s_
ASV_2919	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_2924	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Skeletonemataceae	g_	s_
ASV_2975	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Skeletonemataceae	Skeletonema	unassigned
ASV_3003	Eukaryota	Haptophyta	Haptophyta	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis pouchetii
ASV_3013	Eukaryota	Mucoromycota	Mucoromycetes	Mucorales	Lichtheimiaceae	g_	s_
ASV_3079	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
ASV_3136	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Calanidae	Calanus	Calanus pacificus
ASV_3228	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Metridinidae	Metridia	Metridia lucens
ASV_3283	Eukaryota	Rhodophyta	Bangiophyceae	Bangiales	Bangiaceae	g_	s_
ASV_3565	Eukaryota	Rhodophyta	Bangiophyceae	Bangiales	Bangiaceae	g_	s_
ASV_3605	Eukaryota	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	Penicillium chrysogenum
ASV_3621	Eukaryota	Ochrophyta	Phaeophyceae	Ectocarpales	Scytosiphonaceae	g_	s_
ASV_3699	Eukaryota	Arthropoda	Arachnida	Araneae	Philodromidae	g_	s_
ASV_3708	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_3720	Eukaryota	unknown	Dinophyceae	Gymnodiniales	Gymnodiniaceae	g_	s_
ASV_3894	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_4039	Eukaryota	Arthropoda	Insecta	unassigned	unassigned	g_	s_
ASV_4066	Eukaryota	Ascomycota	unassigned	unassigned	unassigned	g_	s_
ASV_4709	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_4807	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_5028	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_5109	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	unassigned	g_	s_
ASV_5608	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_5643	Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Pelagibacteraceae	g_	s_
ASV_6797	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_6818	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_7261	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_7656	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_7897	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_8225	Eukaryota	Haptophyta	Haptophyta	Isochrysidales	Noelaerhabdaceae	Emiliania	Emiliania huxleyi
ASV_8226	Eukaryota	Haptophyta	Haptophyta	Isochrysidales	Noelaerhabdaceae	Emiliania	Emiliania huxleyi
ASV_8227	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_8229	Eukaryota	Ochrophyta	Phaeophyceae	Fucales	Sargassaceae	g_	s_
ASV_8230	Eukaryota	Nemertea	Palaeonemertea	unknown	Tubulanidae	g_	s_
ASV_8231	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_8232	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_8233	Eukaryota	Haptophyta	Haptophyta	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis globosa
ASV_8234	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_8235	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_8236	Eukaryota	Ochrophyta	Dictyochophyceae	Pedinellales	unknown	g_	s_
ASV_8238	Eukaryota	Rotifera	Monogononta	Ploima	Synchaetidae	g_	s_
ASV_8241	Eukaryota	Arthropoda	Hexanauplia	Calanoida	unassigned	g_	s_
ASV_8242	Eukaryota	Cercozoa	unknown	Euglyphida	Paulinellidae	g_	s_
ASV_8243	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_8244	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus parapergens
ASV_8245	Eukaryota	Oomycota	Oomycetes	unknown	unknown	g_	s_
ASV_8246	Eukaryota	Ochrophyta	Phaeophyceae	Sphacelariales	Sphacelariaceae	g_	s_
ASV_8247	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_8248	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_8250	Eukaryota	Oomycota	Oomycetes	Saprolegniales	Saprolegniaceae	g_	s_
ASV_8251	Eukaryota	Haptophyta	Haptophyta	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis globosa
ASV_8253	Eukaryota	Cnidaria	Hydrozoa	Leptothecata	Aglaopheniidae	g_	s_
ASV_8254	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_8257	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_8259	Eukaryota	Oomycota	Oomycetes	unknown	unknown	g_	s_
ASV_8262	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_8264	Eukaryota	unknown	unknown	unknown	unknown	g_	s_
ASV_8265	Eukaryota	Bacillariophyta	Bacillariophyceae	Naviculales	Sellaphoraceae	g_	s_
ASV_8270	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_8271	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_8272	Eukaryota	Haptophyta	Haptophyta	Phaeocystales	Phaeocystaceae	g_	s_
ASV_8274	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Forskaliidae	g_	s_
ASV_8277	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus parapergens
ASV_8281	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_8283	Eukaryota	Porifera	Demospongiae	Poecilosclerida	Microcionidae	g_	s_
ASV_8285	Eukaryota	Arthropoda	unassigned	unassigned	unassigned	g_	s_
ASV_8286	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_8287	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_8290	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_8293	Eukaryota	Cnidaria	Hydrozoa	Siphonophorae	Sphaeronectidae	g_	s_
ASV_8295	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_8296	Eukaryota	Cercozoa	unknown	Euglyphida	Paulinellidae	g_	s_
ASV_8301	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_8302	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos
ASV_8303	unassigned	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_8304	Eukaryota	Oomycota	Oomycetes	unknown	unknown	g_	s_
ASV_8305	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus pergens
ASV_8307	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	unassigned	g_	s_
ASV_8308	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_8309	Eukaryota	Oomycota	Oomycetes	Saprolegniales	Saprolegniaceae	g_	s_
ASV_8310	Eukaryota	Oomycota	Oomycetes	Saprolegniales	Saprolegniaceae	g_	s_
ASV_8311	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_8312	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_8314	Eukaryota	Ochrophyta	Phaeophyceae	Ectocarpales	unassigned	g_	s_
ASV_8316	Eukaryota	Cercozoa	unknown	Euglyphida	Paulinellidae	g_	s_
ASV_8318	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus pergens
ASV_8324	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_8329	Eukaryota	Annelida	Polychaeta	unassigned	unassigned	unassigned	unassigned
ASV_8330	Eukaryota	Ochrophyta	Dictyochophyceae	Pedinellales	unknown	g_	s_
ASV_8331	Eukaryota	Blastocladiomycota	Blastocladiomycetes	Blastocladiales	Blastocladiaceae	g_	s_
ASV_8332	Eukaryota	Bacillariophyta	Fragilariophyceae	Thalassionemales	Thalassionemataceae	g_	s_
ASV_8333	Eukaryota	Ochrophyta	Dictyochophyceae	Pedinellales	unknown	g_	s_
ASV_8336	Eukaryota	Rotifera	Monogononta	Ploima	Synchaetidae	g_	s_
ASV_8340	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_8341	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_8347	Eukaryota	Arthropoda	Hexanauplia	Poecilostomatoida	Oncaeidae	g_	s_
ASV_8349	Eukaryota	Haptophyta	Haptophyta	Isochrysidales	Noelaerhabdaceae	g_	s_
ASV_8350	Eukaryota	Bacillariophyta	Coscinodiscophyceae	Thalassiosirales	Skeletonemataceae	g_	s_
ASV_8351	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_8352	Eukaryota	Cnidaria	Scyphozoa	Semaeostomeae	Ulmaridae	Phacellophora	Phacellophora camtschatica
ASV_8353	Eukaryota	Chaetognatha	Sagittoidea	Aphragmophora	Sagittidae	g_	s_
ASV_8354	Eukaryota	Arthropoda	Insecta	unassigned	unassigned	g_	s_
ASV_8355	Eukaryota	unknown	unknown	unknown	Vexilliferidae	g_	s_
