#SampleID	SAMPLING_cruise	depth	library	libraryID	locus	original_name	samp_collection_device	sample_type.x	sample_type.y	CTD_or_ESP	ESP_CTD	ESP_CTD_ID	matching_ID	depth_cat	shallow_deep
CN18FESPkoa_SC24_FF	CN18F	33.19233	FF38	FF	COI	CN18FESPkoa_SC24	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP1	CN18F1	27-50	shallow
CN18FESPkoa_SC26_FF	CN18F	24.64198	FF36	FF	COI	CN18FESPkoa_SC26	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP2	CN18F2	0-25	shallow
CN18FESPkoa_SC29_FF	CN18F	24.12127	FF33	FF	COI	CN18FESPkoa_SC29	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP3	CN18F3	0-25	shallow
CN18FESPkoa_SC30_FF	CN18F	12.84975	FF31	FF	COI	CN18FESPkoa_SC30	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP4	CN18F4	0-25	shallow
CN18FESPkoa_SC31_FF	CN18F	17.95441	FF30	FF	COI	CN18FESPkoa_SC31	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP5	CN18F5	0-25	shallow
CN18FESPkoa_SC32_FF	CN18F	34.26964	FF29	FF	COI	CN18FESPkoa_SC32	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP6	CN18F6	27-50	shallow
CN18FESPkoa_SC34_FF	CN18F	27.85332	FF27	FF	COI	CN18FESPkoa_SC34	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP7	CN18F7	27-50	shallow
CN18FESPkoa_SC35_FF	CN18F	25.00059	FF26	FF	COI	CN18FESPkoa_SC35	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP8	CN18F8	0-25	shallow
CN18FESPkoa_SC37_FF	CN18F	31.66745	FF24	FF	COI	CN18FESPkoa_SC37	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP9	CN18F9	27-50	shallow
CN18FESPkoa_SC40_FF	CN18F	23.4112	FF21	FF	COI	CN18FESPkoa_SC40	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP10	CN18F10	0-25	shallow
