#OTUID	CN18SKOA_ESP37_NN	CN18SKOA_ESP40_NN	CN18SKOA_ESP42_NN	CN18SKOA_ESP45_NN	CN18SKOA_ESP47_NN	CN18SKOA_ESP49_NN	CN18Sc09_2_eDNA_NN	CN18Sc10_2_eDNA_NN	CN18Sc14_2_eDNA_NN	CN18Sc15_2_eDNA_NN	CN18Sc18_2_eDNA_NN	CN18Sc27_2_eDNA_NN
ASV_1	1386	47	48	4917	8639	69	1798	41	4868	83	63	1350
ASV_2	909	532	15	36	376	1	2164	2765	257	4716	957	75
ASV_3	9885	6761	4067	15064	4331	23	1318	1261	3295	9	3355	7254
ASV_4	0	0	0	0	0	0	0	0	0	1	0	0
ASV_5	10764	1	161	9	8123	306	1874	0	3838	8	5346	17272
ASV_6	5877	5	42551	2	7327	7348	6797	2	7619	6	22954	12
ASV_7	0	0	0	0	0	0	0	0	1	0	0	0
ASV_8	1	0	3	1	0	1	1	0	0	0	0	2964
ASV_9	2	0	8	6	2	2	2	0	5	5	7037	40
ASV_10	0	3	0	0	3	0	17	0	0	4	1	293
ASV_11	0	0	1	1	1	2	8	0	3	1	1	2
ASV_13	0	0	0	0	0	0	0	0	0	0	0	0
ASV_15	3	0	10	1	16	6973	0	0	0	0	0	0
ASV_16	0	0	1	0	0	0	0	0	0	0	0	0
ASV_17	1	0	0	1	0	1	0	0	1	0	0	0
ASV_18	0	6	8439	5	9031	59	0	6	0	38	10	1
ASV_19	10043	1	3017	2	31	6021	4361	2	16	0	4064	572
ASV_21	0	0	1548	0	1	0	0	0	0	0	4337	0
ASV_22	0	0	1	0	0	0	0	0	0	0	0	0
ASV_23	4449	0	2343	0	0	1	6774	0	265	0	2755	1719
ASV_24	2	0	0	7	13	0	0	0	6	0	0	2
ASV_25	4	4	4	1	6	5	23	3	1	7	3	11
ASV_26	0	0	1	2	0	3	0	1	2	2	0	0
ASV_27	0	0	0	0	0	0	6	0	0	0	0	4593
ASV_28	1	0	17	0	20	2	0	0	0	12	65	0
ASV_29	0	0	6	0	0	0	0	0	0	1	5001	0
ASV_33	0	0	0	0	0	0	0	0	0	0	0	3
ASV_34	0	0	1	0	2	0	0	0	2	1	0	2
ASV_35	9	1	0	20	21	0	3	0	10	0	0	3
ASV_38	0	0	0	0	0	0	0	0	0	0	0	960
ASV_39	0	0	0	11	15	0	12	0	9	0	0	0
ASV_41	0	0	0	5	8	0	1	0	5	0	0	2
ASV_42	0	0	0	0	0	0	0	0	0	0	0	0
ASV_44	0	0	0	0	0	0	0	0	0	0	0	0
ASV_45	4	0	0	15	28	0	4	0	14	0	0	4
ASV_46	0	2	0	0	0	0	2	16319	0	0	0	0
ASV_47	6	0	0	1	1	7	4	1	1	0	1	4
ASV_48	5	3	0	0	0	0	0	0	0	0	3	0
ASV_50	0	0	0	0	8	0	1	0	6	0	0	0
ASV_51	0	0	0	0	0	0	0	0	0	0	0	0
ASV_52	20	22	12	57	8	0	5	6	7	1	14	953
