#OTUID	CN18SKOA_ESP36_NN	CN18SKOA_ESP39_NN	CN18SKOA_ESP41_NN	CN18SKOA_ESP44_NN	CN18Sc14_8_eDNA_NN	CN18Sc15_8_eDNA_NN	CN18Sc18_8_eDNA_NN	CN18Sc27_8_eDNA_NN
ASV_1	17133	6286	1475	5299	3856	12225	4799	3087
ASV_2	10	46	3	4	3366	378	4030	1062
ASV_3	397	1	9	4	3810	1397	5	0
ASV_4	0	0	0	0	0	0	0	0
ASV_5	12	0	9	0	10506	5263	30	2
ASV_6	3	1	3	7	6	6	14	16
ASV_7	0	0	0	0	0	0	0	0
ASV_8	0	0	1	0	1568	1	0	0
ASV_9	1	0	2431	1883	2565	289	0	0
ASV_10	1	0	22	2	2	2	2	0
ASV_11	1	3	3	0	1	4	0	2
ASV_13	0	0	0	0	0	0	0	0
ASV_15	0	0	0	0	1	0	7	0
ASV_16	0	0	0	0	0	0	1	0
ASV_17	0	1	0	0	1	0	0	1
ASV_18	4	0	2	10	2	2	5397	3
ASV_19	6	0	3	2	1429	24	4	0
ASV_21	0	0	0	0	0	0	4	0
ASV_22	0	0	0	3	0	0	0	0
ASV_23	0	0	3	0	977	52	5	0
ASV_24	7	568	0	2	3	6	5	5
ASV_25	6	2	14	11	6	1	26	6
ASV_26	0	0	0	1	4	2	1	0
ASV_27	0	0	0	0	709	0	3	0
ASV_28	21	0	0	4	1	0	1	0
ASV_29	0	0	0	0	0	0	3	0
ASV_33	0	0	0	0	0	0	0	0
ASV_34	6	414	0	1022	2	10	1	4
ASV_35	35	8	3	4	6	24	12	5
ASV_38	0	0	1	0	0	0	0	0
ASV_39	28	9	1	10	9	2097	9	11
ASV_41	16	9	0	7	61	15	4	3
ASV_42	0	0	0	0	0	0	0	0
ASV_44	0	0	0	0	0	0	0	0
ASV_45	43	22	8	20	9	50	21	16
ASV_46	0	0	0	0	168	0	0	0
ASV_47	1	0	6	2	5	0	2	0
ASV_48	0	0	0	0	0	0	0	0
ASV_50	3	1	0	4	0	7	2	2
ASV_51	0	0	0	0	0	0	0	0
ASV_52	0	0	0	0	503	3	0	0
ASV_57	0	0	0	0	0	0	0	0
ASV_58	0	0	0	6	4	0	2	0
ASV_59	0	0	0	0	0	0	0	0
ASV_62	10	4	1	5	2	9	6	6
ASV_63	0	0	0	0	270	0	0	0
ASV_65	84	59	18	49	2	63	2	2
ASV_68	0	0	0	0	0	0	0	0
ASV_72	0	0	1	0	19	8	0	0
ASV_73	0	0	0	0	0	0	0	0
ASV_75	0	0	0	0	292	0	0	0
ASV_76	3	0	2	0	1	0	0	0
ASV_81	7	4	0	3	5	6	2	1
ASV_83	0	0	0	0	714	0	0	0
ASV_86	0	0	0	0	0	0	0	0
ASV_87	0	0	7	4	9	1	0	0
ASV_88	0	0	1	0	1	0	1	0
