#OTUID	CN18Sc14_8_eDNA	CN18Sc15_8_eDNA	CN18Sc18_8_eDNA	CN18Sc27_8_eDNA	CN18SESPkoa_SC36	CN18SESPkoa_SC39	CN18SESPkoa_SC41	CN18SESPkoa_SC44
495c1bd1608a1dad54d3e2824ce899ef	2469	78	663	256	4324	95	147	21
a900b6678ce86851fb16bfafb87f3326	7714	105	3152	305	21023	1367	1112	60
c8e360969108fa2125a3d56eb4dad24f	118	624	2261	2091	4830	566	551	43
72143fd9e63fe40c1258948d2f0d79c3	349	285	1056	343	4227	512	497	48
7b6b178fad5599c0e9a734e4fb09fd64	164	603	729	1050	2385	287	520	50
4bbec3bb723375416616a87d785ac74a	1255	1845	5000	794	21596	3095	4246	264
0c35cfa523aa27921ef8544a16d1cd36	2069	0	392	142	1798	0	55	0
7ec69f2c62aad60e060e588ef687bdd0	368	62	2110	1130	8367	1596	1795	200
61e9a50f4346bb3a5b16179b8eca71fa	197	65	371	183	1435	170	172	27
a140195871278e8fcf9447e42bad8786	428	0	347	32	1984	143	87	0
1f9d97b07aa566b3b35536b0e7302bb0	1821	0	97	13	887	18	0	0
33e3d7409266a86935f571199ff9cc58	404	0	126	43	796	24	24	0
041792056bd7be0d5d925d8a6546e833	392	0	115	44	833	0	0	0
b96ea0d3eaa1a062c1e8411c138f7e28	107	6215	609	4680	17193	3772	5571	584
17f04900bc23e4d8bc28bb77659cd448	1176	37	466	235	1802	52	63	16
01b921fe01acc5d005f66a1c9b3110df	119	8	112	10	1059	24	48	0
2c674dd5dcc493fc0bad82c12f46397e	237	213	679	233	2526	373	478	37
5ac48f1cd4727a11d81457fc680d0aef	423	0	91	25	447	0	0	0
b1c671dde7f6e801af6fd0b3085cb475	147	2288	1531	2096	4606	813	957	88
f07742b99196a9dd9416e1deba413b7c	126	22	249	77	1634	71	84	5
4f487bc7e9aaff20fafb073ca6924ace	479	20	205	23	1380	114	19	3
fcd4f1369a7e61e6dfda99e1710ccc16	152	112	1045	481	1952	149	240	25
