#OTUID	CN18SESPkoa_SC37_AA	CN18SESPkoa_SC40_AA	CN18SESPkoa_SC42_AA	CN18SESPkoa_SC45_AA	CN18SESPkoa_SC47_AA	CN18SESPkoa_SC49_AA	CN18Sc09_2_eDNA_AA	CN18Sc10_2_eDNA_AA	CN18Sc14_2_eDNA_AA	CN18Sc15_2_eDNA_AA	CN18Sc18_2_eDNA_AA	CN18Sc27_2_eDNA_AA
ASV_1	2	2	2	2	5	4	7	0	8	4	7	3
ASV_2	0	0	1	1	1	1	3	1	0	1	2	0
ASV_3	86	51	94	12	24	13	17	12	52	9	110	418
ASV_4	0	1	1	0	1	3	5	1	4	3	2	2
ASV_5	15	32	53	46	64	20	67	42	109	13	26	19
ASV_6	26	62	106	58	111	108	314	229	320	161	297	259
ASV_7	153	616	417	633	741	516	1411	1373	1283	1278	902	1248
ASV_8	51	142	327	169	312	170	402	330	361	331	637	384
ASV_9	14	35	47	84	61	24	15	6	38	9	15	5
ASV_10	0	0	0	0	0	0	2	0	4	1	0	1
ASV_11	0	351	0	1	0	1	1	2	3	1	5	0
ASV_12	9	40	47	33	51	42	53	35	49	21	54	55
ASV_13	0	0	1	1	0	0	0	0	3	0	1	1
ASV_14	0	0	1	2	4	5	5	3	5	0	7	1
ASV_15	0	0	0	0	1	0	1	0	4	3	6	2
ASV_16	203	561	434	346	585	464	727	443	1098	264	1010	1898
ASV_17	0	1	0	0	0	0	2	1	0	0	1	0
ASV_18	0	0	0	0	2	0	0	0	0	0	0	1
ASV_19	12	221	55	22	121	68	132	30	410	85	51	85
ASV_20	8	28	48	35	55	42	27	30	37	18	24	17
ASV_21	3	17	25	26	79	35	41	33	55	38	31	5
ASV_22	86	287	325	314	402	236	629	381	308	417	532	369
ASV_23	0	0	1	0	0	0	0	0	0	0	1	0
ASV_24	0	0	1	0	1	0	1	0	0	1	0	0
ASV_25	1	10	22	10	9	11	37	21	24	28	26	13
ASV_26	0	0	0	0	1	0	0	1	0	0	0	0
ASV_27	2	2	10	4	6	1	7	10	7	7	37	10
ASV_28	50	126	227	103	216	155	411	315	344	326	451	302
ASV_29	2	11	2	23	15	9	6	2	10	1	3	4
ASV_30	0	0	0	0	0	0	0	0	0	0	0	0
ASV_31	23	71	74	45	109	106	122	107	79	49	34	34
ASV_32	0	1	0	0	0	0	0	0	0	8	0	1
ASV_33	0	0	0	0	12	0	0	0	0	0	1	0
ASV_34	0	0	0	0	0	0	0	0	0	0	1	0
ASV_35	41	151	175	168	256	100	376	272	304	177	269	356
ASV_36	0	0	0	0	0	0	1	0	0	0	0	0
ASV_37	0	0	0	0	0	0	0	1	0	0	1	0
ASV_38	17	118	18	34	63	33	47	56	70	28	11	90
ASV_39	0	0	0	3	23	4	2	0	34	17	0	0
ASV_40	13	6	10	3	36	16	90	24	72	15	33	58
ASV_41	1	0	0	1	3	0	0	0	16	7	3	235
ASV_42	3	0	1	2	0	0	8	6	12	2	8	8
ASV_43	0	0	0	1	0	0	0	3	1	1	5	1
ASV_44	0	0	0	1	1	0	1	0	1	0	0	0
ASV_45	0	176	1	0	2	1	701	0	1	0	0	318
ASV_46	1	9	4	11	5	2	9	0	2	0	15	0
ASV_47	77	191	165	121	223	138	280	174	188	205	162	319
ASV_48	30	83	94	55	131	65	174	134	224	98	249	613
ASV_49	0	21	0	0	1	0	0	0	0	1	54	0
ASV_50	0	0	1	0	0	1	16	24	2	0	6	0
ASV_51	34	124	216	136	177	127	259	131	134	167	254	180
ASV_52	1	3	10	18	9	1	4	5	13	7	6	3
ASV_53	0	4	7	9	7	5	3	2	13	0	6	2
ASV_54	22	91	201	85	147	106	261	239	189	218	191	66
ASV_55	0	3	0	45	3	4	0	1	4	1	1	0
ASV_56	0	2	8	8	12	10	2	6	3	0	0	2
ASV_57	22	90	121	82	136	57	285	175	151	134	154	163
ASV_58	0	1	5	6	10	1	6	0	12	4	2	0
ASV_59	38	120	142	89	172	103	237	183	247	185	122	213
ASV_60	37	117	208	105	201	94	242	154	152	184	246	174
ASV_61	35	131	99	82	192	102	195	132	178	150	149	176
ASV_62	0	0	0	0	0	0	0	0	0	0	0	0
ASV_63	1	5	7	3	7	7	6	1	4	0	2	9
ASV_64	0	0	0	0	0	0	0	0	0	0	0	0
ASV_65	19	59	47	21	75	39	139	105	73	113	152	134
ASV_66	1	0	1	5	6	3	3	0	0	1	2	1
ASV_67	27	64	95	82	148	82	193	140	110	140	192	170
ASV_68	0	0	0	0	0	0	0	0	0	0	0	0
ASV_69	0	0	0	0	0	0	1	1	0	0	0	1
ASV_70	1	0	2	2	5	1	2	4	8	1	10	5
ASV_71	28	94	148	67	134	62	265	114	129	96	201	165
ASV_72	4	0	21	4	21	16	21	10	12	1	12	22
ASV_73	0	0	0	0	0	1	0	0	0	0	0	0
ASV_74	2	6	38	4	4	5	17	6	13	3	59	4
ASV_75	2	2	7	7	19	6	19	15	20	10	136	14
ASV_76	0	0	0	0	0	0	0	0	0	0	0	0
ASV_77	34	58	74	86	112	75	197	114	96	77	132	170
ASV_78	0	8	2	16	11	6	0	0	6	1	2	0
ASV_79	0	1	3	3	2	2	1	2	5	2	2	1
ASV_80	1	5	6	8	11	16	2	0	0	0	1	5
ASV_81	28	92	135	63	139	116	165	65	139	75	202	84
ASV_82	0	3	7	3	7	0	9	6	7	11	5	12
ASV_83	27	71	111	124	129	62	169	137	118	149	170	131
ASV_84	0	1	0	1	2	1	1	1	10	1	1	1
ASV_85	1	1	2	1	0	0	1	0	1	0	4	7
ASV_86	0	0	7	0	10	15	0	0	1	0	0	0
ASV_87	7	24	18	6	19	10	5	2	1	2	1	1
ASV_88	32	98	86	63	112	90	148	125	117	94	123	177
ASV_89	0	0	0	0	1	0	0	0	0	0	1	0
ASV_90	2	2	16	12	18	13	62	35	44	47	27	63
ASV_91	2	4	22	8	9	9	131	108	112	48	172	167
ASV_92	1	29	11	5	3	0	0	0	0	0	0	1
ASV_93	26	71	96	58	112	56	133	102	104	138	94	130
ASV_94	24	116	12	15	64	49	53	29	113	23	69	102
