#SampleID	SAMPLING_cruise	depth	library	libraryID	locus	original_name	samp_collection_device	sample_type.x	sample_type.y	CTD_or_ESP	ESP_CTD	ESP_CTD_ID	matching_ID	depth_cat
CN18FESPkoa_SC24_FF	CN18F	33.19233	FF38	FF	COI	CN18FESPkoa_SC24	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP1	CN18F1	27-50
CN18FESPkoa_SC26_FF	CN18F	24.64198	FF36	FF	COI	CN18FESPkoa_SC26	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP2	CN18F2	0-25
CN18FESPkoa_SC29_FF	CN18F	24.12127	FF33	FF	COI	CN18FESPkoa_SC29	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP3	CN18F3	0-25
CN18FESPkoa_SC30_FF	CN18F	12.84975	FF31	FF	COI	CN18FESPkoa_SC30	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP4	CN18F4	0-25
CN18FESPkoa_SC31_FF	CN18F	17.95441	FF30	FF	COI	CN18FESPkoa_SC31	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP5	CN18F5	0-25
CN18FESPkoa_SC32_FF	CN18F	34.26964	FF29	FF	COI	CN18FESPkoa_SC32	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP6	CN18F6	27-50
CN18FESPkoa_SC34_FF	CN18F	27.85332	FF27	FF	COI	CN18FESPkoa_SC34	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP7	CN18F7	27-50
CN18FESPkoa_SC35_FF	CN18F	25.00059	FF26	FF	COI	CN18FESPkoa_SC35	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP8	CN18F8	0-25
CN18FESPkoa_SC37_FF	CN18F	31.66745	FF24	FF	COI	CN18FESPkoa_SC37	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP9	CN18F9	27-50
CN18FESPkoa_SC40_FF	CN18F	23.4112	FF21	FF	COI	CN18FESPkoa_SC40	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP10	CN18F10	0-25
CN18FESPkoa_SC41_FF	CN18F	23.25099	FF20	FF	COI	CN18FESPkoa_SC41	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP11	CN18F11	0-25
CN18FESPkoa_SC43_FF	CN18F	32.40881	FF18	FF	COI	CN18FESPkoa_SC43	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP12	CN18F12	27-50
CN18FESPkoa_SC44_FF	CN18F	34.72139	FF17	FF	COI	CN18FESPkoa_SC44	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP13	CN18F13	27-50
CN18FESPkoa_SC46_FF	CN18F	36.81464	FF15	FF	COI	CN18FESPkoa_SC46	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP14	CN18F14	27-50
CN18FESPkoa_SC47_FF	CN18F	31.69745	FF14	FF	COI	CN18FESPkoa_SC47	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP15	CN18F15	27-50
CN18FESPkoa_SC49_FF	CN18F	44.79719	FF12	FF	COI	CN18FESPkoa_SC49	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP16	CN18F16	27-50
CN18FESPkoa_SC52_FF	CN18F	25.30529	FF9	FF	COI	CN18FESPkoa_SC52	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP17	CN18F17	0-25
CN18FESPkoa_SC53_FF	CN18F	34.44149	FF8	FF	COI	CN18FESPkoa_SC53	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP18	CN18F18	27-50
CN18FESPkoa_SC55_FF	CN18F	39.02684	FF6	FF	COI	CN18FESPkoa_SC55	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP19	CN18F19	27-50
CN18FESPkoa_SC56_FF	CN18F	39.844	FF5	FF	COI	CN18FESPkoa_SC56	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP20	CN18F20	27-50
CN18FESPkoa_SC57_FF	CN18F	35.21757	FF4	FF	COI	CN18FESPkoa_SC57	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP21	CN18F21	27-50
CN18FESPkoa_SC58_FF	CN18F	30.91903	FF3	FF	COI	CN18FESPkoa_SC58	3G_ESP	environmental	environmental	ESP	ESP_Sample	ESP22	CN18F22	27-50
CN18Fc12_8_eDNA_GG	CN18F	30	GG1	GG	COI	CN18Fc12_8_eDNA		environmental	environmental	CTD	CTD_Sample	CTD22	CN18F22	27-50
CN18Fc19_5_eDNA_GG	CN18F	40	GG2	GG	COI	CN18Fc19_5_eDNA		environmental	environmental	CTD	CTD_Sample	CTD21	CN18F21	27-50
CN18Fc21_6_eDNA_GG	CN18F	25	GG3	GG	COI	CN18Fc21_6_eDNA		environmental	environmental	CTD	CTD_Sample	CTD20	CN18F20	0-25
CN18Fc22_6_eDNA_GG	CN18F	35	GG4	GG	COI	CN18Fc22_6_eDNA		environmental	environmental	CTD	CTD_Sample	CTD19	CN18F19	27-50
CN18Fc24_6_eDNA_GG	CN18F	25	GG5	GG	COI	CN18Fc24_6_eDNA		environmental	environmental	CTD	CTD_Sample	CTD18	CN18F18	0-25
CN18Fc25_5_eDNA_GG	CN18F	30	GG6	GG	COI	CN18Fc25_5_eDNA		environmental	environmental	CTD	CTD_Sample	CTD17	CN18F17	27-50
CN18Fc27_4_eDNA_GG	CN18F	45	GG7	GG	COI	CN18Fc27_4_eDNA		environmental	environmental	CTD	CTD_Sample	CTD16	CN18F16	27-50
CN18Fc29_6_eDNA_GG	CN18F	30	GG8	GG	COI	CN18Fc29_6_eDNA		environmental	environmental	CTD	CTD_Sample	CTD15	CN18F15	27-50
CN18Fc30_4_eDNA_GG	CN18F	40	GG9	GG	COI	CN18Fc30_4_eDNA		environmental	environmental	CTD	CTD_Sample	CTD14	CN18F14	27-50
CN18Fc32_4_eDNA_GG	CN18F	40	GG10	GG	COI	CN18Fc32_4_eDNA		environmental	environmental	CTD	CTD_Sample	CTD13	CN18F13	27-50
CN18Fc33_5_eDNA_GG	CN18F	35	GG11	GG	COI	CN18Fc33_5_eDNA		environmental	environmental	CTD	CTD_Sample	CTD12	CN18F12	27-50
CN18Fc35_5_eDNA_GG	CN18F	30	GG12	GG	COI	CN18Fc35_5_eDNA		environmental	environmental	CTD	CTD_Sample	CTD11	CN18F11	27-50
CN18Fc36_6_eDNA_GG	CN18F	20	GG13	GG	COI	CN18Fc36_6_eDNA		environmental	environmental	CTD	CTD_Sample	CTD10	CN18F10	0-25
CN18Fc38_5_eDNA_GG	CN18F	30	GG14	GG	COI	CN18Fc38_5_eDNA		environmental	environmental	CTD	CTD_Sample	CTD9	CN18F9	27-50
CN18Fc40_6_eDNA_GG	CN18F	25	GG15	GG	COI	CN18Fc40_6_eDNA		environmental	environmental	CTD	CTD_Sample	CTD8	CN18F8	0-25
CN18Fc41_6_eDNA_GG	CN18F	25	GG16	GG	COI	CN18Fc41_6_eDNA		environmental	environmental	CTD	CTD_Sample	CTD7	CN18F7	0-25
CN18Fc43_5_eDNA_GG	CN18F	30	GG17	GG	COI	CN18Fc43_5_eDNA		environmental	environmental	CTD	CTD_Sample	CTD6	CN18F6	27-50
CN18Fc44_8_eDNA_GG	CN18F	20	GG18	GG	COI	CN18Fc44_8_eDNA		environmental	environmental	CTD	CTD_Sample	CTD5	CN18F5	0-25
CN18Fc46_8_eDNA_GG	CN18F	10	GG19	GG	COI	CN18Fc46_8_eDNA		environmental	environmental	CTD	CTD_Sample	CTD4	CN18F4	0-25
CN18Fc47_6_eDNA_GG	CN18F	25	GG20	GG	COI	CN18Fc47_6_eDNA		environmental	environmental	CTD	CTD_Sample	CTD3	CN18F3	0-25
CN18Fc49_6_eDNA_GG	CN18F	25	GG21	GG	COI	CN18Fc49_6_eDNA		environmental	environmental	CTD	CTD_Sample	CTD2	CN18F2	0-25
CN18Fc51_5_eDNA_GG	CN18F	35	GG22	GG	COI	CN18Fc51_5_eDNA		environmental	environmental	CTD	CTD_Sample	CTD1	CN18F1	27-50
