#OTUID	CN18SESPkoa_SC37_Y	CN18SESPkoa_SC40_Y	CN18SESPkoa_SC42_Y	CN18SESPkoa_SC45_Y	CN18SESPkoa_SC47_Y	CN18SESPkoa_SC49_Y	CN18Sc09_2_eDNA_Y	CN18Sc10_2_eDNA_Y	CN18Sc14_2_eDNA_Y	CN18Sc15_2_eDNA_Y	CN18Sc18_2_eDNA_Y	CN18Sc27_2_eDNA_Y
ASV_3	12	0	0	0	0	2	0	0	1	0	0	0
ASV_10	4	9	86	99	535	33	198	550	122	26	8	14
ASV_18	0	0	0	0	0	0	0	0	0	0	0	0
ASV_24	6	0	0	0	0	0	0	0	2	0	0	0
ASV_26	0	0	0	0	0	0	0	0	0	0	0	0
ASV_33	3	0	0	0	0	1	0	0	0	0	0	0
ASV_46	3	1	0	0	0	3	0	43	6	69	39	6
ASV_48	9	12	404	29	50	63	1	39	0	16	22	11
ASV_60	0	0	0	0	0	0	0	0	0	0	0	0
ASV_105	0	0	0	0	0	0	0	0	0	0	0	0
ASV_148	0	0	0	0	0	0	0	0	0	0	0	0
ASV_154	0	0	0	0	0	0	0	0	0	0	0	0
ASV_160	0	0	0	0	0	0	0	0	0	0	0	0
ASV_165	0	0	0	0	0	0	0	0	0	0	0	0
ASV_198	0	0	0	0	0	0	0	0	0	0	0	0
ASV_205	0	0	0	0	0	0	0	0	0	0	0	0
ASV_227	0	4	0	0	0	0	0	0	0	0	0	6793
ASV_233	0	0	0	0	0	0	0	0	0	0	0	0
ASV_257	0	0	0	0	0	0	3	0	0	0	0	0
ASV_263	0	0	0	0	0	0	0	0	0	0	0	0
ASV_287	0	0	0	0	0	0	0	0	0	0	0	0
ASV_294	0	0	0	0	0	0	0	0	0	0	0	0
ASV_300	0	0	0	0	0	0	0	0	0	0	0	0
ASV_314	0	0	0	0	0	0	0	0	0	0	0	0
ASV_320	0	0	0	0	0	0	0	0	0	0	0	0
ASV_323	0	0	0	0	0	0	0	0	0	0	0	0
ASV_356	0	0	0	0	0	0	0	0	0	0	0	0
ASV_357	1	0	0	0	0	0	0	0	0	0	0	0
ASV_358	0	0	0	0	0	0	0	0	0	0	0	0
ASV_359	2	0	9	3	1	0	4	0	2	0	0	6
ASV_372	1	3	5	2	12	1	5	15	0	3	8	0
ASV_398	26	4	2	28	123	1	1	20	0	1	73	0
ASV_421	0	0	0	0	0	0	0	0	0	0	0	0
ASV_423	0	0	0	0	0	0	0	0	0	0	0	0
ASV_472	0	0	0	0	0	0	0	0	0	0	0	0
ASV_492	0	0	0	4	0	2	0	2	1	6	2	0
ASV_504	0	0	0	0	0	0	0	0	0	0	0	0
ASV_506	0	0	0	0	0	0	0	0	0	0	0	0
ASV_544	0	0	0	0	0	0	0	0	0	0	0	0
ASV_551	0	0	0	0	0	0	0	0	0	0	0	0
ASV_587	0	0	0	0	0	0	0	0	0	0	0	0
ASV_605	0	0	0	0	0	0	0	0	0	0	0	0
ASV_629	45	12	47	48	110	44	93	47	368	167	98	13
ASV_694	0	0	0	0	0	0	0	0	0	0	0	0
ASV_746	3	0	0	1	11	0	0	0	0	0	0	0
ASV_752	0	0	0	0	0	0	0	0	0	0	0	0
ASV_798	21	36	80	28	180	28	96	61	89	34	126	22
ASV_821	0	0	0	0	0	0	0	0	0	1	0	0
ASV_838	2	11138	0	0	0	0	0	0	0	0	0	0
ASV_874	0	4	0	0	0	4	0	0	3	0	6	8
ASV_892	0	0	0	0	0	0	0	0	0	0	0	0
ASV_905	0	0	0	0	0	0	0	0	0	0	0	0
ASV_945	0	0	0	0	0	0	0	0	0	0	0	0
ASV_946	0	0	0	0	1	0	0	0	0	0	0	0
ASV_947	0	0	0	0	0	0	0	0	0	0	0	0
ASV_979	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1054	1	1	0	0	0	0	0	0	0	0	0	0
ASV_1074	0	1	0	0	0	0	7	0	0	3	0	0
ASV_1130	2287	1410	2838	2180	3910	2461	1632	2645	2092	2363	880	587
ASV_1132	2	1	0	3	4	2	2	2	7	4	2	0
ASV_1349	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1395	0	0	0	0	0	0	0	0	0	0	0	4
ASV_1421	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1430	0	0	0	0	0	2	0	0	0	0	0	0
ASV_1443	0	0	0	0	0	0	0	0	0	0	10	0
ASV_1452	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1523	0	0	0	0	0	0	0	0	0	0	0	4
ASV_1557	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1659	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1753	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1805	0	13	0	8	8	0	3	0	0	0	0	0
ASV_1904	0	0	0	0	1	0	0	7	0	2	0	0
ASV_1924	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2005	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2111	0	0	0	0	0	0	0	0	0	0	1	0
ASV_2171	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2278	0	0	0	0	0	0	1	0	0	0	1	0
ASV_2305	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2344	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2410	0	5	0	1	0	0	8	9	0	5	7	1
ASV_2477	0	0	0	0	0	0	0	0	0	0	4	0
ASV_2747	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2846	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2879	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2887	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2919	0	0	4	0	1	0	2	8	0	0	1	0
ASV_2924	0	4	51	1	0	0	0	19	11	0	0	0
ASV_3002	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3003	2	0	0	0	0	0	1	0	0	0	0	0
ASV_3013	8	6	14	5	9	10	6	18	12	0	1	7
ASV_3015	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3079	0	0	0	0	0	0	0	0	0	1	0	0
ASV_3194	0	1	0	1	0	0	0	0	0	0	0	0
ASV_3228	0	0	0	0	0	0	1	0	0	0	0	0
ASV_3242	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3264	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3283	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3322	0	0	0	0	0	0	0	16	12	0	0	0
ASV_3621	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3699	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3708	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3720	0	0	0	0	2	0	0	0	0	0	0	0
ASV_3888	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3894	0	0	0	0	0	0	0	0	0	3	0	0
ASV_4066	0	0	0	0	0	0	0	0	0	0	0	0
ASV_4195	0	0	0	0	0	0	0	0	0	0	0	0
ASV_4365	6	5	12	14	18	71	5	7	4	14	1	14
ASV_4573	0	0	0	0	0	0	0	0	0	0	0	0
ASV_4638	0	0	0	0	0	0	0	0	0	0	0	1
ASV_4912	76	56	22	3	49	55	14	18	53	24	2	78
ASV_4914	0	0	0	0	0	0	0	0	0	0	0	0
ASV_4976	0	0	0	0	0	0	0	0	0	0	0	0
ASV_5028	0	0	14	0	0	0	0	0	0	0	0	0
ASV_5109	0	0	0	0	0	0	0	0	2	0	0	0
ASV_5240	0	0	0	0	0	0	0	0	0	0	0	0
ASV_5263	0	0	0	0	0	0	0	0	0	0	0	0
ASV_5643	0	0	0	0	0	0	0	0	0	0	0	0
ASV_6761	0	0	0	0	0	0	0	0	0	0	0	0
ASV_6797	0	0	0	0	0	0	0	0	0	0	0	0
ASV_6799	0	0	0	0	0	0	0	0	0	0	0	0
ASV_6818	0	0	0	0	3	0	0	0	0	0	1	0
ASV_6904	0	0	0	0	0	0	0	0	0	0	0	0
ASV_7261	0	0	0	0	0	0	0	0	0	0	0	0
ASV_7485	0	0	0	0	0	0	0	0	0	0	0	0
ASV_7490	0	0	0	0	0	0	0	0	0	0	0	0
ASV_7589	0	0	0	0	0	0	0	0	0	0	0	0
ASV_7599	0	0	0	0	0	0	0	0	0	0	0	0
ASV_7625	0	0	0	0	0	0	0	0	0	0	0	0
ASV_7656	0	0	2	0	2	0	0	0	1	0	0	0
ASV_7700	0	0	0	0	0	0	0	0	0	0	0	0
ASV_7711	0	0	0	0	0	0	0	0	0	0	0	0
ASV_7743	0	0	0	0	0	0	0	0	0	0	0	0
ASV_7804	0	0	0	0	0	0	0	0	0	0	0	0
ASV_7835	0	0	0	0	0	0	0	0	0	0	0	0
ASV_7849	0	0	0	0	0	0	0	0	0	0	0	0
ASV_7897	9	0	2	0	1	3	0	1	0	0	0	6
ASV_7900	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8225	12	3	447	98	419	457	145	111	183	399	164	1
ASV_8226	136	13	178	88	131	563	585	308	293	229	459	8
ASV_8227	11	1	8837	1	299	23	0	3	4	1	5491	1
ASV_8228	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8229	11	0	17	184	0	36	255	307	87	30	16	22
ASV_8230	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8231	2	0	0	0	0	0	0	0	0	0	1	0
ASV_8232	0	0	12	0	2	0	1	0	0	0	0	0
ASV_8233	114	136	400	57	171	125	175	196	90	142	116	28
ASV_8234	609	554	512	369	1435	412	1156	799	302	608	284	127
ASV_8235	0	0	0	0	0	0	0	0	54	0	1	0
ASV_8236	0	0	0	0	0	16	20	0	0	0	0	0
ASV_8238	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8241	3	0	0	0	0	0	0	0	0	0	0	0
ASV_8242	3	1	0	21	16	0	0	2	18	0	95	0
ASV_8243	0	6	3124	0	0	0	0	1	0	0	0	0
ASV_8244	0	0	0	0	0	0	0	0	0	0	1	0
ASV_8246	1041	376	1134	610	913	785	1210	1374	1693	457	492	491
ASV_8247	0	0	2	0	0	0	0	0	0	0	1	0
ASV_8248	517	839	156	1405	1526	1044	24	81	354	3	65	1
ASV_8249	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8250	0	0	0	0	0	0	0	29	0	0	0	0
ASV_8251	113	180	340	186	476	172	551	376	294	327	222	47
ASV_8252	20	4	0	43	0	0	34	15	10	0	0	10
ASV_8253	0	0	0	26	0	0	0	0	0	0	0	0
ASV_8254	0	0	0	0	0	0	0	2	0	0	0	0
ASV_8257	24	4	98	86	327	103	68	631	95	92	51	2
ASV_8259	9	9	0	2	26	12	3	2	27	4	0	0
ASV_8260	10	0	1	0	0	5	0	0	2	0	0	1
ASV_8261	0	0	0	0	0	0	0	0	0	0	0	2
ASV_8262	0	0	13	0	0	0	10	0	0	0	0	0
ASV_8263	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8264	9	51	81	88	81	91	53	104	40	94	116	2
ASV_8265	0	0	0	0	0	0	0	0	0	0	0	0
ASV_8269	0	0	0	0	0	0	0	0	0	0	0	0
