#OTUID	CN18SESPkoa_SC36_Y	CN18SESPkoa_SC39_Y	CN18SESPkoa_SC41_Y	CN18SESPkoa_SC44_Y	CN18Sc14_8_eDNA_Y	CN18Sc15_8_eDNA_Y	CN18Sc18_8_eDNA_Y	CN18Sc27_8_eDNA_Y
ASV_3	5	0	0	0	0	22	0	0
ASV_10	617	399	440	434	499	552	267	1098
ASV_18	0	0	0	0	0	0	0	0
ASV_24	0	0	0	0	0	1	0	0
ASV_26	0	0	4	1	0	0	0	0
ASV_33	1	0	0	0	0	1	0	0
ASV_46	0	0	0	0	8	14	172	100
ASV_48	322	305	302	300	363	441	313	416
ASV_60	0	0	0	0	0	0	0	0
ASV_105	0	1	0	0	0	0	0	0
ASV_148	0	0	0	0	0	0	2	0
ASV_154	21	7	87	55	0	35	0	10
ASV_160	0	0	0	0	0	0	0	0
ASV_165	0	0	0	0	0	0	0	0
ASV_198	0	0	0	0	0	0	0	0
ASV_205	0	0	0	0	0	0	0	0
ASV_227	0	2	2	0	0	0	4007	7
ASV_233	0	0	0	0	0	0	0	0
ASV_257	21	2	1	5	4	14	17	0
ASV_263	0	0	0	0	0	0	0	0
ASV_287	0	0	0	0	0	0	0	0
ASV_294	0	0	0	0	0	0	0	0
ASV_300	0	0	0	0	0	0	0	0
ASV_314	0	0	0	0	0	0	0	0
ASV_320	0	0	0	0	0	0	0	0
ASV_323	3	5	0	0	0	3	3	0
ASV_356	0	0	0	0	0	0	0	0
ASV_357	0	0	0	0	0	0	0	0
ASV_358	0	0	0	0	0	0	0	0
ASV_359	0	0	0	0	2	0	0	0
ASV_372	91	23	110	72	37	26	49	22
ASV_398	71	10	656	733	0	858	0	479
ASV_421	0	0	0	0	0	0	0	0
ASV_423	0	0	0	0	0	0	0	0
ASV_472	0	0	0	0	0	0	0	0
ASV_492	95	28	254	234	11	164	30	25
ASV_504	0	0	0	0	0	0	0	0
ASV_506	0	0	0	0	0	0	0	0
ASV_544	0	0	0	0	0	0	3	0
ASV_551	0	0	0	0	0	0	0	0
ASV_587	0	0	0	0	0	0	0	0
ASV_605	0	0	0	0	0	0	0	0
ASV_629	7896	7070	13875	8113	255	8961	8557	6931
ASV_694	0	0	0	0	0	0	0	0
ASV_746	9	2	3	3	3	0	18	0
ASV_752	0	0	0	0	0	0	0	0
ASV_798	24	0	3	2	70	9	0	2
ASV_821	0	0	0	0	0	0	1	0
ASV_838	0	1	4	0	0	0	0	0
ASV_874	24	10	227	135	9	47	5	14
ASV_892	0	0	0	0	0	0	0	0
ASV_905	2	0	0	0	0	0	0	0
ASV_945	0	0	0	0	0	0	0	0
ASV_946	0	0	0	0	0	0	0	0
ASV_947	0	0	0	0	0	0	0	0
ASV_979	0	0	0	0	0	0	0	0
ASV_1054	0	7	32	5	3	84	0	1659
ASV_1074	0	0	0	0	0	0	0	0
ASV_1130	404	59	192	92	1154	175	206	53
ASV_1132	4	0	0	6	5	7	0	22
ASV_1349	0	0	0	0	0	0	0	0
ASV_1395	0	0	0	0	0	0	1	0
ASV_1421	0	0	0	0	0	0	0	0
ASV_1430	0	0	0	0	0	0	0	0
ASV_1443	0	0	0	0	0	0	3	0
ASV_1452	6	0	0	0	0	0	2	0
ASV_1523	0	0	0	0	1	0	9	1
ASV_1557	0	0	0	0	0	0	0	0
ASV_1659	0	0	0	0	0	0	0	0
ASV_1753	0	0	0	0	0	0	0	0
ASV_1805	3	0	0	0	0	4	0	0
ASV_1904	2	0	0	0	0	0	0	2
ASV_1924	1	0	0	0	0	0	0	0
ASV_2005	0	0	0	0	0	0	0	0
ASV_2111	0	0	0	0	0	0	0	0
ASV_2171	0	0	0	0	0	0	0	0
ASV_2278	3	20	2	10	0	7	17	7
ASV_2305	2	0	1	0	0	0	0	0
ASV_2344	0	0	0	0	0	0	0	0
ASV_2410	2	0	0	0	0	3	0	2
ASV_2477	4	0	3	10	4	8	11	1
ASV_2747	7	7	21	12	3	5	5	2
ASV_2846	0	0	0	0	0	0	0	0
ASV_2879	0	0	0	0	0	0	0	0
ASV_2887	0	0	0	0	0	0	0	0
ASV_2919	0	0	5	2	0	0	0	0
ASV_2924	0	0	0	0	0	0	0	0
ASV_3002	0	0	0	0	0	0	0	0
ASV_3003	2	1	0	0	0	0	0	0
ASV_3013	0	0	0	3	3	1	0	0
ASV_3015	0	0	0	0	0	0	0	0
ASV_3079	0	0	0	0	0	0	1	0
ASV_3194	13	15	6	3	0	0	0	0
ASV_3228	0	0	0	0	0	69	82	0
ASV_3242	0	0	0	0	0	0	0	0
ASV_3264	0	0	0	0	0	0	0	0
ASV_3283	1	4	0	0	0	2	0	0
ASV_3322	0	0	0	0	0	0	0	0
ASV_3621	0	0	0	0	0	0	0	0
ASV_3699	0	0	2	4	0	11	0	0
