#OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_3	Eukaryota	Arthropoda	Malacostraca	Decapoda	Oplophoridae	Acanthephyra	Acanthephyra curtirostris
ASV_10	Eukaryota	Haptophyta	Haptophyta	Isochrysidales	Noelaerhabdaceae	Emiliania	Emiliania huxleyi
ASV_18	Eukaryota	Oomycota	Oomycetes	Saprolegniales	Saprolegniaceae	g_	s_
ASV_24	Eukaryota	Arthropoda	Malacostraca	Decapoda	unassigned	unassigned	s_
ASV_26	Eukaryota	Chordata	Ascidiacea	Enterogona	Ascidiidae	Ascidia	Ascidia ahodori
ASV_33	Eukaryota	Arthropoda	Malacostraca	Decapoda	Polychelidae	g_	s_
ASV_46	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
ASV_48	Eukaryota	Haptophyta	Haptophyta	Isochrysidales	Noelaerhabdaceae	Emiliania	Emiliania huxleyi
ASV_60	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit	no_hit
ASV_105	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_148	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_154	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_160	Eukaryota	Ochrophyta	Chrysophyceae	Chromulinales	Chromulinaceae	g_	s_
ASV_165	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_189	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Paracalanidae	Paracalanus	Paracalanus sp. C AC-2013
ASV_198	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_205	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_227	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus parapergens
ASV_233	Eukaryota	Cnidaria	Hydrozoa	unassigned	unassigned	g_	s_
ASV_257	Eukaryota	Oomycota	Oomycetes	Saprolegniales	Saprolegniaceae	g_	s_
ASV_263	Eukaryota	Ochrophyta	Phaeophyceae	Sphacelariales	Sphacelariaceae	g_	s_
ASV_287	Eukaryota	Ochrophyta	Phaeophyceae	Sphacelariales	Sphacelariaceae	g_	s_
ASV_294	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_300	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	g_	s_
ASV_314	Eukaryota	Ochrophyta	Phaeophyceae	Fucales	Sargassaceae	g_	s_
ASV_320	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus furcatus
ASV_323	Eukaryota	Porifera	Demospongiae	Poecilosclerida	Microcionidae	g_	s_
ASV_356	Eukaryota	Ochrophyta	Chrysophyceae	Chromulinales	Chromulinaceae	g_	s_
ASV_357	Eukaryota	Arthropoda	Malacostraca	Decapoda	Polychelidae	g_	s_
ASV_358	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_359	Eukaryota	Arthropoda	Malacostraca	Euphausiacea	Euphausiidae	Euphausia	Euphausia pacifica
ASV_372	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos
ASV_398	Eukaryota	Oomycota	Oomycetes	unknown	unknown	g_	s_
ASV_421	Eukaryota	Arthropoda	Arachnida	Sarcoptiformes	Pyroglyphidae	Dermatophagoides	Dermatophagoides pteronyssinus
ASV_423	Eukaryota	Haptophyta	Haptophyta	Isochrysidales	Noelaerhabdaceae	Emiliania	Emiliania huxleyi
ASV_472	Eukaryota	unknown	unknown	Bicosoecida	Cafeteriaceae	Cafeteria	s_
ASV_492	Eukaryota	Ochrophyta	Chrysophyceae	Chromulinales	Chromulinaceae	g_	s_
ASV_504	Eukaryota	Annelida	Polychaeta	Sabellida	Sabellariidae	unassigned	unassigned
ASV_506	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_544	Eukaryota	Rotifera	Monogononta	Ploima	Synchaetidae	g_	s_
ASV_551	Eukaryota	Arthropoda	Insecta	Coleoptera	Staphylinidae	g_	s_
ASV_587	Eukaryota	Annelida	Polychaeta	Phyllodocida	Phyllodocidae	g_	s_
ASV_605	Eukaryota	unassigned	unassigned	unassigned	unassigned	unassigned	unassigned
ASV_629	Eukaryota	Picozoa	unknown	unknown	unknown	g_	s_
ASV_694	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_746	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_752	Eukaryota	Haptophyta	Haptophyta	Prymnesiales	Chrysochromulinaceae	g_	s_
ASV_798	Eukaryota	unassigned	unassigned	unassigned	unassigned	g_	s_
ASV_821	Eukaryota	Chordata	Mammalia	Primates	Hominidae	Homo	Homo sapiens
ASV_838	Eukaryota	Arthropoda	Hexanauplia	Calanoida	Clausocalanidae	Clausocalanus	Clausocalanus parapergens
ASV_874	Eukaryota	Chlorophyta	Mamiellophyceae	Mamiellales	Bathycoccaceae	Bathycoccus	Bathycoccus prasinos
