"","20171019_EB_NN","20180710_EB_NN","20181211_EB_OO","20181212_EB_OO","20181218_EB_OO","20190619_EB_QQ","CN18FESPkoa_BN1post_OO","CN18FESPkoa_BN1pre_OO","CN18FESPkoa_BN2post_OO","CN18FESPkoa_BN2pre_OO","CN18FESPkoa_BN3post_OO","CN18FESPkoa_BN3pre_OO","CN18FESPkoa_BP1_OO","CN18FESPkoa_BP2_OO","CN18FESPkoa_BP3_OO","CN18FESPkoa_SC1_OO","CN18FESPkoa_SC24_OO","CN18FESPkoa_SC26_OO","CN18FESPkoa_SC29_OO","CN18FESPkoa_SC30_OO","CN18FESPkoa_SC31_OO","CN18FESPkoa_SC32_OO","CN18FESPkoa_SC34_OO","CN18FESPkoa_SC35_OO","CN18FESPkoa_SC37_OO","CN18FESPkoa_SC40_OO","CN18FESPkoa_SC41_OO","CN18FESPkoa_SC43_OO","CN18FESPkoa_SC44_OO","CN18FESPkoa_SC46_OO","CN18FESPkoa_SC47_OO","CN18FESPkoa_SC49_OO","CN18FESPkoa_SC52_OO","CN18FESPkoa_SC53_OO","CN18FESPkoa_SC55_OO","CN18FESPkoa_SC56_OO","CN18FESPkoa_SC57_OO","CN18FESPkoa_SC58_OO","CN18FESPkoa_SC59_OO","CN18Fc12_8_eDNA_OO","CN18Fc21_6_eDNA_OO","CN18Fc22_6_eDNA_OO","CN18Fc24_6_eDNA_OO","CN18Fc25_5_eDNA_OO","CN18Fc27_4_eDNA_OO","CN18Fc29_6_eDNA_OO","CN18Fc30_4_eDNA_OO","CN18Fc32_4_eDNA_OO","CN18Fc33_5_eDNA_OO","CN18Fc35_5_eDNA_OO","CN18Fc36_6_eDNA_OO","CN18Fc38_5_eDNA_OO","CN18Fc40_6_eDNA_OO","CN18Fc41_6_eDNA_OO","CN18Fc43_5_eDNA_OO","CN18Fc44_8_eDNA_OO","CN18Fc46_8_eDNA_OO","CN18SKOA_ESP36_NN","CN18SKOA_ESP37_NN","CN18SKOA_ESP39_NN","CN18SKOA_ESP40_NN","CN18SKOA_ESP41_NN","CN18SKOA_ESP42_NN","CN18SKOA_ESP44_NN","CN18SKOA_ESP45_NN","CN18SKOA_ESP47_NN","CN18SKOA_ESP49_NN","CN18S_koa3G_BN1post_NN","CN18S_koa3G_BN1pre_NN","CN18S_koa3G_BN2post_NN","CN18S_koa3G_BN2pre_NN","CN18S_koa3G_BN3post_NN","CN18S_koa3G_BN3pre_NN","CN18S_koa3G_BP1_NN","CN18S_koa3G_BP2_NN","CN18S_koa3G_BP3_NN","CN18S_koa3G_SC29_NN","CN18S_koa3G_SC30_NN","CN18S_koa3G_SC31_NN","CN18S_koa3G_SC57_NN","CN18S_koa3G_SC58_NN","CN18S_koa3G_SC59_NN","CN18Sc09_2_eDNA_NN","CN18Sc10_2_eDNA_NN","CN18Sc14_2_eDNA_NN","CN18Sc14_8_eDNA_NN","CN18Sc15_2_eDNA_NN","CN18Sc15_8_eDNA_NN","CN18Sc18_2_eDNA_NN","CN18Sc18_8_eDNA_NN","CN18Sc27_2_eDNA_NN","CN18Sc27_8_eDNA_NN","pcrblank_1_NN","pcrblank_1_OO","pcrblank_1_QQ","pcrblank_2_NN","pcrblank_2_OO","pcrblank_2_QQ","pcrblank_3_NN","pcrblank_3_OO","pcrblank_3_QQ"
"ASV_1",72,206,186,105,93,52,392,234,480,263,454,151,70811,66995,32987,35158,24682,26488,58881,20245,26392,30155,47675,52412,38542,43161,32947,32912,50542,39008,35747,41535,77945,74704,47240,44891,21279,13736,393,13963,11013,30891,47950,11858,45303,32338,26040,18374,22159,32247,49257,20524,42552,21226,22063,40111,34859,17135,1386,6286,47,1475,48,5299,4917,8639,69,58,35,106,36,34,17,11705,28456,45560,28,41,16,36,51,51,1799,41,4868,3856,83,12226,63,4799,1350,3088,49,312,41,21,337,44,49,243,62
"ASV_2",17378,108935,4676,0,1,3,30238,0,5789,1,1989,10,787,2341,712,5868,268,110,38,4,20,49,83,48,25,106,57,15,100,0,18,0,172,12,16,7,0,193,0,65,597,201,347,12,4,27,716,0,16,84,112,12,126,57,74,82,157,10,910,46,532,3,15,4,36,376,1,28561,27,6079,2768,70853,6,224,236,69,3142,1567,1103,7,3,3510,2165,2766,257,3366,4716,378,958,4030,75,1062,5,16,1,4,0,1,9,0,2
"ASV_3",4,5,0,0,0,248,0,0,0,0,0,0,488,1241,388,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,107,0,0,1,1,1,146,1,1,0,0,0,0,0,0,0,84,0,0,0,0,0,3,397,9886,1,6762,9,4068,4,15064,4331,23,0,0,2,2,0,1,22,5,1,4,1,1,1,1,4,1318,1261,3296,3812,9,1397,3358,5,7254,0,1,0,9,6,0,2,2,0,4
"ASV_4",1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_5",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10764,0,1,9,161,0,9,8124,306,0,0,5,5,2,0,0,12,1,7,1,0,9,0,1,1874,0,3840,10509,8,5263,5350,30,17274,2,0,0,1,4,0,3,0,0,7
"ASV_6",1,0,0,0,0,2,0,1,0,0,2,0,105,1600,969,0,7,1,1,310,0,0,0,0,0,0,728,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1257,3,5877,1,5,3,42551,7,2,7327,7348,1,0,0,1,8,0,4,8,1,6,3,2,1,0,27,6797,2,7619,6,6,6,22954,14,12,16,0,0,7,1,0,0,0,0,2
"ASV_7",0,0,11,3,0,0,13,1,6,0,0,4,0,6,3,7,10847,1275,4,0,1254,32042,1,2949,1,3961,906,1,3,0,3,2,1,0,6,5201,4,0,6,2,3,6,0,2,18,4,0,0,7,5,0,1,18,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0
"ASV_8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1681,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,1,3,0,1,0,1,2,2,3,0,0,0,0,2,0,1,0,0,0,0,2,1,0,0,1568,0,1,0,0,2964,0,0,0,6,1,0,9,0,0,15
"ASV_9",0,3,3,0,4,2,5,4,32,3,4,2,6,573,262,3,1,10,1648,840,1,3,4,11,16,1,6511,236,7,1498,3,56,1119,4,7,1,93,2,8,1726,1390,15622,8,2322,7,4533,76,1048,1025,2833,4422,10,2,1,748,5742,93,1,2,0,0,2431,8,1883,6,2,2,0,0,0,0,0,0,3,0,1,0,0,0,0,4,0,2,0,5,2565,5,289,7037,0,40,0,1,8,3,0,23,3,0,2,0
"ASV_10",16,1,0,0,0,0,0,0,0,1,0,0,45,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,0,284,0,0,0,0,0,0,1,0,0,3,22,0,2,0,3,0,2,34,4,74539,6,4,0,1,5,3,3,0,15,0,3,17,0,0,2,4,2,1,2,293,0,0,0,0,1,0,3,0,0,0
