,SAMPLING_cruise,depth,library,libraryID,locus,original_name,samp_collection_device,sample_type.x,sample_type.y,CTD_or_ESP,ESP_CTD,ESP_CTD_ID,matching_ID
20171019_EB_NN,,NA,NN95,NN,,20171019_EB,,negative,NA,NA,NA,NA,NA
20180710_EB_NN,SBMBON,NA,NN92,NN,,20180710_EB,,negative,NA,NA,NA,NA,NA
20181211_EB_OO,,NA,OO93,OO,,20181211_EB,,negative,NA,NA,NA,NA,NA
20181212_EB_OO,,NA,OO94,OO,,20181212_EB,,negative,NA,NA,NA,NA,NA
20181218_EB_OO,,NA,OO95,OO,,20181218_EB,,negative,NA,NA,NA,NA,NA
20190619_EB_QQ,,NA,QQ94,QQ,12S,20190619_EB,,negative,NA,NA,NA,NA,NA
CN18FESPkoa_BN1post_OO,,NA,OO85,OO,,CN18FESPkoa_BN1post,,negative,blank_esp_post,,,,
CN18FESPkoa_BN1pre_OO,,NA,OO82,OO,,CN18FESPkoa_BN1pre,,negative,blank_esp_pre,,,,
CN18FESPkoa_BN2post_OO,,NA,OO86,OO,,CN18FESPkoa_BN2post,,negative,blank_esp_post,,,,
CN18FESPkoa_BN2pre_OO,,NA,OO83,OO,,CN18FESPkoa_BN2pre,,negative,blank_esp_pre,,,,
CN18FESPkoa_BN3post_OO,,NA,OO87,OO,,CN18FESPkoa_BN3post,,negative,blank_esp_post,,,,
CN18FESPkoa_BN3pre_OO,,NA,OO84,OO,,CN18FESPkoa_BN3pre,,negative,blank_esp_pre,,,,
CN18FESPkoa_BP1_OO,CN18F,NA,OO88,OO,,CN18FESPkoa_BP1,,positive,NA,NA,NA,NA,NA
CN18FESPkoa_BP2_OO,CN18F,NA,OO89,OO,,CN18FESPkoa_BP2,,positive,NA,NA,NA,NA,NA
CN18FESPkoa_BP3_OO,CN18F,NA,OO90,OO,,CN18FESPkoa_BP3,,positive,NA,NA,NA,NA,NA
CN18FESPkoa_SC1_OO,CN18F,NA,OO61,OO,,CN18FESPkoa_SC1,,negative,environmental,,,,
CN18FESPkoa_SC24_OO,CN18F,33.19232641,OO38,OO,,CN18FESPkoa_SC24,,environmental,environmental,ESP,ESP_Sample,ESP1,CN18F1
CN18FESPkoa_SC26_OO,CN18F,24.64197722,OO36,OO,,CN18FESPkoa_SC26,,environmental,environmental,ESP,ESP_Sample,ESP2,CN18F2
CN18FESPkoa_SC29_OO,CN18F,24.12127247,OO33,OO,,CN18FESPkoa_SC29,,environmental,environmental,ESP,ESP_Sample,ESP3,CN18F3
CN18FESPkoa_SC30_OO,CN18F,12.84975355,OO31,OO,,CN18FESPkoa_SC30,,environmental,environmental,ESP,ESP_Sample,ESP4,CN18F4
CN18FESPkoa_SC31_OO,CN18F,17.95441159,OO30,OO,,CN18FESPkoa_SC31,,environmental,environmental,ESP,ESP_Sample,ESP5,CN18F5
CN18FESPkoa_SC32_OO,CN18F,34.26964331,OO29,OO,,CN18FESPkoa_SC32,,environmental,environmental,ESP,ESP_Sample,ESP6,CN18F6
CN18FESPkoa_SC34_OO,CN18F,27.85331907,OO27,OO,,CN18FESPkoa_SC34,,environmental,environmental,ESP,ESP_Sample,ESP7,CN18F7
CN18FESPkoa_SC35_OO,CN18F,25.00059387,OO26,OO,,CN18FESPkoa_SC35,,environmental,environmental,ESP,ESP_Sample,ESP8,CN18F8
CN18FESPkoa_SC37_OO,CN18F,31.66745079,OO24,OO,,CN18FESPkoa_SC37,,environmental,environmental,ESP,ESP_Sample,ESP9,CN18F9
CN18FESPkoa_SC40_OO,CN18F,23.41120239,OO21,OO,,CN18FESPkoa_SC40,,environmental,environmental,ESP,ESP_Sample,ESP10,CN18F10
CN18FESPkoa_SC41_OO,CN18F,23.25098937,OO20,OO,,CN18FESPkoa_SC41,,environmental,environmental,ESP,ESP_Sample,ESP11,CN18F11
CN18FESPkoa_SC43_OO,CN18F,32.40880836,OO18,OO,,CN18FESPkoa_SC43,,environmental,environmental,ESP,ESP_Sample,ESP12,CN18F12
CN18FESPkoa_SC44_OO,CN18F,34.72138758,OO17,OO,,CN18FESPkoa_SC44,,environmental,environmental,ESP,ESP_Sample,ESP13,CN18F13
CN18FESPkoa_SC46_OO,CN18F,36.81463935,OO15,OO,,CN18FESPkoa_SC46,,environmental,environmental,ESP,ESP_Sample,ESP14,CN18F14
CN18FESPkoa_SC47_OO,CN18F,31.69744903,OO14,OO,,CN18FESPkoa_SC47,,environmental,environmental,ESP,ESP_Sample,ESP15,CN18F15
CN18FESPkoa_SC49_OO,CN18F,44.79718743,OO12,OO,,CN18FESPkoa_SC49,,environmental,environmental,ESP,ESP_Sample,ESP16,CN18F16
CN18FESPkoa_SC52_OO,CN18F,25.30528936,OO9,OO,,CN18FESPkoa_SC52,,environmental,environmental,ESP,ESP_Sample,ESP17,CN18F17
CN18FESPkoa_SC53_OO,CN18F,34.44149289,OO8,OO,,CN18FESPkoa_SC53,,environmental,environmental,ESP,ESP_Sample,ESP18,CN18F18
CN18FESPkoa_SC55_OO,CN18F,39.02684487,OO6,OO,,CN18FESPkoa_SC55,,environmental,environmental,ESP,ESP_Sample,ESP19,CN18F19
CN18FESPkoa_SC56_OO,CN18F,39.84399873,OO5,OO,,CN18FESPkoa_SC56,,environmental,environmental,ESP,ESP_Sample,ESP20,CN18F20
CN18FESPkoa_SC57_OO,CN18F,35.21756651,OO4,OO,,CN18FESPkoa_SC57,,environmental,environmental,ESP,ESP_Sample,ESP21,CN18F21
CN18FESPkoa_SC58_OO,CN18F,30.91903055,OO3,OO,,CN18FESPkoa_SC58,,environmental,environmental,ESP,ESP_Sample,ESP22,CN18F22
CN18FESPkoa_SC59_OO,CN18F,NA,OO2,OO,,CN18FESPkoa_SC59,,negative,environmental,,,,
CN18Fc12_8_eDNA_OO,CN18F,30,OO62,OO,,CN18Fc12_8_eDNA,,environmental,environmental,CTD,CTD_Sample,CTD22,CN18F22
CN18Fc21_6_eDNA_OO,CN18F,25,OO65,OO,,CN18Fc21_6_eDNA,,environmental,environmental,CTD,CTD_Sample,CTD20,CN18F20
CN18Fc22_6_eDNA_OO,CN18F,35,OO66,OO,,CN18Fc22_6_eDNA,,environmental,environmental,CTD,CTD_Sample,CTD19,CN18F19
CN18Fc24_6_eDNA_OO,CN18F,25,OO67,OO,,CN18Fc24_6_eDNA,,environmental,environmental,CTD,CTD_Sample,CTD18,CN18F18
CN18Fc25_5_eDNA_OO,CN18F,30,OO68,OO,,CN18Fc25_5_eDNA,,environmental,environmental,CTD,CTD_Sample,CTD17,CN18F17
CN18Fc27_4_eDNA_OO,CN18F,45,OO69,OO,,CN18Fc27_4_eDNA,,environmental,environmental,CTD,CTD_Sample,CTD16,CN18F16
CN18Fc29_6_eDNA_OO,CN18F,30,OO70,OO,,CN18Fc29_6_eDNA,,environmental,environmental,CTD,CTD_Sample,CTD15,CN18F15
CN18Fc30_4_eDNA_OO,CN18F,40,OO71,OO,,CN18Fc30_4_eDNA,,environmental,environmental,CTD,CTD_Sample,CTD14,CN18F14
CN18Fc32_4_eDNA_OO,CN18F,40,OO72,OO,,CN18Fc32_4_eDNA,,environmental,environmental,CTD,CTD_Sample,CTD13,CN18F13
