ID	CN18FBP1pr	CN18FBP2pr	CN18FBP3pr	CN18Fc12_8_eDNA	CN18Fc19_5_eDNA	CN18Fc21_6_eDNA	CN18Fc22_6_eDNA	CN18Fc24_6_eDNA	CN18Fc25_5_eDNA	CN18Fc27_4_eDNA	CN18Fc29_6_eDNA	CN18Fc30_4_eDNA	CN18Fc32_4_eDNA	CN18Fc33_5_eDNA	CN18Fc36_6_eDNA	CN18Fc38_5_eDNA	CN18Fc40_6_eDNA	CN18Fc41_6_eDNA	CN18Fc43_5_eDNA	CN18Fc44_8_eDNA	CN18Fc46_8_eDNA	CN18Fc47_6_eDNA	CN18Fc49_6_eDNA	CN18Fc51_5_eDNA	CN18FESPkoa_SC1	CN18FESPkoa_SC24	CN18FESPkoa_SC26	CN18FESPkoa_SC29	CN18FESPkoa_SC30	CN18FESPkoa_SC31	CN18FESPkoa_SC32	CN18FESPkoa_SC34	CN18FESPkoa_SC37	CN18FESPkoa_SC40	CN18FESPkoa_SC41	CN18FESPkoa_SC43	CN18FESPkoa_SC44	CN18FESPkoa_SC46	CN18FESPkoa_SC47	CN18FESPkoa_SC49	CN18FESPkoa_SC52	CN18FESPkoa_SC53	CN18FESPkoa_SC55	CN18FESPkoa_SC56	CN18FESPkoa_SC57	CN18FESPkoa_SC58	CN18FESPkoa_SC60	CN18S_koa3G_BP1	CN18S_koa3G_BP2	CN18S_koa3G_BP3	CN18S_koa3G_SC29	CN18S_koa3G_SC30	CN18S_koa3G_SC31	CN18S_koa3G_SC60	CN18Sc09_2_eDNA	CN18Sc10_2_eDNA	CN18Sc14_2_eDNA	CN18Sc14_8_eDNA	CN18Sc15_2_eDNA	CN18Sc15_8_eDNA	CN18Sc18_2_eDNA	CN18Sc18_8_eDNA	CN18Sc27_2_eDNA	CN18Sc27_8_eDNA	CN18SESPkoa_SC36	CN18SESPkoa_SC37	CN18SESPkoa_SC39	CN18SESPkoa_SC40	CN18SESPkoa_SC41	CN18SESPkoa_SC42	CN18SESPkoa_SC44	CN18SESPkoa_SC45	CN18SESPkoa_SC47	CN18SESPkoa_SC49
d__Archaea;p__Crenarchaeota	30.0	19.0	22.0	821.0	11712.0	14216.0	12946.0	11127.0	20770.0	293.0	12799.0	14575.0	4164.0	14470.0	15131.0	13790.0	12976.0	14094.0	13646.0	12636.0	10388.0	13261.0	12233.0	7185.0	7.0	11114.0	14457.0	14472.0	9571.0	13622.0	14618.0	13316.0	5465.0	17823.0	17838.0	16587.0	13046.0	12131.0	15487.0	16309.0	16553.0	17194.0	10120.0	16014.0	11253.0	13026.0	22.0	15.0	10.0	7.0	0.0	0.0	23.0	16.0	19104.0	19090.0	22197.0	13226.0	18334.0	175.0	19628.0	2833.0	19034.0	1030.0	14517.0	13753.0	226.0	16473.0	367.0	18236.0	54.0	18106.0	16409.0	17603.0
d__Archaea;p__Halobacterota	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	0.0	0.0
d__Archaea;p__Nanoarchaeota	0.0	0.0	0.0	0.0	0.0	4.0	4.0	3.0	5.0	0.0	3.0	7.0	3.0	4.0	3.0	2.0	0.0	0.0	5.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	101.0	112.0	183.0	75.0	93.0	0.0	240.0	30.0	196.0	8.0	31.0	55.0	0.0	117.0	0.0	71.0	0.0	103.0	165.0	70.0
d__Archaea;p__Thermoplasmatota	1235.0	719.0	1080.0	225.0	2076.0	4021.0	3489.0	2456.0	7466.0	51.0	6850.0	4341.0	1446.0	5391.0	3858.0	3683.0	3245.0	3993.0	3753.0	4277.0	2100.0	1902.0	2581.0	1583.0	0.0	1506.0	2219.0	1242.0	1302.0	3489.0	2333.0	2091.0	911.0	1581.0	2242.0	2019.0	3406.0	2205.0	2749.0	2493.0	1706.0	2605.0	1526.0	3031.0	2048.0	1842.0	370.0	45.0	45.0	96.0	0.0	0.0	0.0	75.0	5192.0	5775.0	7516.0	4207.0	5293.0	119.0	5834.0	4522.0	5914.0	94.0	17531.0	4551.0	2153.0	5660.0	417.0	5913.0	38.0	5712.0	6709.0	6049.0
d__Bacteria;__	49.0	40.0	55.0	10.0	62.0	131.0	88.0	123.0	244.0	5.0	200.0	166.0	48.0	147.0	103.0	142.0	170.0	119.0	143.0	133.0	83.0	78.0	85.0	50.0	0.0	62.0	111.0	81.0	68.0	224.0	95.0	128.0	97.0	160.0	153.0	145.0	130.0	132.0	90.0	122.0	125.0	126.0	79.0	156.0	155.0	224.0	9.0	6.0	4.0	4.0	0.0	0.0	0.0	3.0	73.0	81.0	77.0	114.0	109.0	3.0	105.0	64.0	84.0	27.0	589.0	103.0	23.0	73.0	28.0	110.0	2.0	52.0	131.0	101.0
d__Bacteria;p__Acidobacteriota	5.0	6.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	64.0	68.0	106.0	37.0	56.0	0.0	92.0	8.0	122.0	0.0	14.0	60.0	0.0	76.0	0.0	55.0	0.0	52.0	77.0	76.0
d__Bacteria;p__Actinobacteriota	3994.0	3030.0	3855.0	229.0	2571.0	3505.0	2797.0	3039.0	4091.0	138.0	2330.0	2657.0	1072.0	3339.0	3570.0	3738.0	3655.0	2219.0	3305.0	3136.0	2641.0	2692.0	2661.0	1781.0	39.0	1333.0	1387.0	2754.0	2625.0	5565.0	3865.0	4048.0	2088.0	4335.0	4869.0	4902.0	3908.0	4194.0	3518.0	5010.0	3642.0	4830.0	2977.0	5163.0	4015.0	4856.0	797.0	343.0	478.0	486.0	35.0	14.0	8.0	186.0	2571.0	2623.0	3833.0	1628.0	2404.0	696.0	2269.0	2892.0	3102.0	2558.0	6962.0	2193.0	622.0	1943.0	603.0	1720.0	45.0	1495.0	2717.0	1775.0
d__Bacteria;p__AncK6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	7.0	0.0	5.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	4.0	0.0	5.0	0.0	0.0	0.0	0.0	7.0	7.0
d__Bacteria;p__Bacteroidota	11838.0	9387.0	11808.0	446.0	4987.0	5975.0	5638.0	6262.0	8914.0	206.0	5800.0	5596.0	1914.0	6907.0	6173.0	7068.0	8381.0	6016.0	7042.0	6622.0	5328.0	5525.0	6184.0	4810.0	715.0	3999.0	8576.0	7777.0	4525.0	10136.0	7639.0	7434.0	4344.0	11254.0	8604.0	8989.0	7496.0	7897.0	6888.0	8780.0	9906.0	9342.0	5352.0	8196.0	7078.0	8861.0	14174.0	23164.0	29000.0	24773.0	40.0	168.0	655.0	12039.0	3994.0	3651.0	4938.0	4142.0	3826.0	16386.0	5542.0	17143.0	4062.0	17235.0	45666.0	3658.0	7572.0	3938.0	12309.0	5364.0	1180.0	4137.0	4816.0	4388.0
d__Bacteria;p__Bdellovibrionota	39.0	48.0	53.0	21.0	219.0	416.0	282.0	337.0	683.0	3.0	464.0	439.0	104.0	393.0	284.0	397.0	391.0	291.0	365.0	327.0	237.0	210.0	205.0	125.0	30.0	79.0	158.0	182.0	120.0	376.0	146.0	216.0	111.0	335.0	304.0	307.0	294.0	249.0	244.0	254.0	273.0	258.0	138.0	251.0	287.0	300.0	25.0	11.0	23.0	20.0	26.0	19.0	25.0	21.0	188.0	216.0	237.0	159.0	274.0	127.0	247.0	311.0	244.0	193.0	1193.0	256.0	60.0	235.0	116.0	260.0	5.0	189.0	300.0	251.0
