ASV ID	Taxon	20190226_EB	CN17_B1	CN17_B10	CN17_B13	CN17_B17	CN17_B20	CN17_B23	CN17_CBI1	CN17_CBI10	CN17_CBI4	CN17_CBI5	CN17_CBI8	CN17_CBI9	CN18FBN1pre	CN18FBN1pst	CN18FBN2pre	CN18FBN2pst	CN18FBN3pre	CN18FBN3pst	CN18FESPkoa_SC1	CN18FESPkoa_SC24	CN18FESPkoa_SC26	CN18FESPkoa_SC29	CN18FESPkoa_SC30	CN18FESPkoa_SC31	CN18FESPkoa_SC32	CN18FESPkoa_SC34	CN18FESPkoa_SC37	CN18FESPkoa_SC40	CN18FESPkoa_SC41	CN18FESPkoa_SC43	CN18FESPkoa_SC44	CN18FESPkoa_SC46	CN18FESPkoa_SC47	CN18FESPkoa_SC49	CN18FESPkoa_SC52	CN18FESPkoa_SC53	CN18FESPkoa_SC55	CN18FESPkoa_SC56	CN18FESPkoa_SC57	CN18FESPkoa_SC58	CN18FESPkoa_SC59	CN18Fc12_8_eDNA	CN18Fc19_5_eDNA	CN18Fc21_6_eDNA	CN18Fc22_6_eDNA	CN18Fc24_6_eDNA	CN18Fc25_5_eDNA	CN18Fc27_4_eDNA	CN18Fc29_6_eDNA	CN18Fc30_4_eDNA	CN18Fc32_4_eDNA	CN18Fc33_5_eDNA	CN18Fc35_5_eDNA	CN18Fc36_6_eDNA	CN18Fc38_5_eDNA	CN18Fc40_6_eDNA	CN18Fc41_6_eDNA	CN18Fc43_5_eDNA	CN18Fc44_8_eDNA	CN18Fc46_8_eDNA	CN18Fc47_6_eDNA	CN18Fc49_6_eDNA	CN18Fc51_5_eDNA	CN18SESPkoa_SC36	CN18SESPkoa_SC37	CN18SESPkoa_SC39	CN18SESPkoa_SC40	CN18SESPkoa_SC41	CN18SESPkoa_SC42	CN18SESPkoa_SC44	CN18SESPkoa_SC45	CN18SESPkoa_SC47	CN18SESPkoa_SC49	CN18S_koa3G_BN1post	CN18S_koa3G_BN1pre	CN18S_koa3G_BN2post	CN18S_koa3G_BN2pre	CN18S_koa3G_BN3post	CN18S_koa3G_BN3pre	CN18S_koa3G_SC29	CN18S_koa3G_SC30	CN18S_koa3G_SC31	CN18S_koa3G_SC57	CN18S_koa3G_SC58	CN18S_koa3G_SC59	CN18Sc09_2_eDNA	CN18Sc10_2_eDNA	CN18Sc14_2_eDNA	CN18Sc14_8_eDNA	CN18Sc15_2_eDNA	CN18Sc15_8_eDNA	CN18Sc18_2_eDNA	CN18Sc18_8_eDNA	CN18Sc27_2_eDNA	CN18Sc27_8_eDNA
d5bc61f90f231d15cad051d8195ce9e5	d__Bacteria; p__Marinimicrobia_(SAR406_clade); c__Marinimicrobia_(SAR406_clade); o__Marinimicrobia_(SAR406_clade); f__Marinimicrobia_(SAR406_clade); g__Marinimicrobia_(SAR406_clade); 	0	0	0	0	0	7.71E-05	0	0	0	0	0	0	0.00011337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.81E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64ab93559256d4c5da323ff796a3c4bb	d__Bacteria; p__Verrucomicrobiota; c__Lentisphaeria; o__Lentisphaerales; f__Lentisphaeraceae; g__Lentisphaera; s__uncultured_bacterium	0	0	0	0	0	0	0	0	4.48E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dc2af028945625e31f83e867b87b8ad9	d__Bacteria; p__Planctomycetota; c__OM190; o__OM190; f__OM190; g__OM190; s__uncultured_planctomycete	0	0	0	0	0	0	0	0.000676379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
387a88d2f332e94c982b313137dd88e6	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Pedosphaerales; f__Pedosphaeraceae; g__SCGC_AAA164-E04; s__uncultured_Verrucomicrobia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.81E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4f487bc7e9aaff20fafb073ca6924ace	d__Bacteria; p__SAR324_clade(Marine_group_B); c__SAR324_clade(Marine_group_B); o__SAR324_clade(Marine_group_B); f__SAR324_clade(Marine_group_B); g__SAR324_clade(Marine_group_B); 	0	0.003322854	0.000170313	0.001479783	0.001656002	0.005063551	0.000813818	0.00182102	0.000971236	0.002645993	0.000730689	0.002900556	0.004840886	0	0	0	0	0	0	0	0.007699047	0.008421304	0.00986389	0.007918937	0.007473822	0.00967046	0.007099603	0.004995663	0.00779331	0.008206568	0.007879908	0.00898944	0.006613757	0.009578299	0.01135819	0.009263618	0.008887117	0.008068251	0.007453117	0.006338677	0.006002438	0	0.010673443	0.009031685	0.008427146	0.009534992	0.008712871	0.008815461	0.005822416	0.00959403	0.008905693	0.008302036	0.008197567	0	0.009071111	0.007490999	0.005808974	0.009649885	0.008232236	0.006101366	0.007241083	0.00887885	0.008644834	0.007594859	0.006545682	0.008136661	0.00475198	0.007553783	0.000645052	0.00875091	0.001163242	0.007839913	0.009043972	0.009122265	0	0	0	0	0	0	0	0	0	0	0	0	0.009258899	0.007621868	0.008733961	0.0110621	0.007749071	0.000670826	0.009621282	0.003483018	0.007005405	0.000601763
d46e2205f0c6ecf67b51f83d111c509c	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella; 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000204567	0	0	0	0	0.000205435	0.000133672	0	0	0	0	0	0	0.000288508	0	0.000312627	0	0	0	0	0	0	0.000143842	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000246013	0	0	0.000180243	0	0	0	0	0	0	0.000160407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000447384	0	0.000338884	0	0	0	0	0	0	0
e7a736a1480448df1aaf7f191d949940	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Thermoplasmata; f__Thermoplasmata; g__Marine_Group_III; 	0	0	0	0	0	0	0	0	0	0	0	0	7.94E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000100254	0	0	0	0	0	0	8.01E-05	0	0	0	0	0	0.000143917	0	0.000138614	0	0	0.000207278	0.000140616	0	0	0	0	0	0	0	0	0.000225335	0	0.000111824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8a44a4e06b1a74f11ee8e2686464e0d5	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Planktomarina; 	0	0.009487475	0.080047234	0.063714048	0.020354352	0.007363997	0.056413142	0.005202914	0.039745984	0.036779298	0.058559499	0.012879534	0.005600463	0	0.031917285	0	0.016036655	0	0.020771513	0	0.01069902	0.005739469	0.004334441	0.004371026	0.003538841	0.003663617	0.004106633	0.00378144	0.003973817	0.003763153	0.004108705	0.003876487	0.004239588	0.003107463	0.003370715	0.004292559	0.004215683	0.003875686	0.003077416	0.003537866	0.003032482	0	0.002541296	0.002862501	0.002654471	0.004129805	0.003089109	0.003411111	0.00727802	0.003316455	0.002812324	0.00395335	0.003523774	0	0.004265582	0.003971521	0.004936849	0.003512483	0.003305732	0.003449352	0.00629566	0.003399459	0.007806814	0.010269971	0.018901843	0.000393709	0.027303043	0.000342438	0.03999321	0.000994018	0.055447848	0.000661681	0.000485117	0.000584277	0	0	0	0	0	0	0	0.000397338	0	0	0	0.011428571	0.000680801	0.000639725	0.00064696	0.002401792	0.000813745	0.092171463	0.001209232	0.029070459	0	0.059051307
e8386d3a307c208c4b9f0a756259cd6b	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00295203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e70f1b98c88940159d67371b3b23f15e	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Colwelliaceae; ; 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00024849	0	0	0	0	0	0	0	0	0	0	0	0	0
