ASV ID	CN17_B1	CN17_B10	CN17_B13	CN17_B17	CN17_B20	CN17_B23	CN17_CBI1	CN17_CBI10	CN17_CBI4	CN17_CBI5	CN17_CBI8	CN17_CBI9	Taxon
619f073f16be9996e42089bc81920d83	250	105	387	121	200	535	66	560	145	299	202	315	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Amylibacter; 
bd858fab5298f6b3d331ead5a86e6f85	439	189	415	405	117	83	153	172	205	284	423	205	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__uncultured_bacterium
ceefc95410c68144dee382b6703bcffc	168	74	345	80	163	725	92	508	141	240	173	269	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Amylibacter; 
055680c2f8dbf9027a09687837a0599d	246	0	178	342	19	18	232	88	181	217	1229	122	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; 
7919aaaa896e51126b9b5612a90b4da1	218	82	280	93	89	513	57	531	152	252	199	215	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Amylibacter; 
f9739bb583baf41b1d1fb87cae02354c	343	155	336	351	69	88	130	147	208	212	415	133	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__uncultured_bacterium
84a84cb116fbfea5b0b4e18855f6b2ea	336	136	331	320	94	59	100	116	163	177	312	118	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__uncultured_bacterium
88c30c35e2ad7640aafcf8d77aace676	231	117	321	223	83	109	173	102	148	182	301	104	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__uncultured_bacterium
2d25c196476dd29f369f42351c2f2189	135	0	145	214	0	28	227	50	174	143	896	77	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; 
d2fb98999ba6f013042939b28116fa05	198	62	198	73	119	306	25	416	97	181	127	213	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Amylibacter; 
2c9b5be58e40c68e958195a62e60cc5f	320	135	257	274	79	67	81	89	142	172	286	97	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__uncultured_bacterium
52f46919f36cbced3a7e0aff5e72dcc7	203	0	115	206	23	0	115	57	117	133	803	91	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; 
97d896749d8ca12191deed04c33ef928	301	117	181	267	67	66	106	32	147	203	107	63	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; s__uncultured_bacterium
610f6a3badedaeb4d116248aca58a6c8	133	24	122	35	200	84	45	151	78	112	56	314	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiomicrospirales; f__Thioglobaceae; g__SUP05_cluster; 
9a8d16af520c55e0553f9d4b1a561fd1	149	170	156	170	107	145	30	124	29	41	67	107	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Tenacibaculum; 
0054e1a40e3901358f94318444731a88	84	180	239	117	71	152	14	118	49	60	60	60	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Ulvibacter; 
a6cdfc0f578427deb785a0fe4b96ba7d	70	0	103	22	191	137	54	120	90	71	54	237	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiomicrospirales; f__Thioglobaceae; g__SUP05_cluster; 
0df60e23d7fcc26638c09995abdda794	27	269	250	31	29	176	25	108	53	103	28	25	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Planktomarina; s__uncultured_bacterium
696e5174d9327b711dcb7ac74325d220	172	162	146	80	100	129	18	78	25	47	29	85	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Tenacibaculum; 
53c3478d6cc9d4005c55beaf303039d2	86	18	101	36	90	101	55	130	85	89	58	217	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiomicrospirales; f__Thioglobaceae; g__SUP05_cluster; 
b0b8641dd067c1760c9fb5edbae32908	156	22	73	60	240	34	15	41	48	25	61	227	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrosopumilales; f__Nitrosopumilaceae; g__Candidatus_Nitrosopumilus; s__uncultured_archaeon
7b198e9c328dbd3a3616b9f0812439ce	39	200	181	26	9	189	17	107	46	78	28	14	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Planktomarina; s__uncultured_bacterium
8b331da0c2bf7ef5be1540c438ce17ed	74	80	122	52	72	102	34	69	29	41	30	50	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__NS4_marine_group; s__uncultured_bacterium
79ad6bf8c6a21e9a1970bfa4b1172fa9	116	28	44	39	106	21	17	36	51	17	58	180	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrosopumilales; f__Nitrosopumilaceae; g__Candidatus_Nitrosopumilus; s__uncultured_archaeon
265e430e55f14132c59740a42fe791b8	44	108	88	81	49	105	9	78	31	33	45	38	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Polaribacter; 
d144cce2f01c29deef2c32c747ed4fed	99	0	20	109	22	0	115	19	24	28	211	53	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; 
24fb06ab93598dd58773c1663477bd94	63	31	66	38	106	38	34	27	28	32	50	116	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrosopumilales; f__Nitrosopumilaceae; g__Candidatus_Nitrosopelagicus; 
bbfadbbc9c0917a598f08d061815e81d	64	0	55	32	79	12	108	24	37	53	59	96	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; 
886a43018c6c6f0c51a7e45f3d93c0a3	73	11	42	23	168	21	6	33	41	17	26	157	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrosopumilales; f__Nitrosopumilaceae; g__Candidatus_Nitrosopumilus; s__uncultured_marine
477eeeafaeac1a697ef5543b468b7fbc	30	107	146	36	21	86	0	60	23	46	27	27	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Ascidiaceihabitans; s__uncultured_bacterium
7dbc2478c1a9616c61c2507ec4c0c5d9	75	20	89	51	80	58	21	48	13	13	47	84	d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__SAR11_clade; f__Clade_I; g__Clade_Ia; s__uncultured_bacterium
d95266e501899b86870193c89c1fcd3d	0	0	14	0	6	5	26	63	302	159	4	10	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; 
8b39d1d860055e3be25861afa4ca8e0e	98	0	22	88	14	0	82	9	29	7	180	39	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; 
24ac203cab9a0f46326501ce8943ee54	10	0	8	3	0	4	30	67	308	125	6	4	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; 
c2f82a6cb7ed9e633f07d0914f2a876c	44	78	104	36	49	48	44	65	21	28	13	32	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Crocinitomicaceae; g__Fluviicola; 
4b7b3fefe06d39311e63d9b54c063426	71	0	61	17	48	82	20	91	37	32	23	59	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__SAR86_clade; f__SAR86_clade; g__SAR86_clade; s__uncultured_marine
88f99f7498346762c31cfe7de57fa475	26	68	70	51	15	143	11	52	27	12	47	19	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Polaribacter; 
c659c7cec4d7fd4a5b0395fed8f2fd17	41	109	81	47	45	46	36	31	27	24	18	33	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Aquibacter; 
f95587ab0f2e45a11eefd0f7fd5c9e88	32	61	74	34	34	113	33	49	24	10	27	24	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__NS4_marine_group; s__uncultured_bacterium
bc157300f55d0e5d1619ec504e39dbd2	85	0	45	52	56	26	26	44	31	39	36	70	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Marine_Group_II; f__Marine_Group_II; g__Marine_Group_II; s__uncultured_marine
b225a8582852d0d3e26f728ca5109ed5	20	0	25	39	15	0	151	43	46	34	102	26	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; 
754c21665bf5000341bc306a5971b1b5	16	34	100	27	45	58	0	60	21	52	43	27	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__NS9_marine_group; g__NS9_marine_group; s__uncultured_bacterium
1c695a74133b3d2b457bb1c71ef25822	44	22	51	18	115	22	9	19	28	12	20	113	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrosopumilales; f__Nitrosopumilaceae; g__Candidatus_Nitrosopumilus; s__uncultured_marine
36f0f9b484b39d87245cdcb70c0b863c	73	16	42	23	64	21	8	25	32	15	33	112	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrosopumilales; f__Nitrosopumilaceae; g__Candidatus_Nitrosopumilus; s__uncultured_marine
dd8361ba856231c690d240d05d57db7f	73	33	37	39	81	0	0	41	12	19	40	87	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrosopumilales; f__Nitrosopumilaceae; g__Candidatus_Nitrosopelagicus; 
53730b71bb7d452a7f1ae24fb6a680bb	86	0	38	45	29	22	40	52	36	27	26	46	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Marine_Group_II; f__Marine_Group_II; g__Marine_Group_II; s__uncultured_marine
f123f6d2419175977d99f2f8e237c884	32	24	85	41	0	26	57	47	0	48	0	77	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Saprospiraceae; g__uncultured; 
65e70e5203843bd7038a0a20a9203d6a	0	0	5	0	0	5	39	44	224	106	5	8	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; 
6fdeb6dce205717a34571e3dafe2993e	31	37	54	20	17	44	65	46	58	51	0	0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__uncultured; s__uncultured_bacterium
b71746de4f37d0b2b30998505a6861fe	26	15	38	25	15	88	46	54	32	29	23	30	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__SAR86_clade; f__SAR86_clade; g__SAR86_clade; s__uncultured_marine
3834453022b0e9fccbb56bef04444b80	46	49	42	56	30	45	9	33	13	21	26	40	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Polaribacter; 
033019516a6d39bfc8c7ecea36028341	38	62	47	54	21	52	15	21	21	15	32	28	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Polaribacter; 
3ce29c2051cecaa3d5d45d78a31f612d	26	37	42	18	29	20	37	61	0	13	71	52	d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Rubritaleaceae; g__Roseibacillus; 
e82daca43df39f087a3aa7b74affd167	16	31	72	12	0	82	0	39	36	47	34	31	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__NS9_marine_group; g__NS9_marine_group; s__uncultured_bacterium
2ca7dedbac275b531ebdb10a54cf7456	38	38	42	32	32	28	0	87	0	0	72	22	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__NS2b_marine_group; 
4150252dcbdfbec00e6b74e24018b812	0	34	27	15	75	30	0	48	32	0	83	41	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Halieaceae; g__OM60(NOR5)_clade; 
5027f9e30073c00bf8ad9d92c4015873	8	34	33	23	17	78	85	51	20	6	24	3	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Formosa; 
a60e9adfe27752c9797024ea981c451e	0	0	6	0	0	6	16	47	194	89	8	14	d__Bacteria; p__Cyanobacteria; c__Cyanobacteriia; o__Chloroplast; f__Chloroplast; g__Chloroplast; 
a857258493e67fad72b19ab34625ab3b	43	48	27	22	38	32	0	49	43	32	0	43	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Methylophilaceae; g__OM43_clade; 
98ce6c6816000e8f7eef7aa48ce2925d	29	48	26	0	24	34	46	30	14	33	47	41	d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Cellvibrionales; f__Porticoccaceae; g__SAR92_clade; 
6b83dc1d37a0a9a129bbad4a6852d5f2	29	23	27	22	39	28	27	66	32	42	0	30	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__NS2b_marine_group; 
92737d970688ec982f90394d1027ada3	3	90	68	13	6	82	0	58	18	14	4	8	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Formosa; 
2a14e95913d5d66e3ac23c9ae2646784	41	0	32	11	22	23	26	54	0	57	55	30	d__Archaea; p__Thermoplasmatota; c__Thermoplasmata; o__Marine_Group_II; f__Marine_Group_II; g__Marine_Group_II; s__uncultured_marine
