ID	20190226_EB	CN18FBN1pre	CN18FBN1pst	CN18FBN2pre	CN18FBN2pst	CN18FBN3pre	CN18FBN3pst	CN18Fc12_8_eDNA	CN18Fc19_5_eDNA	CN18Fc21_6_eDNA	CN18Fc22_6_eDNA	CN18Fc24_6_eDNA	CN18Fc25_5_eDNA	CN18Fc27_4_eDNA	CN18Fc29_6_eDNA	CN18Fc30_4_eDNA	CN18Fc32_4_eDNA	CN18Fc33_5_eDNA	CN18Fc35_5_eDNA	CN18Fc36_6_eDNA	CN18Fc38_5_eDNA	CN18Fc40_6_eDNA	CN18Fc41_6_eDNA	CN18Fc43_5_eDNA	CN18Fc44_8_eDNA	CN18Fc46_8_eDNA	CN18Fc47_6_eDNA	CN18Fc49_6_eDNA	CN18Fc51_5_eDNA	CN18FESPkoa_SC1	CN18FESPkoa_SC24	CN18FESPkoa_SC26	CN18FESPkoa_SC29	CN18FESPkoa_SC30	CN18FESPkoa_SC31	CN18FESPkoa_SC32	CN18FESPkoa_SC34	CN18FESPkoa_SC37	CN18FESPkoa_SC40	CN18FESPkoa_SC41	CN18FESPkoa_SC43	CN18FESPkoa_SC44	CN18FESPkoa_SC46	CN18FESPkoa_SC47	CN18FESPkoa_SC49	CN18FESPkoa_SC52	CN18FESPkoa_SC53	CN18FESPkoa_SC55	CN18FESPkoa_SC56	CN18FESPkoa_SC57	CN18FESPkoa_SC58	CN18FESPkoa_SC59	CN18S_koa3G_BN1post	CN18S_koa3G_BN1pre	CN18S_koa3G_BN2post	CN18S_koa3G_BN2pre	CN18S_koa3G_BN3post	CN18S_koa3G_BN3pre	CN18S_koa3G_SC29	CN18S_koa3G_SC30	CN18S_koa3G_SC31	CN18S_koa3G_SC57	CN18S_koa3G_SC58	CN18S_koa3G_SC59	CN18Sc09_2_eDNA	CN18Sc10_2_eDNA	CN18Sc14_2_eDNA	CN18Sc14_8_eDNA	CN18Sc15_2_eDNA	CN18Sc15_8_eDNA	CN18Sc18_2_eDNA	CN18Sc18_8_eDNA	CN18Sc27_2_eDNA	CN18Sc27_8_eDNA	CN18SESPkoa_SC36	CN18SESPkoa_SC37	CN18SESPkoa_SC39	CN18SESPkoa_SC40	CN18SESPkoa_SC41	CN18SESPkoa_SC42	CN18SESPkoa_SC44	CN18SESPkoa_SC45	CN18SESPkoa_SC47	CN18SESPkoa_SC49
24712789d715449daaa27de29528a23e	7.0	0.0	0.0	0.0	0.0	0.0	0.0	575.0	7888.0	8907.0	8499.0	7210.0	12715.0	216.0	8213.0	8894.0	2257.0	9355.0	0.0	9817.0	8677.0	8611.0	9142.0	8781.0	8221.0	7030.0	8746.0	7729.0	4624.0	0.0	7002.0	9083.0	9724.0	6181.0	8730.0	9539.0	8623.0	3564.0	11517.0	11466.0	10726.0	8358.0	7769.0	10089.0	10725.0	10307.0	11050.0	6662.0	10803.0	7446.0	8564.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	0.0	4648.0	4863.0	5016.0	3700.0	4848.0	117.0	3996.0	831.0	3184.0	263.0	5251.0	3082.0	103.0	3560.0	160.0	5058.0	38.0	4492.0	3872.0	4048.0
ecccfdc6bc637875988540bab042e56c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	217.0	2080.0	2875.0	2048.0	1692.0	4969.0	65.0	3724.0	3373.0	1151.0	3084.0	0.0	2511.0	2710.0	2337.0	2389.0	2884.0	2321.0	1954.0	1974.0	2047.0	1444.0	174.0	2122.0	2667.0	2913.0	1563.0	3425.0	2924.0	2507.0	1480.0	3664.0	3522.0	3058.0	2937.0	2690.0	2584.0	3454.0	3430.0	3182.0	1757.0	2980.0	2243.0	3220.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	12.0	27.0	55.0	0.0	0.0	0.0	11433.0	12387.0	13916.0	8299.0	13389.0	117.0	12200.0	3361.0	12484.0	320.0	22968.0	9893.0	1491.0	9113.0	1211.0	10648.0	64.0	9693.0	10341.0	9673.0
5eeb2a4bbda83b7f707f8b67cbfe6395	6.0	0.0	138.0	0.0	12.0	0.0	8.0	146.0	2175.0	2555.0	2143.0	2359.0	2415.0	129.0	1636.0	1680.0	642.0	2437.0	0.0	2673.0	2806.0	2871.0	1567.0	2347.0	2420.0	2146.0	2145.0	2051.0	1576.0	0.0	836.0	833.0	2226.0	2035.0	4207.0	2957.0	3042.0	1633.0	3149.0	3760.0	3739.0	2864.0	3123.0	2745.0	3946.0	2367.0	3686.0	2344.0	4215.0	3133.0	3827.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	8.0	5.0	0.0	0.0	0.0	0.0	48.0	39.0	44.0	125.0	48.0	647.0	56.0	2345.0	23.0	2196.0	5133.0	10.0	602.0	21.0	580.0	63.0	43.0	25.0	30.0	45.0
c172dd65b657f291b03044128c0fe279	0.0	0.0	0.0	0.0	0.0	0.0	0.0	154.0	2093.0	2393.0	2247.0	1907.0	3286.0	62.0	2284.0	2467.0	634.0	2422.0	0.0	2370.0	2418.0	2324.0	2370.0	2329.0	2272.0	1697.0	2205.0	2164.0	1293.0	7.0	1891.0	2467.0	2455.0	1648.0	2301.0	2473.0	2259.0	925.0	3042.0	3025.0	2831.0	2262.0	2076.0	2549.0	2586.0	2764.0	2865.0	1819.0	2710.0	1962.0	2354.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	739.0	711.0	711.0	956.0	757.0	0.0	746.0	288.0	370.0	101.0	1886.0	378.0	42.0	451.0	61.0	834.0	0.0	634.0	563.0	637.0
446633eae253a5970062311bdace62c5	0.0	0.0	168.0	0.0	14.0	0.0	0.0	131.0	1939.0	2603.0	2361.0	2332.0	3447.0	56.0	2614.0	2388.0	633.0	2694.0	0.0	2226.0	2525.0	2427.0	2527.0	2391.0	2192.0	2051.0	2052.0	1963.0	1687.0	11.0	1728.0	2988.0	2151.0	1372.0	2751.0	2429.0	2085.0	909.0	3345.0	2844.0	2789.0	2026.0	2170.0	2548.0	2837.0	2864.0	2803.0	1600.0	2028.0	1854.0	2027.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	141.0	141.0	157.0	367.0	175.0	299.0	190.0	1087.0	86.0	354.0	4614.0	89.0	534.0	81.0	519.0	158.0	48.0	103.0	121.0	77.0
e7d1b4d65359ea6223897be0338f748c	0.0	0.0	61.0	0.0	15.0	0.0	2.0	168.0	1913.0	1798.0	1925.0	1856.0	2515.0	74.0	1703.0	1646.0	518.0	1938.0	0.0	2083.0	2118.0	2516.0	1977.0	2169.0	2015.0	1266.0	1796.0	1810.0	1252.0	19.0	964.0	2535.0	2533.0	1567.0	2978.0	2849.0	2181.0	1394.0	3550.0	2650.0	2731.0	2190.0	2387.0	2167.0	3003.0	3147.0	2897.0	1810.0	3006.0	2215.0	2799.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	77.0	73.0	88.0	181.0	78.0	668.0	96.0	807.0	50.0	1157.0	2612.0	51.0	309.0	50.0	589.0	115.0	50.0	91.0	72.0	54.0
10f86f692e9965c610fe1442ec51e246	0.0	0.0	153.0	0.0	32.0	0.0	18.0	49.0	498.0	794.0	588.0	723.0	1115.0	21.0	1053.0	725.0	241.0	1079.0	0.0	796.0	786.0	1055.0	749.0	835.0	878.0	761.0	473.0	753.0	901.0	15.0	1237.0	1131.0	819.0	560.0	1217.0	1035.0	1002.0	470.0	1279.0	998.0	1228.0	972.0	1000.0	749.0	1087.0	1219.0	1175.0	689.0	980.0	639.0	1022.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	369.0	365.0	366.0	1385.0	441.0	2205.0	473.0	5728.0	127.0	956.0	24930.0	208.0	3483.0	177.0	4829.0	628.0	266.0	367.0	311.0	315.0
45c652d2cc994ad0537a67ea9082024a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	339.0	701.0	460.0	369.0	1281.0	0.0	515.0	823.0	370.0	589.0	0.0	766.0	608.0	422.0	651.0	590.0	452.0	384.0	522.0	603.0	303.0	0.0	556.0	568.0	472.0	414.0	584.0	632.0	544.0	235.0	697.0	785.0	672.0	573.0	536.0	682.0	695.0	849.0	772.0	319.0	516.0	392.0	437.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3589.0	3529.0	4202.0	2389.0	3688.0	0.0	3943.0	429.0	2786.0	155.0	2032.0	2267.0	0.0	2630.0	58.0	3074.0	0.0	3334.0	2815.0	3077.0
b6a2d8f963b9a927215f9180634e321b	0.0	0.0	95.0	0.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0	105.0	130.0	0.0	56.0	80.0	0.0	0.0	0.0	0.0	91.0	172.0	78.0	0.0	71.0	284.0	68.0	557.0	844.0	88.0	588.0	672.0	150.0	126.0	162.0	58.0	107.0	0.0	121.0	82.0	93.0	99.0	121.0	0.0	70.0	70.0	72.0	0.0	0.0	59.0	123.0	0.0	53.0	0.0	154.0	0.0	92.0	0.0	16.0	13.0	68.0	17.0	0.0	0.0	111.0	106.0	102.0	151.0	90.0	7401.0	116.0	1151.0	69.0	5298.0	26764.0	165.0	5962.0	272.0	7209.0	158.0	667.0	213.0	283.0	379.0
1c1cf633271edcddd0d7ff7b97bc8634	0.0	0.0	34.0	0.0	0.0	0.0	0.0	194.0	902.0	1661.0	1095.0	1250.0	2534.0	60.0	1668.0	1769.0	711.0	1660.0	0.0	1299.0	1731.0	1777.0	1008.0	1770.0	1585.0	1344.0	1077.0	1107.0	887.0	0.0	774.0	1061.0	946.0	865.0	2057.0	1056.0	1412.0	842.0	1756.0	1494.0	1532.0	1331.0	1550.0	1035.0	1284.0	1505.0	1619.0	862.0	1519.0	1415.0	1635.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	190.0	271.0	256.0	344.0	275.0	75.0	265.0	404.0	222.0	205.0	1758.0	208.0	187.0	257.0	197.0	322.0	28.0	251.0	296.0	269.0
