sample_name,season,sampling_platform,sampling_device,sample_type,depth_m,depth_group,temp,salinity,chlA,O2_ML,control_status,control_type,ESP_CTD_match,station_number,location,latitude,longitude,lat-lon,collection_date
CN18Fc12_8_eDNA,Fall,Western Flyer,CTD_Flyer,CTD,30,21-40,13.0777,33.6197,0.5466,4.21222,exp,exp,58,12,TS,36.9848,-122.519,36.9848N-122.519W,7-Sep-18
CN18Fc19_5_eDNA,Fall,Western Flyer,CTD_Flyer,CTD,40,21-40,12.2474,33.6459,0.5927,4.17266,exp,exp,57,19,ESP,36.9937,-122.468,36.9937N-122.468W,8-Sep-18
CN18Fc21_6_eDNA,Fall,Western Flyer,CTD_Flyer,CTD,25,21-40,11.9639,33.6603,0.5054,3.70764,exp,exp,56,21,ESP,36.9898,-122.468,36.9898N-122.468W,8-Sep-18
CN18Fc22_6_eDNA,Fall,Western Flyer,CTD_Flyer,CTD,35,21-40,12.0074,33.653,0.5684,3.83292,exp,exp,55,22,ESP,37.006,-122.467,37.006N-122.467W,8-Sep-18
CN18Fc24_6_eDNA,Fall,Western Flyer,CTD_Flyer,CTD,25,21-40,12.6991,33.6345,0.6631,4.20261,exp,exp,53,24,ESP,37.0077,-122.449,37.0077N-122.449W,8-Sep-18
CN18Fc25_5_eDNA,Fall,Western Flyer,CTD_Flyer,CTD,30,21-40,11.9917,33.6663,0.5148,3.76339,exp,exp,52,25,ESP,37.0127,-122.441,37.0127N-122.441W,8-Sep-18
CN18Fc27_4_eDNA,Fall,Western Flyer,CTD_Flyer,CTD,45,21-40,12.041,33.6555,0.5547,3.83267,exp,exp,49,27,ESP,37.0052,-122.419,37.0052N-122.419W,9-Sep-18
CN18Fc29_6_eDNA,Fall,Western Flyer,CTD_Flyer,CTD,30,21-40,11.9631,33.6561,0.5516,3.82225,exp,exp,47,29,ESP,36.9977,-122.413,36.9977N-122.413W,9-Sep-18
CN18Fc30_4_eDNA,Fall,Western Flyer,CTD_Flyer,CTD,40,21-40,11.7004,33.6699,0.4768,3.65703,exp,exp,46,30,ESP,36.9977,-122.417,36.9977N-122.417W,9-Sep-18
CN18Fc32_4_eDNA,Fall,Western Flyer,CTD_Flyer,CTD,40,21-40,11.3054,33.6943,0.4463,3.38028,exp,exp,44,32,ESP,36.9973,-122.408,36.9973N-122.408W,9-Sep-18
CN18Fc33_5_eDNA,Fall,Western Flyer,CTD_Flyer,CTD,35,21-40,12.0082,33.6583,0.5379,3.74775,exp,exp,43,33,ESP,36.9898,-122.406,36.9898N-122.406W,9-Sep-18
CN18Fc36_6_eDNA,Fall,Western Flyer,CTD_Flyer,CTD,20,0-20,11.9012,33.6626,0.5217,3.67785,exp,exp,40,36,ESP,37.0012,-122.376,37.0012N-122.376W,9-Sep-18
CN18Fc38_5_eDNA,Fall,Western Flyer,CTD_Flyer,CTD,30,21-40,11.935,33.6595,0.5379,3.76176,exp,exp,37,38,ESP,36.9742,-122.353,36.9742N-122.353W,10-Sep-18
CN18Fc40_6_eDNA,Fall,Western Flyer,CTD_Flyer,CTD,25,21-40,11.9644,33.6603,0.5535,3.79945,exp,exp,35,40,ESP,36.9662,-122.344,36.9662N-122.344W,10-Sep-18
CN18Fc41_6_eDNA,Fall,Western Flyer,CTD_Flyer,CTD,25,21-40,11.8992,33.6606,0.5447,3.80826,exp,exp,34,41,ESP,36.9607,-122.342,36.9607N-122.342W,10-Sep-18
CN18Fc43_5_eDNA,Fall,Western Flyer,CTD_Flyer,CTD,30,21-40,11.9055,33.6614,0.5379,3.77034,exp,exp,32,43,ESP,36.9545,-122.337,36.9545N-122.337W,10-Sep-18
CN18Fc44_8_eDNA,Fall,Western Flyer,CTD_Flyer,CTD,20,0-20,12.0207,33.658,0.6076,3.79052,exp,exp,31,44,TS,36.9543,-122.333,36.9543N-122.333W,10-Sep-18
CN18Fc46_8_eDNA,Fall,Western Flyer,CTD_Flyer,CTD,10,0-20,12.1808,33.6471,1.144,3.9313,exp,exp,30,46,ESP,36.9405,-122.294,36.9405N-122.294W,10-Sep-18
CN18Fc47_6_eDNA,Fall,Western Flyer,CTD_Flyer,CTD,25,21-40,12.0166,33.658,0.6201,3.7526,exp,exp,29,47,ESP,36.9267,-122.293,36.9267N-122.293W,10-Sep-18
CN18Fc49_6_eDNA,Fall,Western Flyer,CTD_Flyer,CTD,25,21-40,12.3599,33.6303,1.1272,4.04826,exp,exp,26,49,ESP,36.927,-122.284,36.927N-122.284W,11-Sep-18
CN18Fc51_5_eDNA,Fall,Western Flyer,CTD_Flyer,CTD,35,21-40,11.9796,33.6506,0.7752,3.97222,exp,exp,24,51,ESP,36.9175,-122.274,36.9175N-122.274W,11-Sep-18
CN18Sc09_2_eDNA,Spring,Western Flyer,CTD_Flyer,CTD,200,195-200,8.4613,34.0447,0.044485714,1.79102,exp,exp,49,9,TS,36.983,-122.52,36.983N-122.517W,6-Jun-18
CN18Sc10_2_eDNA,Spring,Western Flyer,CTD_Flyer,CTD,200,195-200,8.4878,34.0568,0.042508571,1.71053,exp,exp,47,10,TS,36.983,-122.52,36.983N-122.5182W,6-Jun-18
CN18Sc14_2_eDNA,Spring,Western Flyer,CTD_Flyer,CTD,195,195-200,8.3564,34.0504,0.043793714,1.78734,exp,exp,45,14,TS,36.983,-122.52,36.983N-122.5198W,7-Jun-18
CN18Sc14_8_eDNA,Spring,Western Flyer,CTD_Flyer,CTD,30,21-40,10.0097,33.7876,0.632685714,3.37559,exp,exp,44,14,TS,36.983,-122.52,36.983N-122.5198W,7-Jun-18
CN18Sc15_2_eDNA,Spring,Western Flyer,CTD_Flyer,CTD,195,195-200,8.5451,34.0481,0.05536,1.74591,exp,exp,42,15,TS,36.983,-122.53,36.983N-122.5313W,7-Jun-18
CN18Sc15_8_eDNA,Spring,Western Flyer,CTD_Flyer,CTD,30,21-40,10.9701,33.7886,4.942857143,5.02883,exp,exp,41,15,TS,36.983,-122.53,36.983N-122.5313W,7-Jun-18
CN18Sc18_2_eDNA,Spring,Western Flyer,CTD_Flyer,CTD,200,195-200,8.5901,33.9981,0.070188571,2.05723,exp,exp,40,18,TS,36.983,-122.52,36.983N-122.5198W,8-Jun-18
CN18Sc18_8_eDNA,Spring,Western Flyer,CTD_Flyer,CTD,30,21-40,10.5804,33.7643,0.632685714,3.92993,exp,exp,39,18,TS,36.983,-122.52,36.983N-122.5198W,8-Jun-18
CN18Sc27_2_eDNA,Spring,Western Flyer,CTD_Flyer,CTD,200,195-200,7.8489,34.1077,0.033611429,1.43017,exp,exp,37,27,TS,36.983,-122.52,36.983N-122.5202W,8-Jun-18
CN18Sc27_8_eDNA,Spring,Western Flyer,CTD_Flyer,CTD,30,21-40,10.5551,33.7606,1.423542857,4.07827,exp,exp,36,27,TS,36.983,-122.52,36.983N-122.5202W,8-Jun-18
CN18FESPkoa_SC24,Fall,Tethys,3G_ESP,ESP,35,21-40,15.9134,33.6249,2.9076,5.77847,exp,exp,24,NA,Field,36.91512386,-122.2735706,36.91512386N-122.2735706W,11-Sep-18
CN18FESPkoa_SC26,Fall,Tethys,3G_ESP,ESP,27,21-40,6.2755,34.1815,0.4158,0.60312,exp,exp,26,NA,Field,36.92273,-122.2823776,36.92273N-122.2823776W,11-Sep-18
CN18FESPkoa_SC29,Fall,Tethys,3G_ESP,ESP,22,21-40,9.843,33.8681,0.4083,2.29363,exp,exp,29,NA,Field,36.92986729,-122.2888613,36.92986729N-122.2888613W,10-Sep-18
CN18FESPkoa_SC30,Fall,Tethys,3G_ESP,ESP,13,0-20,11.3495,33.688,0.4463,3.38629,exp,exp,30,NA,Field,36.94470712,-122.2957471,36.94470712N-122.2957471W,10-Sep-18
CN18FESPkoa_SC31,Fall,Tethys,3G_ESP,ESP,19,0-20,11.9771,33.6611,0.5379,3.70583,exp,exp,31,NA,Field,36.95543702,-122.3157168,36.95543702N-122.3157168W,10-Sep-18
CN18FESPkoa_SC32,Fall,Tethys,3G_ESP,ESP,35,21-40,12.634,33.6362,0.9627,4.07814,exp,exp,32,NA,Field,36.95459369,-122.3317888,36.95459369N-122.3317888W,10-Sep-18
CN18FESPkoa_SC34,Fall,Tethys,3G_ESP,ESP,25,21-40,14.7939,33.5917,2.4559,6.12305,exp,exp,34,NA,Field,36.95682604,-122.3381328,36.95682604N-122.3381328W,10-Sep-18
CN18FESPkoa_SC37,Fall,Tethys,3G_ESP,ESP,31,21-40,14.9359,33.5854,2.5326,6.1437,exp,exp,37,NA,Field,36.97408736,-122.3493283,36.97408736N-122.3493283W,10-Sep-18
CN18FESPkoa_SC40,Fall,Tethys,3G_ESP,ESP,25,21-40,10.4159,33.7547,0.4239,2.82726,exp,exp,40,NA,Field,36.99802134,-122.3665361,36.99802134N-122.3665361W,9-Sep-18
CN18FESPkoa_SC41,Fall,Tethys,3G_ESP,ESP,28,21-40,10.7763,33.7188,0.4463,3.07529,exp,exp,41,NA,Field,37.00412075,-122.3806972,37.00412075N-122.3806972W,9-Sep-18
CN18FESPkoa_SC43,Fall,Tethys,3G_ESP,ESP,32,21-40,11.6593,33.675,0.5908,3.75907,exp,exp,43,NA,Field,36.99387104,-122.4028284,36.99387104N-122.4028284W,9-Sep-18
