ID,20190226_EB,CN18FBN1pre,CN18FBN1pst,CN18FBN2pre,CN18FBN2pst,CN18FBN3pre,CN18FBN3pst,CN18Fc12_8_eDNA,CN18Fc19_5_eDNA,CN18Fc21_6_eDNA,CN18Fc22_6_eDNA,CN18Fc24_6_eDNA,CN18Fc25_5_eDNA,CN18Fc27_4_eDNA,CN18Fc29_6_eDNA,CN18Fc30_4_eDNA,CN18Fc32_4_eDNA,CN18Fc33_5_eDNA,CN18Fc35_5_eDNA,CN18Fc36_6_eDNA,CN18Fc38_5_eDNA,CN18Fc40_6_eDNA,CN18Fc41_6_eDNA,CN18Fc43_5_eDNA,CN18Fc44_8_eDNA,CN18Fc46_8_eDNA,CN18Fc47_6_eDNA,CN18Fc49_6_eDNA,CN18Fc51_5_eDNA,CN18FESPkoa_SC1,CN18FESPkoa_SC24,CN18FESPkoa_SC26,CN18FESPkoa_SC29,CN18FESPkoa_SC30,CN18FESPkoa_SC31,CN18FESPkoa_SC32,CN18FESPkoa_SC34,CN18FESPkoa_SC37,CN18FESPkoa_SC40,CN18FESPkoa_SC41,CN18FESPkoa_SC43,CN18FESPkoa_SC44,CN18FESPkoa_SC46,CN18FESPkoa_SC47,CN18FESPkoa_SC49,CN18FESPkoa_SC52,CN18FESPkoa_SC53,CN18FESPkoa_SC55,CN18FESPkoa_SC56,CN18FESPkoa_SC57,CN18FESPkoa_SC58,CN18FESPkoa_SC59,CN18S_koa3G_BN1post,CN18S_koa3G_BN1pre,CN18S_koa3G_BN2post,CN18S_koa3G_BN2pre,CN18S_koa3G_BN3post,CN18S_koa3G_BN3pre,CN18S_koa3G_SC29,CN18S_koa3G_SC30,CN18S_koa3G_SC31,CN18S_koa3G_SC57,CN18S_koa3G_SC58,CN18S_koa3G_SC59,CN18Sc09_2_eDNA,CN18Sc10_2_eDNA,CN18Sc14_2_eDNA,CN18Sc14_8_eDNA,CN18Sc15_2_eDNA,CN18Sc15_8_eDNA,CN18Sc18_2_eDNA,CN18Sc18_8_eDNA,CN18Sc27_2_eDNA,CN18Sc27_8_eDNA,CN18SESPkoa_SC36,CN18SESPkoa_SC37,CN18SESPkoa_SC39,CN18SESPkoa_SC40,CN18SESPkoa_SC41,CN18SESPkoa_SC42,CN18SESPkoa_SC44,CN18SESPkoa_SC45,CN18SESPkoa_SC47,CN18SESPkoa_SC49
24712789d715449daaa27de29528a23e,7,0,0,0,0,0,0,575,7888,8907,8499,7210,12715,216,8213,8894,2257,9355,0,9817,8677,8611,9142,8781,8221,7030,8746,7729,4624,0,7002,9083,9724,6181,8730,9539,8623,3564,11517,11466,10726,8358,7769,10089,10725,10307,11050,6662,10803,7446,8564,0,0,0,13,0,0,0,0,0,23,0,0,0,4648,4863,5016,3700,4848,117,3996,831,3184,263,5251,3082,103,3560,160,5058,38,4492,3872,4048
ecccfdc6bc637875988540bab042e56c,0,0,0,0,0,0,0,217,2080,2875,2048,1692,4969,65,3724,3373,1151,3084,0,2511,2710,2337,2389,2884,2321,1954,1974,2047,1444,174,2122,2667,2913,1563,3425,2924,2507,1480,3664,3522,3058,2937,2690,2584,3454,3430,3182,1757,2980,2243,3220,0,0,0,9,0,0,0,12,27,55,0,0,0,11433,12387,13916,8299,13389,117,12200,3361,12484,320,22968,9893,1491,9113,1211,10648,64,9693,10341,9673
5eeb2a4bbda83b7f707f8b67cbfe6395,6,0,138,0,12,0,8,146,2175,2555,2143,2359,2415,129,1636,1680,642,2437,0,2673,2806,2871,1567,2347,2420,2146,2145,2051,1576,0,836,833,2226,2035,4207,2957,3042,1633,3149,3760,3739,2864,3123,2745,3946,2367,3686,2344,4215,3133,3827,0,0,0,2,0,0,0,8,5,0,0,0,0,48,39,44,125,48,647,56,2345,23,2196,5133,10,602,21,580,63,43,25,30,45
c172dd65b657f291b03044128c0fe279,0,0,0,0,0,0,0,154,2093,2393,2247,1907,3286,62,2284,2467,634,2422,0,2370,2418,2324,2370,2329,2272,1697,2205,2164,1293,7,1891,2467,2455,1648,2301,2473,2259,925,3042,3025,2831,2262,2076,2549,2586,2764,2865,1819,2710,1962,2354,0,0,0,0,0,0,0,0,0,0,0,0,0,739,711,711,956,757,0,746,288,370,101,1886,378,42,451,61,834,0,634,563,637
446633eae253a5970062311bdace62c5,0,0,168,0,14,0,0,131,1939,2603,2361,2332,3447,56,2614,2388,633,2694,0,2226,2525,2427,2527,2391,2192,2051,2052,1963,1687,11,1728,2988,2151,1372,2751,2429,2085,909,3345,2844,2789,2026,2170,2548,2837,2864,2803,1600,2028,1854,2027,0,0,0,0,0,0,0,0,0,18,0,0,0,141,141,157,367,175,299,190,1087,86,354,4614,89,534,81,519,158,48,103,121,77
e7d1b4d65359ea6223897be0338f748c,0,0,61,0,15,0,2,168,1913,1798,1925,1856,2515,74,1703,1646,518,1938,0,2083,2118,2516,1977,2169,2015,1266,1796,1810,1252,19,964,2535,2533,1567,2978,2849,2181,1394,3550,2650,2731,2190,2387,2167,3003,3147,2897,1810,3006,2215,2799,0,0,0,0,0,0,0,0,0,22,0,0,0,77,73,88,181,78,668,96,807,50,1157,2612,51,309,50,589,115,50,91,72,54
10f86f692e9965c610fe1442ec51e246,0,0,153,0,32,0,18,49,498,794,588,723,1115,21,1053,725,241,1079,0,796,786,1055,749,835,878,761,473,753,901,15,1237,1131,819,560,1217,1035,1002,470,1279,998,1228,972,1000,749,1087,1219,1175,689,980,639,1022,0,0,0,0,0,0,0,0,0,9,0,0,0,369,365,366,1385,441,2205,473,5728,127,956,24930,208,3483,177,4829,628,266,367,311,315
45c652d2cc994ad0537a67ea9082024a,0,0,0,0,0,0,0,0,339,701,460,369,1281,0,515,823,370,589,0,766,608,422,651,590,452,384,522,603,303,0,556,568,472,414,584,632,544,235,697,785,672,573,536,682,695,849,772,319,516,392,437,0,0,0,0,0,0,0,0,0,0,0,0,0,3589,3529,4202,2389,3688,0,3943,429,2786,155,2032,2267,0,2630,58,3074,0,3334,2815,3077
b6a2d8f963b9a927215f9180634e321b,0,0,95,0,69,0,0,0,0,0,0,105,130,0,56,80,0,0,0,0,91,172,78,0,71,284,68,557,844,88,588,672,150,126,162,58,107,0,121,82,93,99,121,0,70,70,72,0,0,59,123,0,53,0,154,0,92,0,16,13,68,17,0,0,111,106,102,151,90,7401,116,1151,69,5298,26764,165,5962,272,7209,158,667,213,283,379
1c1cf633271edcddd0d7ff7b97bc8634,0,0,34,0,0,0,0,194,902,1661,1095,1250,2534,60,1668,1769,711,1660,0,1299,1731,1777,1008,1770,1585,1344,1077,1107,887,0,774,1061,946,865,2057,1056,1412,842,1756,1494,1532,1331,1550,1035,1284,1505,1619,862,1519,1415,1635,0,0,0,0,0,0,0,0,0,0,0,0,0,190,271,256,344,275,75,265,404,222,205,1758,208,187,257,197,322,28,251,296,269
293e3bc035269ee105768b681be3f107,0,0,113,0,31,0,10,88,671,1177,832,905,1767,53,1153,1142,438,1207,0,1071,1213,1474,957,1225,1179,939,862,821,778,36,471,691,699,516,1358,747,852,517,1229,1160,1154,909,1057,872,860,907,1123,723,1186,1055,1059,0,0,0,11,0,0,0,0,0,23,0,0,0,110,126,110,391,124,69,144,2313,44,1230,9333,56,1751,67,1995,197,203,101,93,65
6aad39983beac2367643ffea9f2f9ac7,0,0,0,0,0,0,0,42,405,953,682,689,1465,15,667,1100,493,822,0,826,869,559,755,781,677,435,764,758,402,0,758,953,747,505,825,777,771,291,1039,894,976,760,713,878,930,1102,987,470,689,554,574,0,0,0,0,0,0,0,0,0,0,0,0,0,1789,1773,1989,1556,1798,44,2129,547,1240,244,2377,1204,54,1386,67,1818,16,1619,1512,1586
57979a143a5fccf66ef9530dd5fde3bf,0,0,42,0,11,0,0,102,1026,1282,953,851,1810,34,1599,1261,410,1414,0,1066,1112,1281,1033,1339,1076,1020,932,833,841,0,962,1279,1357,690,1526,1374,1104,631,1625,1519,1389,1367,1314,1255,1560,1465,1541,861,1284,992,1339,0,0,0,0,0,0,0,0,0,0,0,0,0,307,360,326,506,403,0,345,396,205,37,2229,229,170,216,112,332,0,208,259,238
7c26bfea243eba84e0782052cfe42c7b,0,0,0,0,0,0,0,34,159,593,402,310,1430,0,849,766,375,642,0,620,539,279,561,530,526,168,261,320,105,0,230,360,224,189,564,412,341,149,279,358,327,622,392,494,422,339,425,209,386,268,238,0,0,0,0,0,0,0,0,0,0,0,0,0,2632,2846,3673,1943,2687,0,2794,106,2352,13,1006,2085,18,2431,0,2782,0,2799,3178,2963
5f0f48c37feb0465286f8773a90c359a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44117,18,12,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,720,0,811,0,435,826,1455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b3ac81730da595a3b6d208dd3c5f03bf,0,0,0,0,0,0,0,70,800,1136,1190,674,2137,23,2202,1229,323,1696,0,1241,1167,993,1406,1194,1348,639,596,758,474,0,634,898,485,520,1311,978,776,325,639,808,726,1199,775,983,903,607,840,675,1326,778,699,0,0,0,0,0,0,0,0,0,0,0,0,0,35,24,39,127,42,11,44,118,0,10,1170,19,24,20,51,72,0,38,27,21
7ccf49a76d711f780722f7fc44d35799,0,0,29,0,0,0,0,65,665,921,779,832,1336,23,994,888,284,976,0,779,872,872,901,936,797,649,675,720,540,0,586,1010,701,463,967,803,724,320,1186,935,864,673,726,841,880,979,878,525,768,690,767,0,0,0,0,0,0,0,0,0,0,0,6,0,152,149,154,235,190,216,202,715,149,241,3001,130,396,95,506,183,37,117,113,116
fa013256e239350ebe86c745992e2614,0,0,0,0,0,0,0,50,657,706,656,528,979,0,668,660,178,731,0,776,718,641,666,681,582,553,596,598,352,0,497,801,590,475,720,655,682,284,899,933,758,608,618,792,740,763,878,535,725,557,733,0,0,0,0,0,0,0,0,0,0,0,0,0,1001,888,1205,660,863,0,1132,121,808,33,527,694,0,757,0,876,0,831,713,760
9afa7a75d8e1653e1be3e7d787342994,0,0,39,0,7,0,5,56,553,716,675,585,1186,10,915,566,246,855,0,726,709,698,890,795,794,496,436,524,340,0,593,911,724,436,1061,1040,772,354,1203,867,1004,825,691,714,1122,1237,935,573,873,676,790,0,0,0,0,0,0,0,0,0,2,0,0,0,211,217,263,237,272,9,301,120,184,25,629,163,34,156,27,259,0,175,201,177
c1b237f82b89140a0157db834a7e42dd,0,0,94,0,20,0,6,21,276,345,420,358,606,10,349,333,101,543,0,418,417,508,441,418,410,475,281,463,398,0,533,460,304,275,574,451,465,250,608,464,529,480,457,375,508,593,507,315,456,392,465,0,0,0,0,0,0,0,3,0,18,0,0,0,40,56,59,161,65,2535,71,1805,27,2263,5943,29,958,25,1156,56,88,40,46,28
f824a5cd4147ee5e2bdf1b275924896b,0,0,24,0,0,0,0,38,306,372,330,336,497,17,689,298,84,609,0,343,350,470,325,322,426,318,200,264,308,0,155,177,85,118,314,208,205,88,167,202,232,276,252,276,205,161,312,134,238,207,223,0,0,0,0,0,0,0,0,0,0,0,0,0,87,78,89,234,91,108,118,3619,71,61,11564,57,1836,50,352,118,38,86,91,60
b46d982e3e61dd2232f7788433f2a3b4,0,0,0,0,0,0,0,43,387,561,481,445,916,8,696,604,175,563,0,522,470,376,526,537,358,347,408,411,262,0,310,503,511,283,599,575,416,147,667,626,547,541,401,533,793,678,644,338,477,353,391,0,0,0,0,0,0,0,0,0,0,0,0,0,604,640,795,602,628,20,708,228,600,41,1650,583,122,527,20,687,3,468,743,686
75e3d8ce930fd285284cf428017cee38,0,0,0,0,0,0,0,51,443,679,537,617,1147,15,850,770,200,772,0,614,655,761,629,640,717,554,423,424,337,0,372,652,590,431,762,615,703,389,1032,838,838,711,657,624,671,767,732,550,738,663,784,0,0,0,0,0,0,0,0,0,3,0,0,0,33,29,28,131,42,23,28,274,0,81,1859,37,74,30,90,46,5,35,35,29
d3322e908a90088f159097a961122fa6,0,0,146,0,17,0,7,0,135,171,212,177,357,19,229,180,81,257,0,239,261,329,200,223,227,305,163,372,340,0,425,349,234,159,293,216,247,109,335,270,305,262,263,178,224,338,323,164,205,196,210,0,0,0,0,0,0,0,0,8,0,0,0,2,51,45,59,132,65,3240,86,2018,0,2587,5044,30,746,0,1463,81,145,44,38,38
7a9ed00fcb91ce6a4db8e7e983ce2883,0,0,74,0,0,0,0,49,403,551,460,517,745,21,446,436,184,545,0,487,599,643,260,542,463,493,403,414,403,14,462,696,394,362,593,440,464,250,785,586,609,469,547,457,533,660,681,328,466,454,601,0,0,0,0,0,0,0,0,0,0,0,0,0,90,84,76,164,80,114,84,1103,43,489,2044,48,158,27,254,72,25,38,52,32
d4aa49182143ff5ab98e38869c34bed0,0,0,0,0,0,0,0,0,39,44,45,54,115,0,64,69,39,44,0,48,50,42,51,50,24,31,28,31,0,250,53,53,48,24,81,41,57,47,63,54,60,56,59,38,39,54,43,45,75,90,137,0,0,0,50,0,0,0,1772,4121,16068,0,0,0,52,48,66,30,80,0,0,0,0,0,51,78,0,50,0,47,0,80,88,0
c2f662f0e3c8d5205bdf7022bfd02e55,0,0,0,0,0,0,0,0,0,37,21,24,72,0,26,48,15,39,0,0,31,20,25,26,25,20,27,16,0,0,21,24,31,23,34,33,36,0,40,33,34,41,20,27,38,59,32,18,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1523,1630,2309,813,1426,0,1480,89,2488,0,590,1464,32,1758,0,1231,0,1408,1834,1879
d0c3daf197ae9edd4626648c6781cbdc,0,0,0,0,0,0,0,63,337,723,412,383,1295,16,695,771,305,564,0,641,585,496,437,706,500,384,354,406,186,0,240,309,424,268,897,398,550,362,545,633,547,583,589,342,537,558,657,269,642,512,700,0,0,0,0,0,0,0,0,0,0,0,0,0,118,135,121,167,109,0,138,50,77,14,412,85,0,86,7,137,0,89,116,90
958e69e0ee6d17417ee51d462394dd72,0,0,0,0,0,0,0,0,0,55,34,32,87,0,46,71,31,43,0,54,51,24,36,46,0,18,32,39,0,0,40,41,44,34,46,43,35,17,42,36,43,39,32,37,60,61,42,19,34,21,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1550,1512,1868,818,1330,14,1611,202,2426,62,373,1338,15,1824,21,1384,0,1572,1520,1645
