"","20180724_EB_AA","20180802_EB_AA","20180815_EB_AA","20180908_CB_HH","20180909_CB_HH","20180910_CB_HH","20181211_EB_CC","20181212_EB_CC","20181218_EB_CC","20190619_EB_HH","CN18FESPkoa_BN1post_CC","CN18FESPkoa_BN1pre_CC","CN18FESPkoa_BN2post_CC","CN18FESPkoa_BN2pre_CC","CN18FESPkoa_BN3post_CC","CN18FESPkoa_BN3pre_CC","CN18FESPkoa_BP1_CC","CN18FESPkoa_BP2_CC","CN18FESPkoa_BP3_CC","CN18FESPkoa_SC1_CC","CN18FESPkoa_SC24_CC","CN18FESPkoa_SC26_CC","CN18FESPkoa_SC29_CC","CN18FESPkoa_SC2_CC","CN18FESPkoa_SC30_CC","CN18FESPkoa_SC31_CC","CN18FESPkoa_SC32_CC","CN18FESPkoa_SC34_CC","CN18FESPkoa_SC35_CC","CN18FESPkoa_SC37_CC","CN18FESPkoa_SC40_CC","CN18FESPkoa_SC41_CC","CN18FESPkoa_SC43_CC","CN18FESPkoa_SC44_CC","CN18FESPkoa_SC46_CC","CN18FESPkoa_SC47_CC","CN18FESPkoa_SC49_CC","CN18FESPkoa_SC52_CC","CN18FESPkoa_SC53_CC","CN18FESPkoa_SC55_CC","CN18FESPkoa_SC56_CC","CN18FESPkoa_SC57_CC","CN18FESPkoa_SC58_CC","CN18FESPkoa_SC59_CC","CN18FESPkoa_SC60_CC","CN18Fc12_8_eDNA_HH","CN18Fc19_5_eDNA_HH","CN18Fc21_6_eDNA_HH","CN18Fc22_6_eDNA_HH","CN18Fc24_6_eDNA_HH","CN18Fc25_5_eDNA_HH","CN18Fc27_4_eDNA_HH","CN18Fc29_6_eDNA_HH","CN18Fc30_4_eDNA_HH","CN18Fc32_4_eDNA_HH","CN18Fc33_5_eDNA_HH","CN18Fc35_5_eDNA_HH","CN18Fc36_6_eDNA_HH","CN18Fc38_5_eDNA_HH","CN18Fc40_6_eDNA_HH","CN18Fc41_6_eDNA_HH","CN18Fc43_5_eDNA_HH","CN18Fc44_8_eDNA_HH","CN18Fc46_8_eDNA_HH","CN18Fc47_6_eDNA_HH","CN18Fc49_6_eDNA_HH","CN18Fc51_5_eDNA_HH","CN18SESPkoa_SC32_AA","CN18SESPkoa_SC36_AA","CN18SESPkoa_SC37_AA","CN18SESPkoa_SC39_AA","CN18SESPkoa_SC40_AA","CN18SESPkoa_SC41_AA","CN18SESPkoa_SC42_AA","CN18SESPkoa_SC44_AA","CN18SESPkoa_SC45_AA","CN18SESPkoa_SC47_AA","CN18SESPkoa_SC49_AA","CN18S_koa3G_BN1post_CC","CN18S_koa3G_BN1pre_CC","CN18S_koa3G_BN2post_CC","CN18S_koa3G_BN2pre_CC","CN18S_koa3G_BN3post_CC","CN18S_koa3G_BN3pre_CC","CN18S_koa3G_BP1_CC","CN18S_koa3G_BP2_CC","CN18S_koa3G_BP3_CC","CN18S_koa3G_SC29_CC","CN18S_koa3G_SC30_CC","CN18S_koa3G_SC31_CC","CN18S_koa3G_SC57_CC","CN18S_koa3G_SC58_CC","CN18S_koa3G_SC59_CC","CN18S_koa3G_SC60_CC","CN18Sc09_2_eDNA_AA","CN18Sc10_2_eDNA_AA","CN18Sc14_2_eDNA_AA","CN18Sc14_8_eDNA_AA","CN18Sc15_2_eDNA_AA","CN18Sc15_8_eDNA_AA","CN18Sc18_2_eDNA_AA","CN18Sc18_8_eDNA_AA","CN18Sc27_2_eDNA_AA","CN18Sc27_8_eDNA_AA","pcr_blank_1_CC","pcr_blank_2_CC","pcr_blank_3_CC","pcrblank_1_AA","pcrblank_1_HH","pcrblank_2_AA","pcrblank_2_HH","pcrblank_3_AA","pcrblank_3_HH"
"ASV_1",1,6,847,343,0,0,0,0,0,0,1,0,0,0,0,0,6,2,1,2,31,7,5,15,587,1,4,3,1,5,0,1,0,2,3,4,1,3,5,4,19,17,2,0,5,1,0,3,0,0,3,0,1,7,2,0,0,0,0,1,2,0,0,12,0,5,8,2,7,2,3,2,1,2,1,2,5,4,0,0,31,0,1,290,0,0,1,9,1,99,0,0,0,0,7,0,8,9,4,6,7,0,3,2,0,0,0,6,0,0,0,0,0
"ASV_2",0,0,4748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,0,0,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,2,1,2,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0,2,1,0,2,0,0,1,0,0,0,2,0,0,0,0,0
"ASV_3",0,1,313,122,753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,2,0,23,6,5,0,0,3,1,0,0,0,1,0,0,0,0,11,0,0,0,0,129,1,86,2,51,2,94,2,12,24,13,52,0,0,0,0,0,0,0,0,0,0,0,0,368,0,0,17,12,52,2,9,0,110,2,418,0,0,0,0,28,0,0,0,0,0
"ASV_4",1,0,0,911,317,3,0,0,0,12,9,0,0,0,0,0,2,1,1,1,4,0,0,1,2,4,275,3,9,4,0,9,8,30,3035,2,53,9,5,2,2,3,5,0,1,7,13521,3,2215,23301,16490,9,5,19,3199,6,2598,1538,3,461,10,4,4,3,1506,1776,2751,4,4,0,1,1,0,1,2,0,1,3,15,0,522,0,214,484,0,0,0,14,0,21,0,0,0,0,5,1,4,1,3,2091,2,1268,2,1,0,0,0,1,0,0,0,0,0
"ASV_5",0,0,0,254,0,0,0,1,2,0,115,0,262,0,75,0,166,135,143,281,1220,115,124,3659,93,109,86,123,83,165,106,190,171,69,147,46,80,117,114,71,54,180,98,0,341,11,13,31,40,23,34,37,19,42,15,14,15,13,11,99,67,22,24,60,12,185,517,35,3001,15,2707,32,610,53,1833,46,64,20,118,549,313,2,1,527,2899,3271,2937,355,0,0,2043,1,0,3797,67,42,109,90,13,3817,26,141,19,452,2,0,0,0,1,0,0,0,0
"ASV_6",129,0,16,248,1,3,0,0,1,1,662,0,39,0,109,475,705,487,576,13,393,21,258,441,132,139,125,208,203,464,185,244,201,235,260,129,112,145,469,350,214,226,361,0,753,162,185,264,235,173,135,151,233,257,92,134,90,135,110,203,226,199,164,94,33,58,106,148,513,26,487,62,458,106,865,58,111,108,222,0,62,0,288,296,2677,2795,2729,0,8,885,72,0,0,825,314,229,320,372,161,742,297,100,259,305,1,0,0,2,1,0,0,0,0
"ASV_7",0,0,0,3,15,757,0,0,0,4,75,0,67,0,68,0,403,224,357,17,269,54,118,739,130,496,661,287,371,459,291,365,461,417,841,186,234,320,428,1154,507,564,532,0,185,489,289,489,607,454,509,407,623,441,241,499,217,316,412,415,448,668,220,155,115,192,249,375,157,153,91,616,282,417,460,633,741,516,2184,0,164,0,0,62,1744,1357,2667,1,0,58,0,16,1,833,1411,1373,1283,684,1278,129,902,97,1248,32,1,0,0,0,1,0,1,0,478
"ASV_8",1,0,0,822,6836,29,0,2,314,121,9280,0,25321,1,9835,8,12972,11287,12040,253,9712,932,2657,7428,1360,1460,1005,1514,1194,2639,1508,2915,3986,2589,3140,1556,2510,2507,4208,2591,3393,3675,5511,1,8744,2895,1787,3277,3606,2207,2229,3366,4315,3169,1246,2061,1485,1231,1346,2042,2644,1997,1513,2532,501,3792,6430,155,1478,51,788,142,694,327,742,169,312,170,921,8,2243,5,11,304,2031,2175,2361,324,236,133,3,386,4,2629,402,330,361,874,331,883,637,480,384,212,15,0,0,0,5,0,1,0,5
"ASV_9",0,0,0,483,0,0,0,0,0,0,2,0,0,0,2,0,3,1,4,6,10,1,6,72,5,6,6,7,10,19,13,6,22,18,18,15,14,17,24,11,20,18,25,0,4,0,0,1,0,0,3,0,6,0,1,1,0,0,0,0,0,0,0,0,0,1,2,46,6090,14,2949,35,488,47,1782,84,61,24,149,1,1076,1,166,4,3379,3263,2190,1676,0,2707,217,0,0,16092,15,6,38,60,9,1008,15,40,5,52,0,0,0,0,0,0,0,0,0
"ASV_10",0,0,0,1378,1599,2,0,0,0,0,23673,0,1705,1,7293,0,15112,24683,25727,377,78,68,2,115,4,5,4,1,1,3,54,10,193,6,1,1,2,3,0,8,0,5,5,0,431,70,4,6,5,675,4,11,4,942,298,17,0,23758,826,5,1282,6,214,5868,9713,9228,1297,1,3,0,14,0,7,0,10,0,0,0,13,3,358,1,548,1498,326,349,17,204,1,2,1,0,1,2,2,0,4,0,1,2666,0,1,1,984,1,0,0,0,2,0,0,0,1654
