"","SAMPLING_cruise","depth","library","libraryID","locus","original_name","samp_collection_device","sample_type.x","sample_type.y","CTD_or_ESP","ESP_CTD","ESP_CTD_ID","matching_ID"
"20180724_EB_AA","CN18S","","AA84","AA","18S","20180724_EB","","blank",NA,NA,NA,NA,NA
"20180802_EB_AA","CN18S","","AA85","AA","18S","20180802_EB","","blank",NA,NA,NA,NA,NA
"20180815_EB_AA","CN18S","","AA86","AA","18S","20180815_EB","","blank",NA,NA,NA,NA,NA
"20180908_CB_HH","CN18F","","HH24","HH","18S","20180908_CB","","negative",NA,NA,NA,NA,NA
"20180909_CB_HH","CN18F","","HH36","HH","18S","20180909_CB","","negative",NA,NA,NA,NA,NA
"20180910_CB_HH","CN18F","","HH48","HH","18S","20180910_CB","","negative",NA,NA,NA,NA,NA
"20181211_EB_CC","CN18F","","CC72","CC","18S","20181211_EB","","blank",NA,NA,NA,NA,NA
"20181212_EB_CC","CN18F","","CC73","CC","18S","20181212_EB","","blank",NA,NA,NA,NA,NA
"20181218_EB_CC","CN18F","","CC74","CC","18S","20181218_EB","","blank",NA,NA,NA,NA,NA
"20190619_EB_HH","","","HH60","HH","18S","20190619_EB","","negative",NA,NA,NA,NA,NA
"CN18FESPkoa_BN1post_CC","CN18F","","CC66","CC","18S","CN18FESPkoa_BN1post","3G_ESP","negative","blank_esp_post","","","",""
"CN18FESPkoa_BN1pre_CC","CN18F","","CC62","CC","18S","CN18FESPkoa_BN1pre","3G_ESP","negative","blank_esp_pre","","","",""
"CN18FESPkoa_BN2post_CC","CN18F","","CC67","CC","18S","CN18FESPkoa_BN2post","3G_ESP","negative","blank_esp_post","","","",""
"CN18FESPkoa_BN2pre_CC","CN18F","","CC63","CC","18S","CN18FESPkoa_BN2pre","3G_ESP","negative","blank_esp_pre","","","",""
"CN18FESPkoa_BN3post_CC","CN18F","","CC68","CC","18S","CN18FESPkoa_BN3post","3G_ESP","negative","blank_esp_post","","","",""
"CN18FESPkoa_BN3pre_CC","CN18F","","CC65","CC","18S","CN18FESPkoa_BN3pre","3G_ESP","negative","blank_esp_pre","","","",""
"CN18FESPkoa_BP1_CC","CN18F","","CC69","CC","18S","CN18FESPkoa_BP1","3G_ESP","positive",NA,NA,NA,NA,NA
"CN18FESPkoa_BP2_CC","CN18F","","CC70","CC","18S","CN18FESPkoa_BP2","3G_ESP","positive",NA,NA,NA,NA,NA
"CN18FESPkoa_BP3_CC","CN18F","","CC71","CC","18S","CN18FESPkoa_BP3","3G_ESP","positive",NA,NA,NA,NA,NA
"CN18FESPkoa_SC1_CC","CN18F","","CC61","CC","18S","CN18FESPkoa_SC1","3G_ESP","negative","environmental","","","",""
"CN18FESPkoa_SC24_CC","CN18F","33.19232641","CC38","CC","18S","CN18FESPkoa_SC24","3G_ESP","environmental","environmental","ESP","ESP_Sample","ESP1","CN18F1"
"CN18FESPkoa_SC26_CC","CN18F","24.64197722","CC36","CC","18S","CN18FESPkoa_SC26","3G_ESP","environmental","environmental","ESP","ESP_Sample","ESP2","CN18F2"
"CN18FESPkoa_SC29_CC","CN18F","24.12127247","CC33","CC","18S","CN18FESPkoa_SC29","3G_ESP","environmental","environmental","ESP","ESP_Sample","ESP3","CN18F3"
"CN18FESPkoa_SC30_CC","CN18F","12.84975355","CC31","CC","18S","CN18FESPkoa_SC30","3G_ESP","environmental","environmental","ESP","ESP_Sample","ESP4","CN18F4"
"CN18FESPkoa_SC31_CC","CN18F","17.95441159","CC30","CC","18S","CN18FESPkoa_SC31","3G_ESP","environmental","environmental","ESP","ESP_Sample","ESP5","CN18F5"
