"","SAMPLING_cruise","depth","library","libraryID","locus","original_name","samp_collection_device","sample_type.x","sample_type.y","CTD_or_ESP","ESP_CTD","ESP_CTD_ID","matching_ID"
"20180724_EB_Y","CN18S","","Y84","Y","COI","20180724_EB","","blank",NA,NA,NA,NA,NA
"20180802_EB_Y","CN18S","","Y85","Y","COI","20180802_EB","","blank",NA,NA,NA,NA,NA
"20180815_EB_Y","CN18S","","Y86","Y","COI","20180815_EB","","blank",NA,NA,NA,NA,NA
"20180908_CB_GG","CN18F","","GG26","GG","COI","20180908_CB","","negative",NA,NA,NA,NA,NA
"20180909_CB_GG","CN18F","","GG27","GG","COI","20180909_CB","","negative",NA,NA,NA,NA,NA
"20180910_CB_GG","CN18F","","GG28","GG","COI","20180910_CB","","negative",NA,NA,NA,NA,NA
"20181211_EB_FF","CN18F","","FF72","FF","COI","20181211_EB","","negative",NA,NA,NA,NA,NA
"20181212_EB_FF","CN18F","","FF73","FF","COI","20181212_EB","","negative",NA,NA,NA,NA,NA
"20181218_EB_FF","CN18F","","FF74","FF","COI","20181218_EB","","negative",NA,NA,NA,NA,NA
"20190619_EB_GG","","","GG93","GG","COI","20190619_EB","","negative",NA,NA,NA,NA,NA
"CN18FESPkoa_BN1post_FF","CN18F","","FF66","FF","COI","CN18FESPkoa_BN1post","3G_ESP","negative","blank_esp_post","","","",""
"CN18FESPkoa_BN1pre_FF","CN18F","","FF62","FF","COI","CN18FESPkoa_BN1pre","3G_ESP","negative","blank_esp_pre","","","",""
"CN18FESPkoa_BN2post_FF","CN18F","","FF67","FF","COI","CN18FESPkoa_BN2post","3G_ESP","negative","blank_esp_post","","","",""
"CN18FESPkoa_BN2pre_FF","CN18F","","FF63","FF","COI","CN18FESPkoa_BN2pre","3G_ESP","negative","blank_esp_pre","","","",""
"CN18FESPkoa_BN3post_FF","CN18F","","FF68","FF","COI","CN18FESPkoa_BN3post","3G_ESP","negative","blank_esp_post","","","",""
"CN18FESPkoa_BN3pre_FF","CN18F","","FF65","FF","COI","CN18FESPkoa_BN3pre","3G_ESP","negative","blank_esp_pre","","","",""
"CN18FESPkoa_BP1_FF","CN18F","","FF69","FF","COI","CN18FESPkoa_BP1","3G_ESP","positive",NA,NA,NA,NA,NA
"CN18FESPkoa_BP2_FF","CN18F","","FF70","FF","COI","CN18FESPkoa_BP2","3G_ESP","positive",NA,NA,NA,NA,NA
"CN18FESPkoa_BP3_FF","CN18F","","FF71","FF","COI","CN18FESPkoa_BP3","3G_ESP","positive",NA,NA,NA,NA,NA
"CN18FESPkoa_SC1_FF","CN18F","","FF61","FF","COI","CN18FESPkoa_SC1","3G_ESP","negative","environmental","","","",""
"CN18FESPkoa_SC24_FF","CN18F","33.19232641","FF38","FF","COI","CN18FESPkoa_SC24","3G_ESP","environmental","environmental","ESP","ESP_Sample","ESP1","CN18F1"
"CN18FESPkoa_SC26_FF","CN18F","24.64197722","FF36","FF","COI","CN18FESPkoa_SC26","3G_ESP","environmental","environmental","ESP","ESP_Sample","ESP2","CN18F2"
"CN18FESPkoa_SC29_FF","CN18F","24.12127247","FF33","FF","COI","CN18FESPkoa_SC29","3G_ESP","environmental","environmental","ESP","ESP_Sample","ESP3","CN18F3"
"CN18FESPkoa_SC2_FF","CN18F","31.13364398","FF60","FF","COI","CN18FESPkoa_SC2","3G_ESP","environmental",NA,NA,NA,NA,NA
"CN18FESPkoa_SC30_FF","CN18F","12.84975355","FF31","FF","COI","CN18FESPkoa_SC30","3G_ESP","environmental","environmental","ESP","ESP_Sample","ESP4","CN18F4"
"CN18FESPkoa_SC31_FF","CN18F","17.95441159","FF30","FF","COI","CN18FESPkoa_SC31","3G_ESP","environmental","environmental","ESP","ESP_Sample","ESP5","CN18F5"
"CN18FESPkoa_SC32_FF","CN18F","34.26964331","FF29","FF","COI","CN18FESPkoa_SC32","3G_ESP","environmental","environmental","ESP","ESP_Sample","ESP6","CN18F6"
"CN18FESPkoa_SC34_FF","CN18F","27.85331907","FF27","FF","COI","CN18FESPkoa_SC34","3G_ESP","environmental","environmental","ESP","ESP_Sample","ESP7","CN18F7"
"CN18FESPkoa_SC35_FF","CN18F","25.00059387","FF26","FF","COI","CN18FESPkoa_SC35","3G_ESP","environmental","environmental","ESP","ESP_Sample","ESP8","CN18F8"
"CN18FESPkoa_SC37_FF","CN18F","31.66745079","FF24","FF","COI","CN18FESPkoa_SC37","3G_ESP","environmental","environmental","ESP","ESP_Sample","ESP9","CN18F9"
"CN18FESPkoa_SC40_FF","CN18F","23.41120239","FF21","FF","COI","CN18FESPkoa_SC40","3G_ESP","environmental","environmental","ESP","ESP_Sample","ESP10","CN18F10"
"CN18FESPkoa_SC41_FF","CN18F","23.25098937","FF20","FF","COI","CN18FESPkoa_SC41","3G_ESP","environmental","environmental","ESP","ESP_Sample","ESP11","CN18F11"
"CN18FESPkoa_SC43_FF","CN18F","32.40880836","FF18","FF","COI","CN18FESPkoa_SC43","3G_ESP","environmental","environmental","ESP","ESP_Sample","ESP12","CN18F12"
"CN18FESPkoa_SC44_FF","CN18F","34.72138758","FF17","FF","COI","CN18FESPkoa_SC44","3G_ESP","environmental","environmental","ESP","ESP_Sample","ESP13","CN18F13"
"CN18FESPkoa_SC46_FF","CN18F","36.81463935","FF15","FF","COI","CN18FESPkoa_SC46","3G_ESP","environmental","environmental","ESP","ESP_Sample","ESP14","CN18F14"
"CN18FESPkoa_SC47_FF","CN18F","31.69744903","FF14","FF","COI","CN18FESPkoa_SC47","3G_ESP","environmental","environmental","ESP","ESP_Sample","ESP15","CN18F15"
"CN18FESPkoa_SC49_FF","CN18F","44.79718743","FF12","FF","COI","CN18FESPkoa_SC49","3G_ESP","environmental","environmental","ESP","ESP_Sample","ESP16","CN18F16"
"CN18FESPkoa_SC52_FF","CN18F","25.30528936","FF9","FF","COI","CN18FESPkoa_SC52","3G_ESP","environmental","environmental","ESP","ESP_Sample","ESP17","CN18F17"
"CN18FESPkoa_SC53_FF","CN18F","34.44149289","FF8","FF","COI","CN18FESPkoa_SC53","3G_ESP","environmental","environmental","ESP","ESP_Sample","ESP18","CN18F18"
"CN18FESPkoa_SC55_FF","CN18F","39.02684487","FF6","FF","COI","CN18FESPkoa_SC55","3G_ESP","environmental","environmental","ESP","ESP_Sample","ESP19","CN18F19"
"CN18FESPkoa_SC56_FF","CN18F","39.84399873","FF5","FF","COI","CN18FESPkoa_SC56","3G_ESP","environmental","environmental","ESP","ESP_Sample","ESP20","CN18F20"
"CN18FESPkoa_SC57_FF","CN18F","35.21756651","FF4","FF","COI","CN18FESPkoa_SC57","3G_ESP","environmental","environmental","ESP","ESP_Sample","ESP21","CN18F21"
"CN18FESPkoa_SC58_FF","CN18F","30.91903055","FF3","FF","COI","CN18FESPkoa_SC58","3G_ESP","environmental","environmental","ESP","ESP_Sample","ESP22","CN18F22"
"CN18FESPkoa_SC59_FF","CN18F","","FF2","FF","COI","CN18FESPkoa_SC59","3G_ESP","negative","environmental","","","",""
"CN18FESPkoa_SC60_FF","CN18F","","FF1","FF","COI","CN18FESPkoa_SC60","3G_ESP","positive","environmental","","","",""
"CN18Fc12_8_eDNA_GG","CN18F","30.0","GG1","GG","COI","CN18Fc12_8_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD22","CN18F22"
"CN18Fc19_5_eDNA_GG","CN18F","40.0","GG2","GG","COI","CN18Fc19_5_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD21","CN18F21"
"CN18Fc21_6_eDNA_GG","CN18F","25.0","GG3","GG","COI","CN18Fc21_6_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD20","CN18F20"
"CN18Fc22_6_eDNA_GG","CN18F","35.0","GG4","GG","COI","CN18Fc22_6_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD19","CN18F19"
"CN18Fc24_6_eDNA_GG","CN18F","25.0","GG5","GG","COI","CN18Fc24_6_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD18","CN18F18"
"CN18Fc25_5_eDNA_GG","CN18F","30.0","GG6","GG","COI","CN18Fc25_5_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD17","CN18F17"
"CN18Fc27_4_eDNA_GG","CN18F","45.0","GG7","GG","COI","CN18Fc27_4_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD16","CN18F16"
"CN18Fc29_6_eDNA_GG","CN18F","30.0","GG8","GG","COI","CN18Fc29_6_eDNA","","environmental","environmental","CTD","CTD_Sample","CTD15","CN18F15"
