"","CANON_AKU1_22_X","CANON_AKU2_22_X","CANON_AKU3_22_X","CANON_AKU4_22_X","CANON_B10_22_X","CANON_B13_22_X","CANON_B17_22_X","CANON_B1_22_X","CANON_B20_22_X","CANON_B23_22_X","CANON_CBI10_22_X","CANON_CBI1_22_X","CANON_CBI4_22_X","CANON_CBI5_22_X","CANON_CBI8_22_X","CANON_CBI9_22_X"
"ASV_1",3,1,4,5,0,10,4,0,0,0,1,6,1,3,5,1
"ASV_3",1,0,0,0,0,2,0,0,0,0,0,0,0,0,4,1
"ASV_6",8,1,0,3,2,0,0,1,1,0,0,0,1,6,0,3
"ASV_10",1999,1297,627,1088,1171,2604,1638,645,403,435,1053,10,471,1506,947,762
"ASV_26",0,0,8,4,0,3,1,1,0,0,0,0,0,0,0,0
"ASV_28",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ASV_33",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"ASV_35",0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"ASV_46",0,336,0,0,20,3,1,0,37,19,0,209,0,0,7,0
"ASV_48",1713,1423,68,1441,1454,3154,426,300,826,998,983,1,493,1510,1448,68
"ASV_105",0,2770,24,0,4207,9,0,2,9,2,0,14585,551,0,17,0
"ASV_148",0,219,0,0,0,1,3235,34,7667,128,0,0,0,0,2924,0
"ASV_154",0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,18
"ASV_160",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"ASV_165",0,7,0,0,4,0,1,69,50,0,0,10,0,0,2819,0
"ASV_189",0,81,0,0,0,8,262,0,513,162,57,0,596,0,397,0
"ASV_227",0,112,0,0,2,1,0,0,45,46,1,1,401,0,764,0
"ASV_242",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"ASV_257",0,0,112,28,0,0,5,57,0,0,11,225,0,0,32,115
"ASV_287",0,0,0,0,0,0,0,19,0,0,0,0,0,0,11,0
"ASV_323",0,0,11,0,0,0,30,19,0,0,1,0,0,0,14,73
"ASV_356",0,2,0,0,0,4,1,6,0,0,0,0,0,0,21,3
"ASV_359",0,16,0,0,0,0,0,2,5,0,0,0,0,0,0,0
"ASV_372",69,46,153,356,22,132,440,234,30,1,301,57,20,54,271,604
"ASV_398",535,10,8,132,7,417,154,101,14,57,85,0,19,250,19,87
"ASV_472",2,18,0,7,1,0,0,195,2,0,0,0,1,10,0,0
"ASV_492",0,0,1,17,0,46,23,8,0,0,16,0,1,17,4,41
