"ASV","20171019_EB_NN","20180710_EB_NN","20181211_EB_OO","20181212_EB_OO","20181218_EB_OO","20190619_EB_QQ","CN18FESPkoa_SC1_OO","CN18FESPkoa_SC59_OO","CN18S_koa3G_SC29_NN","CN18S_koa3G_SC30_NN","CN18S_koa3G_SC31_NN","CN18S_koa3G_SC57_NN","CN18S_koa3G_SC58_NN","CN18S_koa3G_SC59_NN","pcrblank_1_NN","pcrblank_1_OO","pcrblank_1_QQ","pcrblank_2_NN","pcrblank_2_OO","pcrblank_2_QQ","pcrblank_3_NN","pcrblank_3_OO","pcrblank_3_QQ","rowsum","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_2",17378,108914,4675,0,1,3,5867,0,3142,1567,1103,7,3,3510,5,16,1,4,0,1,9,0,2,146208,"Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ASV_1",72,206,186,105,93,52,35150,393,28,41,16,36,51,51,49,312,41,21,337,43,49,243,62,37637,"Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"ASV_20",0,0,0,0,0,15617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15617,"Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius productus"
"ASV_295",6177,0,0,0,0,0,226,0,0,0,0,0,0,0,224,0,0,0,0,0,2,0,0,6629,"Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ASV_383",0,0,0,0,0,0,187,0,0,0,1731,0,0,0,1,0,0,1,0,0,0,0,0,1920,"Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ASV_2475",1661,187,0,0,0,0,0,0,0,5,1,0,0,8,0,0,0,0,0,0,0,0,0,1862,"Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ASV_1783",985,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1037,"Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ASV_2502",11,959,0,0,0,0,0,0,3,2,0,0,0,3,0,0,0,0,0,0,0,0,0,978,"Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ASV_2460",62,539,0,0,0,0,0,0,14,8,1,0,1,5,0,0,0,0,0,0,0,0,0,630,"Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ASV_2499",47,391,0,0,0,0,0,0,7,2,5,0,0,11,0,0,0,0,0,0,0,0,0,463,"Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ASV_2458",48,344,0,0,0,0,0,0,8,30,0,0,0,6,0,0,0,0,0,0,0,0,0,436,"Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
