"ASV","20190226_EB","CN18FESPkoa_SC1","CN18FESPkoa_SC59","CN18S_koa3G_SC29","CN18S_koa3G_SC30","CN18S_koa3G_SC31","CN18S_koa3G_SC57","CN18S_koa3G_SC58","CN18S_koa3G_SC59","rowsum","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"10b6939ebe40d98df58fc07f92bba289",0,169,0,1686,3927,15550,0,0,0,21332,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Alteromonadales"," Colwelliaceae"," Colwellia"," "
"4acf587ad601d102a7c998c2825a613d",0,9139,0,0,11,0,0,0,0,9150,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Cellvibrionales"," Cellvibrionaceae"," Aestuariicella"," uncultured_bacterium"
"e3bd4c321c5364d01871ebb503a1dc7e",0,23,0,514,807,5656,0,0,0,7000,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Alteromonadales"," Colwelliaceae"," Colwellia"," "
"a2afcad6722a75f5b1ec79e56e6fdf02",0,274,0,709,1223,3627,0,0,0,5833,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Alteromonadales"," Pseudoalteromonadaceae"," Pseudoalteromonas"," "
"e06f3f27920f8a3e33177cb0ad67f5cf",0,0,0,217,1068,3314,0,0,0,4599,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Cellvibrionales"," Spongiibacteraceae"," Sinobacterium"," "
"3c25aefde2ab931cbf9149166d8644af",0,523,0,356,914,1935,0,0,0,3728,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Vibrionales"," Vibrionaceae"," Vibrio"," Vibrio_sp."
"4b98549d6b2cdba75583811e1490d0f2",0,2295,0,0,0,0,0,0,0,2295,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Cellvibrionales"," Cellvibrionaceae"," Aestuariicella"," uncultured_bacterium"
"d7c175c5b206160e3c14ffd3ae2019d7",0,0,0,114,254,1826,0,0,0,2194,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Alteromonadales"," Pseudoalteromonadaceae"," Pseudoalteromonas"," "
"1b21d2b71f96b4a59b392aee9aa1d655",0,602,0,95,247,1090,0,0,0,2034,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Alteromonadales"," Pseudoalteromonadaceae"," Pseudoalteromonas"," "
"3b5e5025d3eb814d0abf098474ba41c7",0,1692,0,0,0,57,0,0,0,1749,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Alteromonadales"," Alteromonadaceae"," Alteromonas"," Alteromonas_sp."
"319aab5b67538c018b47b24b49ff3bfc",0,0,0,0,110,781,0,0,0,891,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Alteromonadales"," Colwelliaceae"," Colwellia"," "
"9ca3e5e8718afe53e7181272fa991cfd",0,829,0,0,0,0,0,0,0,829,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Alteromonadales"," Alteromonadaceae"," Alteromonas"," "
"d43f711be318aff6b4d49c3804b3d0b2",0,21,0,22,103,546,0,0,0,692,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Oceanospirillales"," Oleiphilaceae"," Oleiphilus"," uncultured_bacterium"
"68c25e07b0b09f19aabf90d7b4e57562",0,0,0,0,19,672,0,0,0,691,"Bacteria"," Proteobacteria"," Gammaproteobacteria"," Alteromonadales"," Colwelliaceae"," Thalassotalea"," "
