"ASV","20180724_EB_AA","20180802_EB_AA","20180815_EB_AA","20180908_CB_HH","20180909_CB_HH","20180910_CB_HH","20181211_EB_CC","20181212_EB_CC","20181218_EB_CC","20190619_EB_HH","CN18FESPkoa_SC1_CC","CN18FESPkoa_SC59_CC","CN18S_koa3G_SC29_CC","CN18S_koa3G_SC30_CC","CN18S_koa3G_SC31_CC","CN18S_koa3G_SC57_CC","CN18S_koa3G_SC58_CC","CN18S_koa3G_SC59_CC","pcr_blank_1_CC","pcr_blank_2_CC","pcr_blank_3_CC","pcrblank_1_AA","pcrblank_1_HH","pcrblank_2_AA","pcrblank_2_HH","pcrblank_3_AA","pcrblank_3_HH","rowsum","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_180",0,0,0,0,0,0,0,0,0,0,40684,0,725,457,469,1,0,0,0,1,0,0,0,0,0,0,0,42337,"Eukaryota","Cnidaria","Scyphozoa","Semaeostomeae","Pelagiidae","Chrysaora","Chrysaora fuscescens"
"ASV_50",0,0,0,0,0,1,0,1,0,0,10572,0,3259,4751,4260,0,0,1,0,0,0,0,0,0,0,0,0,22845,"Eukaryota","Cnidaria","Scyphozoa","Semaeostomeae","Pelagiidae","unassigned","unassigned"
"ASV_126",0,0,0,0,0,0,0,0,0,0,0,0,0,100,10491,0,0,0,0,0,0,0,0,0,0,0,0,10591,"no_hit","no_hit","no_hit","no_hit","no_hit","g_","s_"
"ASV_8",1,0,0,822,6836,29,0,2,314,121,253,1,324,236,133,3,386,4,15,0,0,0,5,0,1,0,5,9491,"Eukaryota","Dinoflagellata","Dinophyceae","unassigned","unassigned","unassigned","unassigned"
"ASV_427",338,56,62,100,224,327,0,0,93,2,24,0,469,562,502,1265,482,979,269,79,0,32,0,91,0,39,335,6330,"Eukaryota","Chordata","Mammalia","unassigned","unassigned","unassigned","unassigned"
"ASV_782",0,71,185,590,372,1603,0,1437,0,0,17,234,0,0,87,0,1139,523,0,47,0,0,0,0,0,0,0,6305,"Eukaryota","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned"
"ASV_4069",0,0,0,0,0,0,0,0,5553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5553,"Eukaryota","Arthropoda","Insecta","Hymenoptera","Formicidae","unassigned","unassigned"
"ASV_10",0,0,0,1378,1599,2,0,0,0,0,377,0,204,1,2,1,0,1,1,0,0,0,2,0,0,0,1654,5222,"Eukaryota","Arthropoda","Hexanauplia","Calanoida","Paracalanidae","Paracalanus","unassigned"
"ASV_9",0,0,0,483,0,0,0,0,0,0,6,0,1676,0,2707,217,0,0,0,0,0,0,0,0,0,0,0,5089,"Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Skeletonemataceae","Skeletonema","unassigned"
"ASV_64",0,4925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4925,"Eukaryota","Basidiomycota","unassigned","unassigned","unassigned","unassigned","unassigned"
"ASV_2",0,0,4748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4750,"Eukaryota","Cnidaria","Hydrozoa","Leptothecata","Mitrocomidae","Halopsis","s_"
"ASV_4079",0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,3887,0,3,0,0,0,0,0,0,0,0,3936,"Eukaryota","Streptophyta","Liliopsida","Poales","Poaceae","unassigned","unassigned"
"ASV_38",0,0,0,512,3133,2,0,0,0,2,5,0,0,0,0,237,0,0,0,0,0,2,0,0,0,0,0,3893,"Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","unassigned","unassigned","unassigned"
"ASV_11",0,0,0,1610,1032,2,0,0,0,0,1,0,464,1,0,0,511,0,0,1,0,0,0,0,2,0,0,3624,"no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"ASV_375",0,0,0,875,1809,0,0,0,0,0,0,0,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,3164,"Eukaryota","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned"
"ASV_9657",0,0,0,0,0,3107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3107,"Eukaryota","Cryptophyta","unassigned","unassigned","unassigned","g_","s_"
"ASV_12",0,1,0,0,0,1,0,0,0,0,11,0,894,188,1367,0,536,0,0,0,0,0,0,0,0,0,0,2998,"Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Minidiscus","unassigned"
"ASV_1511",0,0,0,0,0,2964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2964,"Eukaryota","Ochrophyta","Chrysophyceae","unknown","unknown","unknown","Spumella-like flagellate JBAS36"
"ASV_5",0,0,0,254,0,0,0,1,2,0,281,0,355,0,0,2043,1,0,2,0,0,0,1,0,0,0,0,2940,"Eukaryota","Bacillariophyta","Coscinodiscophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","unassigned"
"ASV_13",0,0,0,425,2,2,0,0,0,0,2,0,803,0,56,486,589,0,1,0,0,0,3,0,0,0,356,2725,"Eukaryota","Arthropoda","Hexanauplia","Calanoida","Calanidae","unassigned","unassigned"
"ASV_2219",0,45,0,0,507,0,7,617,0,0,0,0,0,446,91,0,1001,0,0,0,0,0,0,0,0,0,0,2714,"Eukaryota","Bacillariophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","unassigned","unassigned"
"ASV_4104",0,0,0,0,0,0,0,0,0,0,2569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2569,"Eukaryota","Mollusca","Gastropoda","Nudibranchia","unassigned","unassigned","unassigned"
