"ASV","20180724_EB_Y","20180802_EB_Y","20180815_EB_Y","20180908_CB_GG","20180909_CB_GG","20180910_CB_GG","20181211_EB_FF","20181212_EB_FF","20181218_EB_FF","20190619_EB_GG","CN18FESPkoa_SC1_FF","CN18FESPkoa_SC59_FF","CN18S_koa3G_SC29_FF","CN18S_koa3G_SC30_FF","CN18S_koa3G_SC31_FF","CN18S_koa3G_SC57_FF","CN18S_koa3G_SC58_FF","CN18S_koa3G_SC59_FF","pcr_blank_1_FF","pcr_blank_2_FF","pcr_blank_3_FF","pcrblank_1_GG","pcrblank_1_Y","pcrblank_2_GG","pcrblank_2_Y","pcrblank_3_GG","pcrblank_3_Y","rowsum","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_40565",0,0,0,0,0,0,0,0,26,0,0,143999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144025,"Eukaryota","Cnidaria","Hydrozoa","Anthoathecata","Moerisiidae","g_","s_"
"ASV_9138",0,0,0,0,0,0,123807,0,0,0,0,0,1,8,2,0,0,0,8,19,8,0,0,0,0,0,0,123853,"Eukaryota","Oomycota","Oomycetes","unknown","unknown","g_","s_"
"ASV_8839",0,0,0,0,0,0,0,8,92159,0,0,44,0,0,4,6,6,1,0,0,0,0,0,0,0,0,0,92228,"Eukaryota","Arthropoda","Insecta","Hymenoptera","Braconidae","g_","s_"
"ASV_9059",0,0,0,0,0,0,0,0,0,0,38,4,0,1,0,706,3,79099,0,0,0,0,0,0,1,0,0,79852,"Eukaryota","Oomycota","Oomycetes","Saprolegniales","Saprolegniaceae","g_","s_"
"ASV_45529",0,0,0,3,56463,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56468,"Eukaryota","unassigned","unassigned","unassigned","unassigned","g_","s_"
"ASV_40567",0,0,0,0,0,0,4,0,1,0,0,0,0,53862,5,5,2,1,2,3,6,0,0,0,0,0,0,53891,"Eukaryota","Cnidaria","Hydrozoa","Anthoathecata","Moerisiidae","g_","s_"
"ASV_8251",1,0,0,1,2,0,0,5,1,0,22,13,49608,0,7,6,1,2,6,1,5,0,4,0,0,1,3,49689,"Eukaryota","Haptophyta","Haptophyta","Phaeocystales","Phaeocystaceae","Phaeocystis","Phaeocystis globosa"
"ASV_8431",0,0,0,0,0,0,0,0,0,0,38595,0,509,0,2,0,3,0,0,0,0,0,0,0,0,0,0,39109,"Eukaryota","unknown","unknown","Longamoebia","Acanthamoebidae","g_","s_"
"ASV_40569",0,0,0,0,0,0,0,0,38673,0,0,23,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,38700,"Eukaryota","Arthropoda","Insecta","Hymenoptera","Formicidae","Monomorium","Monomorium bicolor complex BOLD:AAB9999"
"ASV_40570",0,0,0,0,0,0,37446,0,0,0,0,0,1,6,0,0,0,0,1,7,1,0,0,0,0,0,0,37462,"Eukaryota","Ochrophyta","Phaeophyceae","Ectocarpales","Scytosiphonaceae","g_","s_"
"ASV_629",3,3,8,0,0,0,0,1,2,5,13,6,0,2,36816,4,1,1,1,3,2,2,5,0,3,1,4,36886,"Eukaryota","Picozoa","unknown","unknown","unknown","g_","s_"
"ASV_8261",0,0,0,0,0,0,0,0,0,35204,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,35205,"Eukaryota","Arthropoda","Hexanauplia","Calanoida","Clausocalanidae","Clausocalanus","Clausocalanus parapergens"
"ASV_45531",0,0,0,1,35098,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35104,"Eukaryota","Arthropoda","Insecta","Diptera","unassigned","g_","s_"
"ASV_8681",0,0,0,0,0,0,0,0,0,0,34505,0,0,0,188,0,1,0,0,0,0,0,0,0,0,0,0,34694,"Eukaryota","Gastrotricha","unknown","Macrodasyida","Macrodasyidae","Urodasys","s_"
"ASV_45532",0,0,0,0,0,0,0,0,0,33988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33988,"Eukaryota","unassigned","unassigned","unassigned","unassigned","g_","s_"
"ASV_40571",0,0,0,0,0,0,0,0,0,0,0,0,0,0,30780,2,2,0,0,0,0,0,0,0,0,0,0,30784,"Eukaryota","Picozoa","unknown","unknown","unknown","g_","s_"
"ASV_8773",15,6,26522,0,1,0,0,0,0,0,40,1,0,1,36,5,10,6,2,0,0,0,1,0,0,1,1,26648,"Eukaryota","Cnidaria","Hydrozoa","Siphonophorae","Sphaeronectidae","Sphaeronectes","Sphaeronectes gracilis"
"ASV_8291",2,0,0,0,0,0,0,0,0,0,0,0,0,8,26245,2,0,0,0,0,0,0,0,0,0,0,0,26257,"Eukaryota","Arthropoda","Hexanauplia","Calanoida","Acartiidae","Acartia","Acartia californiensis"
"ASV_46",2551,1,0,4886,0,0,0,1,42,0,2648,3,718,9804,505,1,2,0,0,0,0,0,0,0,0,0,0,21162,"Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"ASV_44435",0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,6,20074,6,0,0,0,0,0,0,0,0,0,20090,"no_hit","no_hit","no_hit","no_hit","no_hit","no_hit","no_hit"
"ASV_4914",0,0,0,0,0,0,0,0,0,0,962,0,0,0,3,1,16620,57,0,1,1,0,0,0,0,0,0,17645,"Eukaryota","Arthropoda","Hexanauplia","Calanoida","Acartiidae","Acartia","unassigned"
"ASV_40575",0,0,0,0,0,0,0,2,0,0,0,0,14640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14642,"unassigned","unassigned","unassigned","unassigned","unassigned","g_","s_"
"ASV_45537",0,0,0,14261,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14262,"Eukaryota","unassigned","unassigned","unassigned","unassigned","g_","s_"
"ASV_8246",0,0,0,0,1,1,1,2,0,0,4,4,11746,0,15,2,14,4,3,1,3,0,1,0,2,0,0,11804,"Eukaryota","Ochrophyta","Phaeophyceae","Sphacelariales","Sphacelariaceae","g_","s_"
"ASV_31719",1,0,11443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11444,"Eukaryota","Cnidaria","Hydrozoa","Leptothecata","unassigned","g_","s_"
"ASV_40580",0,0,0,0,0,0,2,0,0,0,0,0,0,8887,2,0,0,1,0,0,0,0,0,0,0,0,0,8892,"Eukaryota","Cnidaria","Hydrozoa","Anthoathecata","Moerisiidae","g_","s_"
"ASV_8248",1,0,7,0,0,1,0,0,0,0,13,1,4,2,8235,1,5,10,0,0,6,0,0,0,0,0,2,8288,"Eukaryota","unassigned","unassigned","unassigned","unassigned","g_","s_"
"ASV_605",0,0,0,0,0,0,0,0,0,0,348,0,7142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7490,"Eukaryota","unassigned","unassigned","unassigned","unassigned","unassigned","unassigned"
"ASV_14558",0,0,0,0,0,0,0,0,6031,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6035,"Eukaryota","Arthropoda","Insecta","unassigned","unassigned","g_","s_"
"ASV_28239",1,0,5128,0,0,0,0,0,0,0,14,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,5503,"Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
